序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-01-20,143.965,4474.21,119.08,-7.81%,20.90%,4.577,6.79%,16.35
2,2026-01-19,143.840,3770.31,119.01,-7.77%,20.86%,4.577,5.77%,16.34
3,2026-01-16,142.734,5356.54,116.53,-7.45%,22.48%,4.577,8.20%,16.00
4,2026-01-15,142.414,5230.84,116.75,-7.35%,21.98%,4.577,8.07%,16.03
5,2026-01-14,141.333,5876.39,115.08,-7.05%,22.82%,4.577,9.06%,15.80
6,2026-01-13,140.966,5146.66,114.86,-6.94%,22.73%,4.577,7.92%,15.77
7,2026-01-12,143.322,5353.33,116.02,-7.57%,23.53%,4.577,8.17%,15.93
8,2026-01-09,141.745,3213.93,116.32,-7.13%,21.86%,4.577,4.95%,15.97
9,2026-01-08,141.553,3003.19,116.53,-7.07%,21.47%,4.577,4.63%,16.00
10,2026-01-07,141.661,7042.76,117.04,-7.09%,21.03%,4.577,10.83%,16.07
11,2026-01-06,143.187,14990.49,122.14,-7.49%,17.23%,4.577,22.86%,16.77
12,2026-01-05,140.896,5116.86,118.21,-6.87%,19.19%,4.578,7.96%,16.23
13,2025-12-31,138.845,3178.20,116.32,-6.27%,19.37%,4.578,5.01%,15.97
14,2025-12-30,138.094,3206.73,115.81,-6.05%,19.25%,4.578,5.07%,15.90
15,2025-12-29,138.060,3333.01,116.61,-6.04%,18.40%,4.578,5.27%,16.01
16,2025-12-26,138.529,4047.68,117.12,-6.15%,18.28%,4.578,6.34%,16.08
17,2025-12-25,139.920,5074.80,118.35,-6.52%,18.22%,4.578,7.95%,16.25
18,2025-12-24,139.776,3955.55,119.37,-6.48%,17.09%,4.578,6.19%,16.39
19,2025-12-23,139.127,4332.54,118.65,-6.29%,17.26%,4.578,6.81%,16.29
20,2025-12-22,138.738,5162.08,117.41,-6.18%,18.17%,4.578,8.15%,16.12
21,2025-12-19,137.502,4555.21,115.73,-5.82%,18.81%,4.578,7.24%,15.89
22,2025-12-18,136.900,3142.75,112.89,-5.65%,21.27%,4.578,5.02%,15.50
23,2025-12-17,136.170,4820.06,112.16,-5.44%,21.40%,4.578,7.77%,15.40
24,2025-12-16,135.632,5505.83,112.02,-5.28%,21.08%,4.578,8.89%,15.38
25,2025-12-15,136.013,3894.96,113.91,-5.38%,19.40%,4.578,6.26%,15.64
26,2025-12-12,135.721,4273.24,112.89,-5.28%,20.22%,4.578,6.85%,15.50
27,2025-12-11,136.185,5465.82,114.86,-5.41%,18.57%,4.578,8.74%,15.77
28,2025-12-10,137.365,4134.53,117.63,-5.73%,16.78%,4.578,6.57%,16.15
29,2025-12-09,137.285,4046.84,119.30,-5.70%,15.07%,4.578,6.42%,16.38
30,2025-12-08,138.337,3855.39,122.00,-5.98%,13.40%,4.578,6.07%,16.75
