序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-01-20,128.232,59858.26,51.58,-3.23%,148.62%,7.996,57.67%,11.94
2,2026-01-19,125.395,2140.34,46.87,-2.32%,167.55%,7.996,2.14%,10.85
3,2026-01-16,124.372,2220.00,46.61,-1.98%,166.84%,7.996,2.22%,10.79
4,2026-01-15,124.705,2032.21,47.95,-2.09%,160.08%,7.996,2.04%,11.10
5,2026-01-14,125.149,5432.57,49.07,-2.23%,155.04%,7.996,5.41%,11.36
6,2026-01-13,124.842,3349.64,47.60,-2.13%,162.26%,7.996,3.33%,11.02
7,2026-01-12,126.281,4540.95,48.08,-2.59%,162.66%,7.996,4.48%,11.13
8,2026-01-09,126.453,5330.48,48.60,-2.64%,160.21%,7.996,5.28%,11.25
9,2026-01-08,125.448,4350.59,45.83,-2.31%,173.72%,7.996,4.33%,10.61
10,2026-01-07,124.940,8423.14,44.58,-2.15%,180.27%,7.996,8.38%,10.32
11,2026-01-06,124.547,2092.50,42.46,-2.02%,193.31%,7.996,2.10%,9.83
12,2026-01-05,123.793,3608.52,42.12,-1.77%,193.93%,7.996,3.66%,9.75
13,2025-12-31,121.824,1524.79,40.86,-1.12%,198.12%,7.996,1.56%,9.46
14,2025-12-30,122.156,514.53,41.04,-1.23%,197.67%,7.996,0.53%,9.50
15,2025-12-29,122.478,1742.34,41.69,-1.33%,193.82%,7.996,1.79%,9.65
16,2025-12-26,122.271,808.40,42.03,-1.26%,190.91%,7.996,0.83%,9.73
17,2025-12-25,122.650,1464.42,42.07,-1.38%,191.51%,7.996,1.49%,9.74
18,2025-12-24,122.411,766.96,42.07,-1.30%,190.95%,7.996,0.78%,9.74
19,2025-12-23,122.188,872.58,42.03,-1.23%,190.71%,7.996,0.89%,9.73
20,2025-12-22,122.084,769.96,41.47,-1.19%,194.40%,7.996,0.79%,9.60
21,2025-12-19,122.082,825.85,41.73,-1.19%,192.57%,7.996,0.85%,9.66
22,2025-12-18,121.803,835.16,40.69,-1.10%,199.34%,7.996,0.86%,9.42
23,2025-12-17,121.540,635.66,40.26,-1.01%,201.89%,7.996,0.65%,9.32
24,2025-12-16,121.264,690.26,40.22,-0.92%,201.53%,7.996,0.71%,9.31
25,2025-12-15,121.520,500.39,40.78,-1.00%,198.01%,7.996,0.52%,9.44
26,2025-12-12,121.643,586.32,40.30,-1.04%,201.83%,7.996,0.60%,9.33
27,2025-12-11,121.613,778.14,40.35,-1.03%,201.43%,7.996,0.80%,9.34
28,2025-12-10,121.975,686.81,40.65,-1.14%,200.08%,7.996,0.71%,9.41
29,2025-12-09,121.411,703.40,40.78,-0.96%,197.74%,7.996,0.72%,9.44
30,2025-12-08,121.977,492.07,41.21,-1.14%,195.99%,7.996,0.50%,9.54
