序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-02-13,144.362,5092.70,101.43,-9.62%,42.33%,14.767,2.38%,27.66
2,2026-02-12,143.865,7934.93,101.91,-9.48%,41.17%,14.767,3.73%,27.79
3,2026-02-11,144.009,5080.39,100.70,-9.50%,43.01%,14.767,2.40%,27.46
4,2026-02-10,142.000,5183.10,96.00,-8.96%,47.91%,14.767,2.49%,26.18
5,2026-02-09,141.059,4894.98,96.26,-8.70%,46.54%,14.767,2.36%,26.25
6,2026-02-06,140.101,11431.50,97.91,-8.42%,43.09%,14.767,5.54%,26.70
7,2026-02-05,138.782,6698.58,97.58,-8.05%,42.22%,14.767,3.27%,26.61
8,2026-02-04,139.587,10544.65,98.13,-8.26%,42.25%,14.767,5.10%,26.76
9,2026-02-03,141.335,19186.17,97.58,-8.72%,44.84%,14.767,9.38%,26.61
10,2026-02-02,134.782,17629.58,95.23,-6.91%,41.53%,14.767,8.74%,25.97
11,2026-01-30,138.959,14077.14,100.99,-8.04%,37.60%,14.767,6.78%,27.54
12,2026-01-29,144.347,6942.30,104.40,-9.46%,38.26%,14.767,3.24%,28.47
13,2026-01-28,144.942,7087.92,103.81,-9.60%,39.62%,14.767,3.35%,28.31
14,2026-01-27,142.295,5767.08,102.35,-8.91%,39.03%,14.767,2.73%,27.91
15,2026-01-26,144.162,17094.79,103.04,-9.38%,39.90%,14.767,8.02%,28.10
16,2026-01-23,145.204,10755.51,102.64,-9.62%,41.47%,14.767,5.05%,27.99
17,2026-01-22,142.004,4436.13,99.82,-8.78%,42.26%,14.767,2.13%,27.22
18,2026-01-21,140.539,8502.30,100.22,-8.39%,40.23%,14.767,4.09%,27.33
19,2026-01-20,139.564,6550.41,98.79,-8.12%,41.27%,14.767,3.20%,26.94
20,2026-01-19,138.933,13440.45,97.14,-7.94%,43.02%,14.767,6.56%,26.49
21,2026-01-16,139.853,10376.47,96.96,-8.16%,44.24%,14.767,5.00%,26.44
22,2026-01-15,139.570,20717.75,98.35,-8.08%,41.91%,14.767,10.14%,26.82
23,2026-01-14,135.033,11068.70,92.67,-6.84%,45.72%,14.767,5.49%,25.27
24,2026-01-13,135.487,8816.82,92.30,-6.96%,46.79%,14.767,4.38%,25.17
25,2026-01-12,136.546,13341.99,92.34,-7.24%,47.88%,14.767,6.61%,25.18
26,2026-01-09,137.514,5917.45,93.80,-7.48%,46.60%,14.767,2.92%,25.58
27,2026-01-08,136.938,10285.00,93.84,-7.32%,45.93%,14.767,5.05%,25.59
28,2026-01-07,138.028,32956.76,96.15,-7.60%,43.56%,14.767,16.09%,26.22
29,2026-01-06,134.418,12797.69,93.07,-6.61%,44.43%,14.767,6.42%,25.38
30,2026-01-05,134.659,11381.68,93.91,-6.67%,43.39%,14.767,5.75%,25.61
