序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-04-21,109.835,0.00,108.36,3.65%,1.36%,0.011,0.00%,17.88
2,2026-04-20,109.835,0.00,110.55,3.65%,-0.64%,0.011,0.00%,18.24
3,2026-04-17,109.835,0.00,109.39,3.65%,0.40%,0.092,0.00%,18.05
4,2026-04-16,109.835,8174.24,109.82,3.65%,0.02%,0.222,333.19%,18.12
5,2026-04-15,110.948,8273.16,109.94,3.18%,0.92%,1.096,67.73%,18.14
6,2026-04-14,110.525,8594.21,109.88,3.35%,0.59%,1.401,55.57%,18.13
7,2026-04-13,108.819,15188.94,109.03,4.07%,-0.19%,1.562,89.43%,17.99
8,2026-04-10,108.024,5630.88,106.61,4.39%,1.33%,2.014,25.73%,17.59
9,2026-04-09,107.761,6417.23,105.52,4.50%,2.13%,2.256,26.47%,17.41
10,2026-04-08,108.548,11466.43,106.18,4.16%,2.23%,2.533,41.53%,17.52
11,2026-04-07,107.283,8069.77,103.27,4.70%,3.88%,2.907,25.85%,17.04
12,2026-04-03,105.832,5056.26,101.94,5.30%,3.82%,3.335,14.31%,16.82
13,2026-04-02,106.065,6050.62,102.85,5.19%,3.13%,3.418,16.59%,16.97
14,2026-04-01,107.453,13628.32,106.73,4.59%,0.68%,3.617,35.01%,17.61
15,2026-03-31,105.955,10254.69,105.82,5.23%,0.13%,3.945,24.30%,17.46
16,2026-03-30,107.130,18805.88,107.21,4.72%,-0.08%,4.209,42.02%,17.69
17,2026-03-27,105.800,22704.42,104.24,5.27%,1.49%,4.713,44.96%,17.20
18,2026-03-26,107.103,9963.92,100.97,4.70%,6.07%,5.077,18.35%,16.66
19,2026-03-25,108.027,18271.65,103.88,4.31%,3.99%,5.466,31.13%,17.14
20,2026-03-24,106.114,21745.32,101.94,5.12%,4.10%,6.107,33.93%,16.82
21,2026-03-23,105.197,12603.59,99.94,5.51%,5.26%,6.484,18.36%,16.49
22,2026-03-20,107.021,9279.45,104.06,4.70%,2.84%,6.563,13.19%,17.17
23,2026-03-19,106.975,11951.25,104.61,4.72%,2.26%,6.563,17.05%,17.26
24,2026-03-18,108.599,16335.77,108.91,4.03%,-0.28%,6.566,22.95%,17.97
25,2026-03-17,110.038,9010.25,108.49,3.44%,1.43%,6.727,11.99%,17.90
26,2026-03-16,112.753,17356.65,111.21,2.35%,1.39%,6.727,22.87%,18.35
27,2026-03-13,114.320,59022.94,117.70,1.74%,-2.87%,6.729,75.03%,19.42
28,2026-03-12,127.689,34652.65,130.79,-2.98%,-2.37%,7.551,35.07%,21.58
29,2026-03-11,133.636,20058.31,130.42,-4.84%,2.46%,7.699,19.33%,21.52
30,2026-03-10,133.438,20086.72,132.12,-4.78%,1.00%,7.699,19.40%,21.80
