序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-01-16,203.342,13560.93,160.48,-19.89%,26.71%,5.150,13.22%,15.55
2,2026-01-15,190.749,12306.60,153.15,-17.81%,24.55%,5.150,12.55%,14.84
3,2026-01-14,193.074,16103.56,155.42,-18.19%,24.23%,5.150,15.79%,15.06
4,2026-01-13,195.022,20276.82,156.97,-18.50%,24.24%,5.150,20.02%,15.21
5,2026-01-12,193.415,15345.54,155.93,-18.21%,24.04%,5.150,15.62%,15.11
6,2026-01-09,187.793,15987.52,154.49,-17.20%,21.56%,5.150,16.83%,14.97
7,2026-01-08,179.262,6113.33,150.88,-15.65%,18.81%,5.150,6.58%,14.62
8,2026-01-07,180.210,10720.32,150.36,-15.81%,19.85%,5.150,11.64%,14.57
9,2026-01-06,174.730,10069.65,148.50,-14.77%,17.66%,5.150,11.17%,14.39
10,2026-01-05,173.354,8376.89,146.03,-14.49%,18.71%,5.150,9.44%,14.15
11,2025-12-31,172.570,10825.53,146.54,-14.26%,17.76%,5.150,12.16%,14.20
12,2025-12-30,171.816,10313.35,146.34,-14.10%,17.41%,5.150,11.77%,14.18
13,2025-12-29,170.723,12860.48,147.58,-13.87%,15.69%,5.150,14.74%,14.30
14,2025-12-26,170.174,14667.08,143.34,-13.72%,18.72%,5.150,16.58%,13.89
15,2025-12-25,173.803,40896.82,147.88,-14.41%,17.53%,5.150,45.75%,14.33
16,2025-12-24,165.369,7141.47,145.51,-12.73%,13.65%,5.150,8.41%,14.10
17,2025-12-23,163.388,5986.73,143.03,-12.31%,14.23%,5.150,7.13%,13.86
18,2025-12-22,163.669,7120.83,142.93,-12.36%,14.51%,5.150,8.49%,13.85
19,2025-12-19,160.530,5541.45,140.14,-11.66%,14.55%,5.150,6.68%,13.58
20,2025-12-18,161.003,11855.32,140.04,-11.75%,14.97%,5.150,14.24%,13.57
21,2025-12-17,161.492,11963.53,138.49,-11.84%,16.61%,5.150,14.58%,13.42
22,2025-12-16,156.507,9096.56,138.70,-10.76%,12.84%,5.150,11.22%,13.44
23,2025-12-15,160.478,12292.33,144.58,-11.60%,10.99%,5.150,15.00%,14.01
24,2025-12-12,158.403,11556.20,140.35,-11.13%,12.86%,5.150,14.21%,13.60
25,2025-12-11,160.427,15400.68,143.34,-11.55%,11.92%,5.150,18.67%,13.89
26,2025-12-10,161.964,16354.53,144.38,-11.86%,12.18%,5.150,19.91%,13.99
27,2025-12-09,156.915,9814.24,142.72,-10.77%,9.94%,5.150,12.14%,13.83
28,2025-12-08,157.422,16141.81,143.55,-10.87%,9.66%,5.150,19.93%,13.91
29,2025-12-05,156.222,34195.85,143.14,-10.58%,9.14%,5.150,43.10%,13.87
30,2025-12-04,151.776,146923.35,142.21,-9.58%,6.73%,5.150,187.92%,13.78
