序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-03-20,133.270,10429.77,102.52,-6.01%,29.99%,19.999,3.87%,54.10
2,2026-03-19,136.330,9415.53,107.88,-6.91%,26.37%,19.999,3.47%,56.93
3,2026-03-18,136.757,10773.00,108.26,-7.02%,26.32%,19.999,3.96%,57.13
4,2026-03-17,136.462,9844.66,110.20,-6.93%,23.84%,19.999,3.59%,58.15
5,2026-03-16,137.282,11170.08,106.54,-7.16%,28.86%,19.999,4.11%,56.22
6,2026-03-13,135.324,9122.96,101.46,-6.57%,33.38%,19.999,3.35%,53.54
7,2026-03-12,136.794,11369.29,101.08,-6.99%,35.33%,19.999,4.14%,53.34
8,2026-03-11,139.114,6245.59,103.28,-7.64%,34.70%,19.999,2.25%,54.50
9,2026-03-10,139.599,6332.11,104.57,-7.76%,33.50%,19.999,2.28%,55.18
10,2026-03-09,138.793,9661.68,104.11,-7.53%,33.31%,19.999,3.49%,54.94
11,2026-03-06,139.460,7438.71,104.23,-7.69%,33.81%,19.999,2.68%,55.00
12,2026-03-05,137.915,8982.11,103.32,-7.25%,33.49%,19.999,3.25%,54.52
13,2026-03-04,138.412,10710.67,104.85,-7.38%,32.01%,19.999,3.89%,55.33
14,2026-03-03,138.776,9121.10,107.07,-7.48%,29.61%,19.999,3.26%,56.50
15,2026-03-02,140.849,8956.89,108.02,-8.04%,30.40%,19.999,3.18%,57.00
16,2026-02-27,140.884,7660.05,108.22,-8.02%,30.18%,19.999,2.73%,57.11
17,2026-02-26,141.050,7177.05,108.47,-8.06%,30.04%,19.999,2.53%,57.24
18,2026-02-25,144.312,8559.37,111.64,-8.92%,29.27%,19.999,2.97%,58.91
19,2026-02-24,143.284,6129.59,109.63,-8.64%,30.70%,19.999,2.14%,57.85
20,2026-02-13,143.339,5396.28,111.03,-8.55%,29.10%,19.999,1.87%,58.59
21,2026-02-12,143.291,4381.39,112.41,-8.53%,27.47%,19.999,1.52%,59.32
22,2026-02-11,144.281,7894.03,114.06,-8.78%,26.49%,19.999,2.73%,60.19
23,2026-02-10,144.347,9724.62,114.76,-8.79%,25.78%,19.999,3.35%,60.56
24,2026-02-09,145.261,12227.75,116.35,-9.01%,24.84%,19.999,4.23%,61.40
25,2026-02-06,144.412,14857.69,115.41,-8.76%,25.13%,19.999,5.17%,60.90
26,2026-02-05,142.173,10266.58,116.07,-8.17%,22.49%,19.999,3.62%,61.25
27,2026-02-04,142.681,19306.70,116.39,-8.30%,22.59%,19.999,6.82%,61.42
28,2026-02-03,140.359,13469.73,112.58,-7.68%,24.67%,19.999,4.81%,59.41
29,2026-02-02,137.882,16623.54,111.29,-7.00%,23.89%,19.999,6.01%,58.73
30,2026-01-30,140.897,21379.48,116.26,-7.79%,21.19%,19.999,7.54%,61.35
