序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-02-13,134.994,4243.66,96.14,-5.07%,40.42%,7.998,3.93%,9.95
2,2026-02-12,134.900,5467.34,96.14,-5.03%,40.32%,7.998,5.06%,9.95
3,2026-02-11,135.895,5942.36,98.07,-5.31%,38.57%,7.998,5.47%,10.15
4,2026-02-10,135.657,6632.74,97.59,-5.23%,39.01%,7.998,6.11%,10.10
5,2026-02-09,135.390,6320.43,97.39,-5.15%,39.02%,7.998,5.84%,10.08
6,2026-02-06,134.379,5211.36,96.52,-4.86%,39.22%,7.998,4.86%,9.99
7,2026-02-05,133.707,5814.81,96.52,-4.66%,38.53%,7.998,5.46%,9.99
8,2026-02-04,133.522,4393.32,96.23,-4.61%,38.75%,7.998,4.12%,9.96
9,2026-02-03,133.264,8539.36,95.56,-4.53%,39.46%,7.998,8.07%,9.89
10,2026-02-02,131.013,6628.87,95.56,-3.88%,37.11%,7.998,6.29%,9.89
11,2026-01-30,132.967,8562.72,96.23,-4.42%,38.17%,7.998,8.03%,9.96
12,2026-01-29,134.584,5755.11,96.52,-4.87%,39.43%,7.998,5.34%,9.99
13,2026-01-28,135.181,5580.51,97.10,-5.03%,39.22%,7.998,5.17%,10.05
14,2026-01-27,134.508,6289.15,98.26,-4.84%,36.89%,7.998,5.86%,10.17
15,2026-01-26,135.178,6372.81,99.13,-5.02%,36.36%,7.998,5.88%,10.26
16,2026-01-23,136.527,5323.61,100.48,-5.37%,35.87%,7.998,4.88%,10.40
17,2026-01-22,135.536,6984.12,99.61,-5.10%,36.06%,7.998,6.47%,10.31
18,2026-01-21,134.388,6485.22,99.32,-4.78%,35.30%,7.998,6.05%,10.28
19,2026-01-20,133.465,4258.68,99.13,-4.52%,34.64%,7.998,3.98%,10.26
20,2026-01-19,134.388,8358.28,100.68,-4.77%,33.49%,7.998,7.80%,10.42
21,2026-01-16,133.277,6113.26,99.42,-4.45%,34.05%,7.998,5.71%,10.29
22,2026-01-15,133.182,8578.39,100.00,-4.42%,33.18%,7.998,8.06%,10.35
23,2026-01-14,133.105,7808.95,100.87,-4.39%,31.96%,7.998,7.31%,10.44
24,2026-01-13,132.983,11543.41,100.68,-4.35%,32.09%,7.998,10.76%,10.42
25,2026-01-12,134.655,9643.71,101.84,-4.81%,32.23%,7.998,8.96%,10.54
26,2026-01-09,133.957,6066.81,102.22,-4.60%,31.04%,7.998,5.68%,10.58
27,2026-01-08,133.344,8900.05,101.16,-4.43%,31.82%,7.998,8.33%,10.47
28,2026-01-07,133.187,12082.52,101.35,-4.38%,31.41%,7.998,11.32%,10.49
29,2026-01-06,133.520,5859.30,102.80,-4.47%,29.88%,7.998,5.50%,10.64
30,2026-01-05,132.155,7868.69,102.32,-4.09%,29.16%,7.998,7.45%,10.59
