序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-02-13,148.432,4878.81,115.54,-15.67%,28.47%,8.722,3.76%,64.38
2,2026-02-12,149.876,4777.49,119.56,-16.16%,25.35%,8.722,3.66%,66.62
3,2026-02-11,147.983,6094.85,118.58,-15.46%,24.80%,8.722,4.68%,66.07
4,2026-02-10,148.348,4041.27,118.58,-15.57%,25.11%,8.722,3.12%,66.07
5,2026-02-09,149.047,6369.29,118.63,-15.79%,25.64%,8.722,4.93%,66.10
6,2026-02-06,146.644,9436.02,115.72,-14.85%,26.72%,8.722,7.40%,64.48
7,2026-02-05,144.014,6554.51,114.82,-13.86%,25.42%,8.722,5.22%,63.98
8,2026-02-04,143.130,6429.45,113.25,-13.51%,26.39%,8.722,5.15%,63.10
9,2026-02-03,142.466,11756.32,109.17,-13.23%,30.50%,8.722,9.54%,60.83
10,2026-02-02,139.138,11178.05,107.68,-11.92%,29.21%,8.722,9.15%,60.00
11,2026-01-30,143.097,9584.90,113.53,-13.39%,26.04%,8.722,7.67%,63.26
12,2026-01-29,145.870,13107.83,114.48,-14.39%,27.42%,8.722,10.30%,63.79
13,2026-01-28,144.647,8067.46,111.56,-13.92%,29.66%,8.722,6.41%,62.16
14,2026-01-27,145.666,9172.73,118.16,-14.27%,23.28%,8.722,7.24%,65.84
15,2026-01-26,145.794,12898.45,119.04,-14.29%,22.47%,8.722,10.11%,66.33
16,2026-01-23,146.233,8909.98,115.49,-14.39%,26.62%,8.722,6.97%,64.35
17,2026-01-22,145.548,8588.69,115.26,-14.12%,26.28%,8.722,6.76%,64.22
18,2026-01-21,144.281,7971.39,117.50,-13.64%,22.79%,8.722,6.35%,65.47
19,2026-01-20,142.234,23572.67,115.65,-12.86%,22.99%,8.722,18.93%,64.44
20,2026-01-19,139.717,5035.26,109.30,-11.89%,27.83%,8.723,4.14%,60.90
21,2026-01-16,137.618,3628.59,105.64,-11.02%,30.28%,8.723,3.02%,58.86
22,2026-01-15,137.673,4462.46,106.59,-11.02%,29.17%,8.723,3.73%,59.39
23,2026-01-14,136.970,7358.72,104.11,-10.73%,31.56%,8.723,6.10%,58.01
24,2026-01-13,137.215,4253.15,106.26,-10.81%,29.13%,8.723,3.52%,59.21
25,2026-01-12,139.701,2860.42,107.09,-11.75%,30.45%,8.723,2.35%,59.67
26,2026-01-09,138.666,5269.21,107.77,-11.30%,28.67%,8.723,4.36%,60.05
27,2026-01-08,137.511,4839.98,107.38,-10.84%,28.06%,8.723,4.01%,59.83
28,2026-01-07,138.030,5449.12,107.27,-11.02%,28.68%,8.723,4.53%,59.77
29,2026-01-06,137.298,11619.41,108.74,-10.73%,26.26%,8.723,9.74%,60.59
30,2026-01-05,134.729,5529.37,104.11,-9.70%,29.41%,8.723,4.71%,58.01
