序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-03-20,130.360,5989.98,93.82,-5.39%,38.95%,11.998,3.80%,29.76
2,2026-03-19,130.731,7571.50,93.66,-5.50%,39.58%,11.998,4.81%,29.71
3,2026-03-18,133.402,5725.13,96.63,-6.24%,38.06%,11.998,3.58%,30.65
4,2026-03-17,132.348,8067.43,96.31,-5.94%,37.42%,11.998,5.04%,30.55
5,2026-03-16,133.687,10453.48,97.19,-6.31%,37.55%,11.998,6.51%,30.83
6,2026-03-13,135.469,7343.64,99.50,-6.77%,36.16%,11.998,4.49%,31.56
7,2026-03-12,137.219,6436.24,99.81,-7.23%,37.48%,11.998,3.89%,31.66
8,2026-03-11,137.943,4943.83,99.56,-7.42%,38.55%,11.998,2.99%,31.58
9,2026-03-10,138.209,7290.77,99.15,-7.48%,39.40%,11.998,4.40%,31.45
10,2026-03-09,138.397,7475.29,100.79,-7.52%,37.31%,11.998,4.51%,31.97
11,2026-03-06,140.039,4357.08,105.71,-7.92%,32.48%,11.998,2.60%,33.53
12,2026-03-05,138.768,8369.82,103.59,-7.58%,33.95%,11.998,4.98%,32.86
13,2026-03-04,138.874,7238.59,100.95,-7.60%,37.57%,11.998,4.39%,32.02
14,2026-03-03,138.264,9586.13,100.25,-7.44%,37.92%,11.998,5.74%,31.80
15,2026-03-02,140.747,13587.82,104.10,-8.07%,35.21%,11.998,8.08%,33.02
16,2026-02-27,137.242,4538.36,97.98,-7.14%,40.07%,11.998,2.76%,31.08
17,2026-02-26,137.000,5459.02,96.72,-7.07%,41.64%,11.998,3.29%,30.68
18,2026-02-25,139.647,5313.96,98.83,-7.75%,41.30%,11.998,3.16%,31.35
19,2026-02-24,140.225,4390.86,99.02,-7.89%,41.61%,11.998,2.61%,31.41
20,2026-02-13,139.702,5756.63,97.54,-7.67%,43.22%,11.998,3.42%,30.94
21,2026-02-12,141.509,3193.82,97.35,-8.11%,45.36%,11.998,1.89%,30.88
22,2026-02-11,140.522,2906.85,98.49,-7.86%,42.68%,11.998,1.72%,31.24
23,2026-02-10,140.629,4916.98,99.46,-7.88%,41.39%,11.998,2.90%,31.55
24,2026-02-09,142.608,10384.80,102.11,-8.35%,39.66%,11.998,6.10%,32.39
25,2026-02-06,140.506,11753.65,102.77,-7.81%,36.71%,11.998,6.98%,32.60
26,2026-02-05,140.108,4785.39,106.49,-7.71%,31.56%,11.998,2.84%,33.78
27,2026-02-04,141.734,9265.42,107.50,-8.10%,31.84%,11.998,5.49%,34.10
28,2026-02-03,140.094,14957.78,104.07,-7.69%,34.62%,11.998,9.00%,33.01
29,2026-02-02,136.063,11130.68,102.68,-6.66%,32.51%,11.998,6.78%,32.57
30,2026-01-30,138.725,9926.26,101.96,-7.32%,36.07%,11.998,5.95%,32.34
