序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-03-20,123.919,1177.61,52.06,-2.65%,138.02%,3.977,2.38%,19.18
2,2026-03-19,124.589,1549.21,52.74,-2.85%,136.23%,3.977,3.12%,19.43
3,2026-03-18,125.957,2355.00,53.86,-3.25%,133.88%,3.977,4.74%,19.84
4,2026-03-17,125.000,1742.33,53.64,-2.96%,133.05%,3.977,3.48%,19.76
5,2026-03-16,126.927,2278.83,54.15,-3.52%,134.39%,3.977,4.53%,19.95
6,2026-03-13,127.170,1219.28,54.18,-3.58%,134.72%,3.977,2.40%,19.96
7,2026-03-12,127.823,1346.21,54.26,-3.76%,135.57%,3.977,2.64%,19.99
8,2026-03-11,129.240,1014.76,54.83,-4.16%,135.70%,3.977,1.98%,20.20
9,2026-03-10,128.596,1209.51,55.13,-3.97%,133.26%,3.977,2.37%,20.31
10,2026-03-09,127.878,1904.76,54.70,-3.77%,133.80%,3.977,3.76%,20.15
11,2026-03-06,128.692,1813.88,56.79,-3.99%,126.63%,3.977,3.56%,20.92
12,2026-03-05,128.456,2173.99,57.98,-3.92%,121.55%,3.977,4.24%,21.36
13,2026-03-04,128.484,5450.32,59.04,-3.92%,117.63%,3.977,10.62%,21.75
14,2026-03-03,128.101,3154.06,56.76,-3.81%,125.69%,3.977,6.15%,20.91
15,2026-03-02,129.943,1966.62,57.06,-4.32%,127.74%,3.977,3.81%,21.02
16,2026-02-27,129.286,915.95,56.03,-4.12%,130.76%,3.977,1.79%,20.64
17,2026-02-26,129.066,1236.62,56.00,-4.06%,130.48%,3.977,2.40%,20.63
18,2026-02-25,130.442,1415.13,56.57,-4.43%,130.59%,3.977,2.73%,20.84
19,2026-02-24,130.020,1839.31,56.60,-4.31%,129.73%,3.977,3.55%,20.85
20,2026-02-13,129.344,1744.50,56.14,-4.08%,130.42%,3.977,3.38%,20.68
21,2026-02-12,130.069,1277.61,56.27,-4.27%,131.15%,3.977,2.47%,20.73
22,2026-02-11,130.181,1668.18,57.09,-4.30%,128.05%,3.977,3.22%,21.03
23,2026-02-10,130.220,2139.36,57.41,-4.31%,126.82%,3.977,4.12%,21.15
24,2026-02-09,129.898,3423.76,57.95,-4.22%,124.14%,3.977,6.62%,21.35
25,2026-02-06,129.182,24084.45,57.95,-4.01%,122.91%,3.977,45.58%,21.35
26,2026-02-05,128.180,953.06,56.62,-3.73%,126.37%,3.977,1.87%,20.86
27,2026-02-04,127.785,1495.63,56.05,-3.62%,127.97%,3.977,2.94%,20.65
28,2026-02-03,127.406,1376.72,56.03,-3.51%,127.40%,3.977,2.74%,20.64
29,2026-02-02,125.475,2465.64,55.76,-2.97%,125.05%,3.977,4.91%,20.54
30,2026-01-30,128.453,1542.17,55.59,-3.78%,131.06%,3.977,3.00%,20.48
