序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-01-16,135.247,5078.57,96.81,-6.11%,39.70%,30.299,1.24%,14.27
2,2026-01-15,135.237,10241.61,96.20,-6.10%,40.58%,30.299,2.51%,14.18
3,2026-01-14,133.586,9826.44,94.84,-5.68%,40.85%,30.299,2.41%,13.98
4,2026-01-13,134.000,10967.50,95.39,-5.78%,40.48%,30.299,2.72%,14.06
5,2026-01-12,135.034,10802.40,96.95,-6.03%,39.29%,30.299,2.65%,14.29
6,2026-01-09,132.899,9055.11,95.52,-5.49%,39.13%,30.299,2.25%,14.08
7,2026-01-08,132.541,12442.08,96.88,-5.39%,36.81%,30.299,3.09%,14.28
8,2026-01-07,132.359,6922.62,96.68,-5.34%,36.91%,30.299,1.72%,14.25
9,2026-01-06,132.684,12738.18,97.02,-5.42%,36.77%,30.299,3.18%,14.30
10,2026-01-05,131.058,8309.70,94.78,-5.00%,38.28%,30.299,2.09%,13.97
11,2025-12-31,130.131,4963.10,94.71,-4.74%,37.40%,30.299,1.26%,13.96
12,2025-12-30,129.784,5515.86,95.18,-4.65%,36.35%,30.299,1.40%,14.03
13,2025-12-29,129.511,4497.34,95.32,-4.57%,35.87%,30.299,1.14%,14.05
14,2025-12-26,129.964,6441.24,95.32,-4.68%,36.35%,30.299,1.63%,14.05
15,2025-12-25,129.111,6378.71,92.40,-4.45%,39.73%,30.299,1.63%,13.62
16,2025-12-24,128.273,4493.69,92.27,-4.23%,39.03%,30.299,1.16%,13.60
17,2025-12-23,127.094,3480.09,89.89,-3.92%,41.39%,30.299,0.90%,13.25
18,2025-12-22,127.576,3934.03,90.57,-4.04%,40.86%,30.299,1.02%,13.35
19,2025-12-19,126.995,4760.53,89.89,-3.88%,41.28%,30.299,1.23%,13.25
20,2025-12-18,127.227,3465.59,89.35,-3.94%,42.39%,30.299,0.90%,13.17
21,2025-12-17,127.400,3963.84,90.03,-3.98%,41.51%,30.299,1.03%,13.27
22,2025-12-16,126.371,6080.46,89.76,-3.70%,40.79%,30.299,1.59%,13.23
23,2025-12-15,127.690,4922.93,92.13,-4.05%,38.60%,30.299,1.27%,13.58
24,2025-12-12,127.833,4970.59,94.10,-4.07%,35.85%,30.299,1.28%,13.87
25,2025-12-11,127.714,3858.09,91.86,-4.04%,39.03%,30.299,0.99%,13.54
26,2025-12-10,128.535,4114.85,93.83,-4.24%,36.99%,30.299,1.06%,13.83
27,2025-12-09,128.291,3630.46,93.83,-4.18%,36.73%,30.299,0.93%,13.83
28,2025-12-08,129.212,3605.52,94.37,-4.41%,36.92%,30.299,0.92%,13.91
29,2025-12-05,129.805,6185.42,95.18,-4.55%,36.37%,30.299,1.58%,14.03
30,2025-12-04,127.606,2924.68,93.56,-3.98%,36.40%,30.299,0.76%,13.79
