序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-05-21,133.983,4119.87,85.69,-4.74%,56.35%,3.596,8.51%,5.39
2,2026-05-20,135.988,3386.35,90.62,-5.29%,50.06%,3.596,6.92%,5.70
3,2026-05-19,136.780,4600.79,90.62,-5.50%,50.94%,3.596,9.42%,5.70
4,2026-05-18,134.510,4967.42,89.03,-4.87%,51.08%,3.596,10.28%,5.60
5,2026-05-15,135.349,5147.08,88.71,-5.09%,52.57%,3.596,10.62%,5.58
6,2026-05-14,134.594,3866.64,88.71,-4.87%,51.72%,3.596,7.95%,5.58
7,2026-05-13,136.716,4618.92,89.98,-5.45%,51.93%,3.596,9.40%,5.66
8,2026-05-12,136.669,4994.04,90.62,-5.43%,50.82%,3.596,10.10%,5.70
9,2026-05-11,138.884,4438.29,91.57,-6.02%,51.66%,3.596,8.92%,5.76
10,2026-05-08,138.169,5036.97,91.42,-5.81%,51.14%,3.596,10.15%,5.75
11,2026-05-07,137.514,4872.59,89.83,-5.63%,53.09%,3.596,9.84%,5.65
12,2026-05-06,137.564,6824.63,90.14,-5.64%,52.61%,3.596,13.82%,5.67
13,2026-04-30,136.259,3690.02,90.78,-5.26%,50.10%,3.596,7.53%,5.71
14,2026-04-29,135.799,3969.42,89.03,-5.13%,52.53%,3.596,8.12%,5.60
15,2026-04-28,135.273,3159.69,87.92,-4.98%,53.86%,3.596,6.50%,5.53
16,2026-04-27,135.500,4038.86,87.28,-5.04%,55.24%,3.596,8.35%,5.49
17,2026-04-24,135.921,3103.05,88.24,-5.13%,54.04%,3.596,6.37%,5.55
18,2026-04-23,135.010,2826.82,86.33,-4.88%,56.39%,3.596,5.81%,5.43
19,2026-04-22,135.522,3558.25,86.01,-5.02%,57.57%,3.596,7.29%,5.41
20,2026-04-21,135.561,2679.87,86.80,-5.02%,56.17%,3.596,5.50%,5.46
21,2026-04-20,135.764,3139.81,86.96,-5.07%,56.12%,3.596,6.43%,5.47
22,2026-04-17,136.003,3350.89,87.44,-5.12%,55.54%,3.596,6.87%,5.50
23,2026-04-16,134.845,4919.63,87.28,-4.80%,54.49%,3.596,10.16%,5.49
24,2026-04-15,133.298,2701.03,85.06,-4.38%,56.72%,3.596,5.62%,5.35
25,2026-04-14,133.426,3374.65,85.69,-4.41%,55.70%,3.596,7.06%,5.39
26,2026-04-13,132.600,3323.95,86.65,-4.18%,53.04%,3.596,6.96%,5.45
27,2026-04-10,133.851,2986.83,86.65,-4.51%,54.48%,3.596,6.19%,5.45
28,2026-04-09,134.009,4838.41,85.85,-4.55%,56.10%,3.596,10.04%,5.40
29,2026-04-08,134.998,6529.66,87.92,-4.81%,53.55%,3.596,13.55%,5.53
30,2026-04-07,130.910,5672.13,84.90,-3.69%,54.20%,3.596,12.05%,5.34
