序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-02-13,129.117,3441.66,78.10,-4.03%,65.31%,19.994,1.33%,29.25
2,2026-02-12,129.809,2667.34,78.80,-4.20%,64.74%,19.994,1.03%,29.51
3,2026-02-11,130.115,5499.55,79.49,-4.27%,63.68%,19.994,2.12%,29.77
4,2026-02-10,129.321,3859.66,79.17,-4.07%,63.34%,19.994,1.49%,29.65
5,2026-02-09,129.499,4749.12,79.57,-4.11%,62.74%,19.994,1.84%,29.80
6,2026-02-06,128.707,4672.66,80.08,-3.90%,60.72%,19.994,1.81%,29.99
7,2026-02-05,128.847,7456.31,80.64,-3.94%,59.78%,19.994,2.90%,30.20
8,2026-02-04,127.936,6994.85,78.37,-3.70%,63.24%,19.994,2.74%,29.35
9,2026-02-03,126.972,8575.13,76.85,-3.46%,65.22%,19.994,3.40%,28.78
10,2026-02-02,125.012,11142.48,76.24,-2.95%,63.98%,19.994,4.42%,28.55
11,2026-01-30,126.979,8921.10,78.93,-3.45%,60.87%,19.994,3.50%,29.56
12,2026-01-29,129.086,4807.65,80.37,-3.97%,60.61%,19.994,1.86%,30.10
13,2026-01-28,129.292,5388.76,80.43,-4.02%,60.76%,19.994,2.10%,30.12
14,2026-01-27,128.112,3577.32,79.01,-3.72%,62.14%,19.994,1.40%,29.59
15,2026-01-26,128.871,7682.57,80.45,-3.91%,60.18%,19.994,2.97%,30.13
16,2026-01-23,130.206,4779.77,81.90,-4.22%,58.99%,19.994,1.84%,30.67
17,2026-01-22,129.259,4730.78,81.98,-3.99%,57.68%,19.994,1.83%,30.70
18,2026-01-21,128.685,7651.78,82.46,-3.84%,56.06%,19.994,2.97%,30.88
19,2026-01-20,128.782,5247.05,82.88,-3.86%,55.38%,19.994,2.04%,31.04
20,2026-01-19,128.255,5377.97,81.66,-3.73%,57.07%,19.994,2.10%,30.58
21,2026-01-16,127.719,6084.71,79.95,-3.59%,59.76%,19.994,2.38%,29.94
22,2026-01-15,127.465,6146.99,80.91,-3.52%,57.54%,19.994,2.42%,30.30
23,2026-01-14,127.027,6308.11,80.64,-3.41%,57.52%,19.994,2.48%,30.20
24,2026-01-13,127.490,8237.35,81.71,-3.52%,56.03%,19.994,3.23%,30.60
25,2026-01-12,128.099,11196.39,81.12,-3.67%,57.91%,19.994,4.37%,30.38
26,2026-01-09,127.779,5443.11,81.12,-3.58%,57.52%,19.994,2.13%,30.38
27,2026-01-08,127.723,7313.90,81.36,-3.56%,56.98%,19.994,2.87%,30.47
28,2026-01-07,127.470,4890.05,80.85,-3.50%,57.65%,19.994,1.92%,30.28
29,2026-01-06,127.509,6609.98,81.12,-3.50%,57.18%,19.994,2.60%,30.38
30,2026-01-05,126.556,7763.32,80.29,-3.27%,57.62%,19.994,3.07%,30.07
