序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-02-13,194.859,9073.23,151.92,-14.90%,28.26%,5.699,8.15%,15.42
2,2026-02-12,193.060,4951.60,151.13,-14.63%,27.74%,5.699,4.51%,15.34
3,2026-02-11,189.481,4601.74,148.97,-14.09%,27.20%,5.699,4.22%,15.12
4,2026-02-10,189.775,4653.30,148.28,-14.12%,27.99%,5.699,4.30%,15.05
5,2026-02-09,189.920,7429.55,148.37,-14.13%,28.00%,5.699,6.91%,15.06
6,2026-02-06,185.465,7808.44,145.42,-13.43%,27.54%,5.699,7.42%,14.76
7,2026-02-05,182.100,5661.12,144.93,-12.90%,25.65%,5.699,5.49%,14.71
8,2026-02-04,185.042,5510.66,147.69,-13.34%,25.30%,5.699,5.21%,14.99
9,2026-02-03,188.422,16486.09,146.90,-13.84%,28.27%,5.699,15.66%,14.91
10,2026-02-02,177.990,17286.52,144.43,-12.21%,23.23%,5.699,16.66%,14.66
11,2026-01-30,185.674,16686.80,148.37,-13.38%,25.14%,5.699,15.50%,15.06
12,2026-01-29,193.859,7212.67,148.28,-14.57%,30.74%,5.699,6.44%,15.05
13,2026-01-28,196.200,13142.99,152.32,-14.89%,28.81%,5.699,11.67%,15.46
14,2026-01-27,198.165,19311.69,155.17,-15.16%,27.71%,5.699,17.32%,15.75
15,2026-01-26,198.388,20655.23,156.45,-15.17%,26.80%,5.699,17.98%,15.88
16,2026-01-23,211.478,10379.26,161.38,-16.87%,31.04%,5.699,8.63%,16.38
17,2026-01-22,211.874,14053.25,163.25,-16.91%,29.78%,5.699,11.81%,16.57
18,2026-01-21,207.752,12741.66,160.79,-16.37%,29.21%,5.699,10.83%,16.32
19,2026-01-20,200.020,10333.58,154.68,-15.32%,29.31%,5.699,8.98%,15.70
20,2026-01-19,207.855,8756.01,159.11,-16.35%,30.63%,5.699,7.37%,16.15
21,2026-01-16,211.240,19382.60,161.28,-16.75%,30.98%,5.699,16.23%,16.37
22,2026-01-15,200.382,9853.79,155.07,-15.31%,29.22%,5.699,8.68%,15.74
23,2026-01-14,199.837,14061.65,155.57,-15.23%,28.46%,5.699,12.17%,15.79
24,2026-01-13,203.065,10763.87,154.48,-15.65%,31.45%,5.699,9.23%,15.68
25,2026-01-12,207.348,15255.28,160.89,-16.20%,28.88%,5.699,13.00%,16.33
26,2026-01-09,207.346,11709.12,161.08,-16.16%,28.72%,5.699,9.94%,16.35
27,2026-01-08,203.607,12431.44,162.17,-15.66%,25.55%,5.699,10.62%,16.46
28,2026-01-07,203.887,23700.04,162.66,-15.68%,25.35%,5.699,20.22%,16.51
29,2026-01-06,203.958,25175.74,163.84,-15.68%,24.48%,5.699,21.74%,16.63
30,2026-01-05,204.056,23035.23,162.07,-15.68%,25.91%,5.699,19.92%,16.45
