序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-02-13,129.504,1515.84,55.05,-2.61%,135.26%,7.700,1.52%,20.72
2,2026-02-12,129.711,2085.94,54.97,-2.65%,135.97%,7.700,2.09%,20.69
3,2026-02-11,129.104,1795.64,55.66,-2.50%,131.96%,7.700,1.81%,20.95
4,2026-02-10,129.228,2308.18,56.06,-2.53%,130.53%,7.700,2.32%,21.10
5,2026-02-09,129.956,5141.68,56.48,-2.71%,130.08%,7.700,5.15%,21.26
6,2026-02-06,128.050,2726.35,55.95,-2.24%,128.86%,7.700,2.77%,21.06
7,2026-02-05,127.121,3025.48,55.77,-2.01%,127.96%,7.700,3.09%,20.99
8,2026-02-04,126.918,3303.18,55.37,-1.96%,129.23%,7.700,3.38%,20.84
9,2026-02-03,126.415,4331.02,55.13,-1.83%,129.31%,7.700,4.46%,20.75
10,2026-02-02,124.954,3468.31,54.92,-1.47%,127.54%,7.700,3.59%,20.67
11,2026-01-30,126.365,4120.61,55.39,-1.81%,128.12%,7.700,4.22%,20.85
12,2026-01-29,127.638,3032.19,55.34,-2.12%,130.64%,7.700,3.07%,20.83
13,2026-01-28,127.194,2734.77,54.22,-2.01%,134.57%,7.700,2.80%,20.41
14,2026-01-27,126.662,2342.81,54.65,-1.88%,131.77%,7.700,2.41%,20.57
15,2026-01-26,126.712,3499.80,55.50,-1.89%,128.31%,7.700,3.57%,20.89
16,2026-01-23,127.226,2994.49,55.47,-2.01%,129.35%,7.700,3.06%,20.88
17,2026-01-22,127.100,3229.37,55.47,-1.98%,129.12%,7.700,3.32%,20.88
18,2026-01-21,124.970,3429.55,54.60,-1.45%,128.90%,7.700,3.57%,20.55
19,2026-01-20,124.753,2619.51,54.62,-1.40%,128.39%,7.700,2.73%,20.56
20,2026-01-19,124.812,2139.84,53.88,-1.41%,131.65%,7.700,2.22%,20.28
21,2026-01-16,124.891,2118.66,53.72,-1.43%,132.49%,7.700,2.20%,20.22
22,2026-01-15,124.476,1932.08,53.96,-1.32%,130.69%,7.700,2.02%,20.31
23,2026-01-14,124.266,2007.45,53.96,-1.27%,130.30%,7.700,2.09%,20.31
24,2026-01-13,124.815,3239.79,54.33,-1.41%,129.73%,7.700,3.35%,20.45
25,2026-01-12,126.816,1826.35,54.41,-1.89%,133.07%,7.700,1.88%,20.48
26,2026-01-09,125.803,1351.72,53.88,-1.64%,133.49%,7.700,1.40%,20.28
27,2026-01-08,125.253,1115.03,53.85,-1.51%,132.59%,7.700,1.15%,20.27
28,2026-01-07,125.280,2374.64,53.77,-1.51%,132.98%,7.700,2.46%,20.24
29,2026-01-06,124.910,2403.11,53.99,-1.42%,131.38%,7.700,2.50%,20.32
30,2026-01-05,123.800,2527.47,54.17,-1.15%,128.54%,7.700,2.65%,20.39
