序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-01-20,143.123,5089.53,100.50,-6.39%,42.40%,3.094,11.48%,7.97
2,2026-01-19,143.619,3337.43,102.14,-6.48%,40.60%,3.094,7.52%,8.10
3,2026-01-16,143.419,4083.02,101.89,-6.43%,40.76%,3.094,9.21%,8.08
4,2026-01-15,142.604,5818.12,101.77,-6.27%,40.13%,3.094,13.18%,8.07
5,2026-01-14,142.635,9707.55,103.15,-6.27%,38.28%,3.094,21.80%,8.18
6,2026-01-13,142.121,12113.13,104.16,-6.17%,36.44%,3.094,27.27%,8.26
7,2026-01-12,149.017,25962.88,110.72,-7.45%,34.59%,3.094,56.86%,8.78
8,2026-01-09,144.301,20409.83,111.60,-6.56%,29.30%,3.094,45.68%,8.85
9,2026-01-08,146.251,35340.36,110.34,-6.92%,32.55%,3.094,79.50%,8.75
10,2026-01-07,139.924,11188.36,100.25,-5.71%,39.57%,3.094,25.86%,7.95
11,2026-01-06,139.967,11167.56,101.14,-5.72%,38.40%,3.094,25.97%,8.02
12,2026-01-05,138.303,20677.68,105.04,-5.38%,31.66%,3.094,48.12%,8.33
13,2025-12-31,139.639,9077.38,116.77,-5.62%,19.58%,3.094,20.99%,9.26
14,2025-12-30,138.943,12184.55,116.77,-5.48%,18.99%,3.094,28.33%,9.26
15,2025-12-29,139.713,17610.90,128.12,-5.63%,9.05%,3.094,40.52%,10.16
16,2025-12-26,140.005,10998.39,125.35,-5.67%,11.69%,3.094,25.28%,9.94
17,2025-12-25,140.007,7763.90,124.34,-5.67%,12.60%,3.094,18.05%,9.86
18,2025-12-24,139.664,6470.26,125.47,-5.60%,11.31%,3.094,15.00%,9.95
19,2025-12-23,138.057,8469.79,122.83,-5.28%,12.40%,3.094,19.72%,9.74
20,2025-12-22,138.971,12427.54,125.10,-5.46%,11.09%,3.094,28.93%,9.92
21,2025-12-19,140.787,12272.90,127.87,-5.79%,10.10%,3.094,28.26%,10.14
22,2025-12-18,138.113,8853.40,121.19,-5.27%,13.97%,3.094,20.74%,9.61
23,2025-12-17,138.960,12954.70,124.84,-5.43%,11.31%,3.094,30.35%,9.90
24,2025-12-16,136.649,7686.99,117.78,-4.98%,16.02%,3.094,18.15%,9.34
25,2025-12-15,138.083,12803.99,124.21,-5.25%,11.17%,3.094,29.97%,9.85
26,2025-12-12,136.034,14803.84,124.59,-4.84%,9.19%,3.094,35.17%,9.88
27,2025-12-11,135.884,18367.12,129.00,-4.80%,5.33%,3.094,43.44%,10.23
28,2025-12-10,139.361,12889.33,134.43,-5.48%,3.67%,3.094,29.87%,10.66
29,2025-12-09,139.959,13868.04,136.44,-5.59%,2.58%,3.094,31.89%,10.82
30,2025-12-08,140.168,12752.65,136.07,-5.63%,3.02%,3.094,29.08%,10.79
