序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-03-20,150.357,11101.45,114.79,-7.56%,30.98%,9.079,8.11%,8.46
2,2026-03-19,149.986,12663.90,115.88,-7.49%,29.44%,9.079,9.14%,8.54
3,2026-03-18,159.892,9217.77,121.85,-9.27%,31.23%,9.079,6.45%,8.98
4,2026-03-17,156.470,14591.96,120.76,-8.66%,29.57%,9.079,10.11%,8.90
5,2026-03-16,160.589,14594.53,122.66,-9.37%,30.92%,9.079,9.98%,9.04
6,2026-03-13,166.193,10276.29,123.47,-10.29%,34.60%,9.079,6.77%,9.10
7,2026-03-12,169.819,7697.63,123.47,-10.87%,37.53%,9.079,4.99%,9.10
8,2026-03-11,173.119,11800.38,124.15,-11.38%,39.44%,9.079,7.49%,9.15
9,2026-03-10,174.818,25781.20,127.41,-11.63%,37.21%,9.079,16.51%,9.39
10,2026-03-09,166.687,29361.56,121.17,-10.34%,37.57%,9.079,19.79%,8.93
11,2026-03-06,176.556,12665.51,127.68,-11.86%,38.28%,9.079,8.04%,9.41
12,2026-03-05,174.314,20263.04,129.44,-11.51%,34.66%,9.079,12.63%,9.54
13,2026-03-04,177.685,21273.65,128.22,-12.01%,38.58%,9.079,13.29%,9.45
14,2026-03-03,176.482,37360.26,133.92,-11.82%,31.78%,9.079,23.04%,9.87
15,2026-03-02,189.036,20640.72,141.79,-13.61%,33.32%,9.079,11.75%,10.45
16,2026-02-27,200.142,16699.31,148.98,-15.05%,34.34%,9.079,9.14%,10.98
17,2026-02-26,206.957,19641.69,149.12,-15.88%,38.79%,9.079,10.28%,10.99
18,2026-02-25,219.486,16360.62,152.65,-17.33%,43.79%,9.079,8.51%,11.25
19,2026-02-24,211.354,14694.39,148.98,-16.38%,41.87%,9.079,7.75%,10.98
20,2026-02-13,205.197,41274.21,151.02,-15.51%,35.88%,9.079,21.68%,11.13
21,2026-02-12,210.452,20175.48,151.70,-16.13%,38.73%,9.079,10.56%,11.18
22,2026-02-11,205.462,12580.77,153.19,-15.52%,34.12%,9.079,6.77%,11.29
23,2026-02-10,206.000,20948.86,156.72,-15.58%,31.45%,9.079,11.29%,11.55
24,2026-02-09,205.394,83562.34,156.58,-15.49%,31.17%,9.079,45.37%,11.54
25,2026-02-06,191.435,145371.58,147.49,-13.69%,29.80%,9.079,81.08%,10.87
26,2026-02-05,178.028,15041.52,135.69,-11.81%,31.21%,9.079,9.34%,10.00
27,2026-02-04,183.705,16330.45,137.86,-12.61%,33.26%,9.079,9.73%,10.16
28,2026-02-03,184.694,19835.90,137.86,-12.74%,33.98%,9.079,12.14%,10.16
29,2026-02-02,175.042,34365.88,135.82,-11.34%,28.88%,9.079,21.22%,10.01
30,2026-01-30,183.054,27968.41,138.26,-12.47%,32.40%,9.079,16.50%,10.19
