序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-03-20,155.017,17002.78,125.80,-6.93%,23.22%,5.108,20.99%,25.84
2,2026-03-19,160.510,30854.44,133.35,-7.84%,20.37%,5.108,37.11%,27.39
3,2026-03-18,166.487,98647.22,134.18,-8.79%,24.08%,5.108,117.44%,27.56
4,2026-03-17,157.754,19979.15,121.96,-7.37%,29.35%,5.108,24.60%,25.05
5,2026-03-16,159.790,25767.11,126.10,-7.70%,26.72%,5.108,32.11%,25.90
6,2026-03-13,160.149,17401.58,127.65,-7.75%,25.46%,5.108,21.13%,26.22
7,2026-03-12,165.272,33947.01,136.86,-8.56%,20.76%,5.108,39.28%,28.11
8,2026-03-11,169.058,32547.22,139.87,-9.13%,20.86%,5.108,37.33%,28.73
9,2026-03-10,170.761,101534.30,143.62,-9.38%,18.90%,5.108,116.13%,29.50
10,2026-03-09,166.440,251267.91,142.70,-8.72%,16.64%,5.108,293.31%,29.31
11,2026-03-06,155.584,105034.32,133.54,-6.95%,16.50%,5.108,129.58%,27.43
12,2026-03-05,153.672,14655.85,125.56,-6.62%,22.39%,5.108,18.63%,25.79
13,2026-03-04,152.375,12053.67,123.52,-6.39%,23.37%,5.108,15.41%,25.37
14,2026-03-03,153.336,11740.72,124.34,-6.55%,23.32%,5.108,14.90%,25.54
15,2026-03-02,157.158,13766.08,131.50,-7.19%,19.51%,5.108,17.13%,27.01
16,2026-02-27,158.731,31991.25,135.35,-7.44%,17.28%,5.108,39.29%,27.80
17,2026-02-26,157.722,104878.61,131.94,-7.26%,19.54%,5.108,125.78%,27.10
18,2026-02-25,156.764,7216.40,121.42,-7.10%,29.11%,5.108,8.91%,24.94
19,2026-02-24,160.476,6076.06,125.27,-7.70%,28.11%,5.108,7.42%,25.73
20,2026-02-13,161.068,11930.73,126.92,-7.73%,26.90%,5.108,14.32%,26.07
21,2026-02-12,161.677,33943.38,128.63,-7.82%,25.69%,5.108,40.44%,26.42
22,2026-02-11,161.932,10979.36,124.88,-7.86%,29.67%,5.108,13.16%,25.65
23,2026-02-10,160.666,8998.24,124.68,-7.65%,28.86%,5.108,10.92%,25.61
24,2026-02-09,159.127,7234.36,121.58,-7.40%,30.89%,5.108,8.99%,25.47
25,2026-02-06,156.039,10482.64,121.00,-6.88%,28.96%,5.108,13.28%,25.35
26,2026-02-05,153.027,7990.08,120.14,-6.38%,27.37%,5.108,10.23%,25.17
27,2026-02-04,155.295,8584.09,121.00,-6.75%,28.34%,5.108,10.87%,25.35
28,2026-02-03,157.945,12156.60,125.30,-7.18%,26.06%,5.108,15.26%,26.25
29,2026-02-02,151.628,14539.91,122.58,-6.13%,23.70%,5.108,18.49%,25.68
30,2026-01-30,154.731,21578.22,123.63,-6.63%,25.16%,5.108,26.90%,25.90
