序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-03-20,130.657,6015.13,90.82,-2.49%,43.86%,8.799,5.20%,11.58
2,2026-03-19,131.059,6657.90,89.80,-2.57%,45.94%,8.799,5.74%,11.45
3,2026-03-18,131.479,5243.59,87.53,-2.66%,50.21%,8.799,4.55%,11.16
4,2026-03-17,130.934,12094.98,87.37,-2.54%,49.86%,8.799,10.42%,11.14
5,2026-03-16,130.903,3743.81,82.04,-2.54%,59.56%,8.799,3.26%,10.46
6,2026-03-13,132.128,2045.58,83.92,-2.79%,57.44%,8.799,1.75%,10.70
7,2026-03-12,133.378,2786.33,85.49,-3.04%,56.02%,8.799,2.37%,10.90
8,2026-03-11,134.087,3281.77,85.88,-3.18%,56.13%,8.799,2.78%,10.95
9,2026-03-10,133.499,3180.23,83.61,-3.06%,59.67%,8.799,2.71%,10.66
10,2026-03-09,133.300,5339.94,83.77,-3.02%,59.14%,8.799,4.58%,10.68
11,2026-03-06,132.420,2426.62,81.10,-2.83%,63.28%,8.799,2.08%,10.34
12,2026-03-05,131.800,2617.39,80.24,-2.70%,64.27%,8.799,2.25%,10.23
13,2026-03-04,131.327,1800.81,78.28,-2.60%,67.78%,8.799,1.56%,9.98
14,2026-03-03,131.686,2196.17,78.43,-2.67%,67.90%,8.799,1.89%,10.00
15,2026-03-02,132.816,2470.80,81.49,-2.90%,62.98%,8.799,2.11%,10.39
16,2026-02-27,133.098,1800.25,82.67,-2.95%,61.01%,8.799,1.54%,10.54
17,2026-02-26,132.161,1510.14,80.86,-2.76%,63.44%,8.799,1.30%,10.31
18,2026-02-25,133.063,1475.68,80.24,-2.94%,65.84%,8.799,1.25%,10.23
19,2026-02-24,133.560,2430.93,80.39,-3.04%,66.14%,8.799,2.07%,10.25
20,2026-02-13,132.032,2107.77,78.82,-2.71%,67.50%,8.799,1.81%,10.05
21,2026-02-12,132.461,1262.04,81.10,-2.79%,63.33%,8.799,1.08%,10.34
22,2026-02-11,132.610,1892.17,81.02,-2.82%,63.68%,8.799,1.62%,10.33
23,2026-02-10,132.549,2313.89,81.41,-2.81%,62.81%,8.799,1.98%,10.38
24,2026-02-09,133.098,3544.60,83.06,-2.91%,60.25%,8.799,3.03%,10.59
25,2026-02-06,132.001,3410.68,81.88,-2.69%,61.21%,8.799,2.94%,10.44
26,2026-02-05,131.371,4587.67,81.26,-2.56%,61.68%,8.799,3.97%,10.36
27,2026-02-04,133.201,12227.53,85.26,-2.92%,56.24%,8.799,10.46%,10.87
28,2026-02-03,129.954,3251.24,79.84,-2.27%,62.76%,8.799,2.86%,10.18
29,2026-02-02,127.846,2621.31,77.02,-1.83%,65.99%,8.799,2.31%,9.82
30,2026-01-30,129.706,3602.04,78.04,-2.21%,66.21%,8.799,3.15%,9.95
