序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-01-20,135.971,1917.89,95.43,-3.22%,42.48%,2.999,4.68%,12.32
2,2026-01-19,137.243,2411.01,96.67,-3.45%,41.97%,2.999,5.88%,12.48
3,2026-01-16,136.427,2314.99,94.81,-3.29%,43.89%,2.999,5.63%,12.24
4,2026-01-15,136.524,2532.25,95.97,-3.31%,42.25%,2.999,6.21%,12.39
5,2026-01-14,135.606,3185.76,93.73,-3.13%,44.68%,2.999,7.83%,12.10
6,2026-01-13,135.217,3054.74,94.66,-3.06%,42.85%,2.999,7.50%,12.22
7,2026-01-12,136.249,2366.08,94.97,-3.25%,43.47%,2.999,5.81%,12.26
8,2026-01-09,135.149,2163.77,95.20,-3.04%,41.97%,2.999,5.34%,12.29
9,2026-01-08,134.584,1529.83,94.89,-2.93%,41.84%,2.999,3.78%,12.25
10,2026-01-07,134.445,2855.60,93.88,-2.90%,43.21%,2.999,7.09%,12.12
11,2026-01-06,134.665,3021.42,95.51,-2.94%,41.00%,2.999,7.47%,12.33
12,2026-01-05,133.670,2238.64,94.97,-2.75%,40.76%,2.999,5.58%,12.26
13,2025-12-31,132.947,1864.26,92.87,-2.60%,43.15%,2.999,4.70%,11.99
14,2025-12-30,131.668,966.59,92.10,-2.35%,42.96%,2.999,2.45%,11.89
15,2025-12-29,131.574,1527.47,93.34,-2.33%,40.96%,2.999,3.86%,12.05
16,2025-12-26,132.279,2023.66,93.18,-2.46%,41.96%,2.999,5.09%,12.03
17,2025-12-25,132.164,2080.85,93.26,-2.43%,41.71%,2.999,5.25%,12.04
18,2025-12-24,132.002,2462.90,92.87,-2.40%,42.13%,2.999,6.25%,11.99
19,2025-12-23,130.830,1736.20,91.87,-2.17%,42.41%,2.999,4.44%,11.86
20,2025-12-22,130.718,2062.93,91.71,-2.15%,42.53%,2.999,5.25%,11.84
21,2025-12-19,131.055,2146.27,92.95,-2.21%,40.99%,2.999,5.50%,12.00
22,2025-12-18,129.665,2421.20,90.63,-1.94%,43.07%,2.999,6.22%,11.70
23,2025-12-17,128.677,1671.79,88.54,-1.74%,45.34%,2.999,4.36%,11.43
24,2025-12-16,127.624,1568.37,87.53,-1.53%,45.81%,2.999,4.10%,11.30
25,2025-12-15,128.526,2195.83,89.08,-1.71%,44.28%,2.999,5.70%,11.50
26,2025-12-12,129.219,1609.85,89.23,-1.84%,44.81%,2.999,4.15%,11.52
27,2025-12-11,129.348,2366.60,91.25,-1.86%,41.76%,2.999,6.08%,11.78
28,2025-12-10,130.786,2468.51,93.80,-2.14%,39.43%,2.999,6.30%,12.11
29,2025-12-09,131.202,2396.99,95.59,-2.22%,37.26%,2.999,6.07%,12.34
30,2025-12-08,132.990,3114.83,98.06,-2.56%,35.62%,2.999,7.84%,12.66
