序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-04-21,131.506,3989.52,73.49,-3.62%,78.94%,17.968,1.69%,23.40
2,2026-04-20,131.322,3241.22,71.58,-3.58%,83.47%,17.968,1.38%,22.79
3,2026-04-17,130.732,3140.31,70.51,-3.46%,85.41%,17.968,1.34%,22.45
4,2026-04-16,130.670,2915.61,72.08,-3.44%,81.29%,17.968,1.24%,22.95
5,2026-04-15,130.736,6819.13,72.74,-3.45%,79.73%,17.968,2.89%,23.16
6,2026-04-14,129.893,3764.74,70.76,-3.29%,83.57%,17.968,1.62%,22.53
7,2026-04-13,128.765,3761.61,70.54,-3.07%,82.54%,17.968,1.62%,22.46
8,2026-04-10,129.702,3310.90,71.61,-3.24%,81.13%,17.968,1.41%,22.80
9,2026-04-09,130.290,3932.48,71.01,-3.35%,83.48%,17.968,1.67%,22.61
10,2026-04-08,132.450,4377.24,73.62,-3.76%,79.92%,17.968,1.85%,23.44
11,2026-04-07,129.747,4994.58,72.96,-3.24%,77.84%,17.968,2.14%,23.23
12,2026-04-03,129.479,3689.19,73.52,-3.18%,76.10%,17.968,1.59%,23.41
13,2026-04-02,128.940,3533.32,75.47,-3.08%,70.85%,17.968,1.52%,24.03
14,2026-04-01,130.056,7983.88,76.82,-3.29%,69.30%,17.968,3.43%,24.46
15,2026-03-31,127.799,2739.69,76.63,-2.85%,66.77%,17.968,1.19%,24.40
16,2026-03-30,128.138,5392.32,75.91,-2.91%,68.80%,17.968,2.34%,24.17
17,2026-03-27,128.803,3139.43,75.69,-3.04%,70.17%,17.968,1.36%,24.10
18,2026-03-26,128.413,3021.58,75.09,-2.96%,71.00%,17.968,1.30%,23.91
19,2026-03-25,129.718,4382.76,75.31,-3.21%,72.24%,17.968,1.88%,23.98
20,2026-03-24,129.139,4284.26,74.34,-3.10%,73.71%,17.968,1.86%,23.67
21,2026-03-23,127.150,5704.43,73.78,-2.71%,72.35%,17.968,2.50%,23.49
22,2026-03-20,127.630,7711.11,76.79,-2.79%,66.21%,17.968,3.34%,24.45
23,2026-03-19,128.264,6918.64,74.84,-2.92%,71.38%,17.968,2.99%,23.83
24,2026-03-18,129.806,7003.86,77.01,-3.21%,68.56%,17.968,3.01%,24.52
25,2026-03-17,128.992,9971.77,77.48,-3.05%,66.48%,17.968,4.29%,24.67
26,2026-03-16,128.197,11947.84,77.23,-2.90%,65.99%,17.968,5.18%,24.59
27,2026-03-13,129.957,4913.13,77.23,-3.23%,68.27%,17.968,2.09%,24.59
28,2026-03-12,131.010,4591.65,76.88,-3.43%,70.40%,17.968,1.95%,24.48
29,2026-03-11,131.153,2721.45,75.19,-3.45%,74.43%,17.968,1.16%,23.94
30,2026-03-10,131.061,3172.73,74.72,-3.43%,75.41%,17.968,1.35%,23.79
