序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-05-21,155.676,22247.43,137.06,-6.24%,13.59%,3.363,41.40%,11.17
2,2026-05-20,155.653,8606.01,139.63,-6.24%,11.47%,3.363,16.39%,11.38
3,2026-05-19,159.613,13644.02,141.23,-6.81%,13.02%,3.363,25.58%,11.51
4,2026-05-18,158.369,22791.15,141.23,-6.63%,12.14%,3.363,42.87%,11.51
5,2026-05-15,155.143,12465.70,135.95,-6.14%,14.12%,3.363,23.89%,11.08
6,2026-05-14,157.462,13653.22,140.61,-6.48%,11.98%,3.363,25.29%,11.46
7,2026-05-13,168.844,9308.37,147.73,-8.06%,14.29%,3.364,16.49%,12.04
8,2026-05-12,167.784,16956.32,150.31,-7.92%,11.63%,3.364,29.47%,12.25
9,2026-05-11,171.167,20708.09,153.01,-8.36%,11.87%,3.364,35.46%,12.47
10,2026-05-08,174.763,67226.80,152.15,-8.81%,14.86%,3.364,113.09%,12.40
11,2026-05-07,171.419,93123.20,142.95,-8.37%,19.92%,3.364,157.19%,11.65
12,2026-05-06,167.387,8183.39,137.42,-7.83%,21.80%,3.364,14.45%,11.20
13,2026-04-30,169.463,10190.26,143.07,-8.08%,18.45%,3.364,17.81%,11.66
14,2026-04-29,167.136,9376.69,140.74,-7.76%,18.76%,3.364,16.51%,11.47
15,2026-04-28,168.102,6690.88,143.19,-7.89%,17.40%,3.364,11.67%,11.67
16,2026-04-27,172.198,6938.92,145.77,-8.42%,18.13%,3.364,12.06%,11.88
17,2026-04-24,170.998,12022.56,145.40,-8.25%,17.61%,3.364,20.89%,11.85
18,2026-04-23,172.690,11633.45,144.66,-8.46%,19.37%,3.364,19.90%,11.79
19,2026-04-22,176.649,25099.35,149.45,-8.96%,18.20%,3.364,41.43%,12.18
20,2026-04-21,179.184,128788.27,148.59,-9.27%,20.59%,3.364,203.28%,12.11
21,2026-04-20,175.564,5290.36,146.63,-8.81%,19.74%,3.364,8.91%,11.95
22,2026-04-17,176.284,5934.46,149.33,-8.89%,18.05%,3.364,10.03%,12.17
23,2026-04-16,175.969,9568.49,151.53,-8.84%,16.13%,3.364,16.28%,12.35
24,2026-04-15,171.774,4637.39,145.89,-8.30%,17.74%,3.364,7.95%,11.89
25,2026-04-14,173.800,5130.71,149.33,-8.56%,16.39%,3.364,8.88%,12.17
26,2026-04-13,172.343,7295.98,148.59,-8.37%,15.99%,3.364,12.65%,12.11
27,2026-04-10,172.170,10488.63,148.71,-8.33%,15.77%,3.364,17.92%,12.12
28,2026-04-09,173.327,11194.75,147.85,-8.47%,17.23%,3.364,19.29%,12.05
29,2026-04-08,172.492,10516.64,146.01,-8.36%,18.14%,3.364,18.46%,11.90
30,2026-04-07,162.914,10593.00,138.53,-7.09%,17.60%,3.364,19.14%,11.29
