序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-04-21,137.709,3187.95,93.25,-3.75%,47.67%,7.998,2.89%,6.08
2,2026-04-20,138.436,4391.46,95.25,-3.86%,45.35%,7.998,3.95%,6.21
3,2026-04-17,139.469,3032.31,97.09,-4.01%,43.66%,7.998,2.71%,6.33
4,2026-04-16,139.863,2313.27,97.85,-4.07%,42.93%,7.998,2.08%,6.38
5,2026-04-15,138.538,4191.03,98.01,-3.87%,41.36%,7.998,3.77%,6.39
6,2026-04-14,138.511,4240.83,98.31,-3.86%,40.89%,7.998,3.85%,6.41
7,2026-04-13,137.961,3754.80,98.31,-3.77%,40.33%,7.998,3.41%,6.41
8,2026-04-10,137.587,3675.50,97.70,-3.70%,40.83%,7.998,3.31%,6.37
9,2026-04-09,138.960,3216.52,97.09,-3.92%,43.13%,7.998,2.89%,6.33
10,2026-04-08,139.644,4863.37,98.93,-4.02%,41.16%,7.998,4.38%,6.45
11,2026-04-07,135.679,2539.08,95.25,-3.40%,42.45%,7.998,2.34%,6.21
12,2026-04-03,134.583,3202.58,93.56,-3.21%,43.85%,7.998,2.96%,6.10
13,2026-04-02,134.824,2361.32,96.17,-3.25%,40.20%,7.998,2.18%,6.27
14,2026-04-01,136.777,5190.86,96.47,-3.56%,41.78%,7.998,4.78%,6.29
15,2026-03-31,132.960,3827.34,95.55,-2.94%,39.15%,7.998,3.56%,6.23
16,2026-03-30,134.468,4401.89,95.55,-3.19%,40.73%,7.998,4.10%,6.23
17,2026-03-27,134.540,2639.57,94.02,-3.19%,43.10%,7.998,2.45%,6.13
18,2026-03-26,134.800,4419.78,94.79,-3.23%,42.22%,7.998,4.10%,6.18
19,2026-03-25,136.381,4824.22,96.17,-3.48%,41.82%,7.998,4.42%,6.27
20,2026-03-24,135.072,6289.14,94.33,-3.27%,43.20%,7.998,5.91%,6.15
21,2026-03-23,131.399,7036.87,91.10,-2.68%,44.23%,7.998,6.69%,5.94
22,2026-03-20,133.331,2951.15,97.55,-2.99%,36.69%,7.998,2.73%,6.36
23,2026-03-19,135.775,3647.46,101.84,-3.37%,33.32%,7.998,3.34%,6.64
24,2026-03-18,138.202,3675.94,103.53,-3.75%,33.49%,7.998,3.36%,6.75
25,2026-03-17,135.684,2874.65,102.91,-3.35%,31.84%,7.998,2.63%,6.71
26,2026-03-16,138.384,4567.44,104.76,-3.77%,32.10%,7.998,4.15%,6.83
27,2026-03-13,138.721,3161.77,104.45,-3.82%,32.81%,7.998,2.83%,6.81
28,2026-03-12,139.737,3899.36,105.98,-3.97%,31.85%,7.998,3.46%,6.91
29,2026-03-11,141.937,2565.34,104.76,-4.30%,35.49%,7.998,2.27%,6.83
30,2026-03-10,141.799,4127.12,105.68,-4.27%,34.18%,7.998,3.65%,6.89
