序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-01-16,139.018,16561.23,111.00,-3.99%,25.24%,45.994,2.59%,2.22
2,2026-01-15,138.082,45104.83,112.50,-3.85%,22.74%,45.994,7.15%,2.25
3,2026-01-14,135.852,21395.29,109.00,-3.51%,24.63%,45.994,3.40%,2.18
4,2026-01-13,136.930,23128.60,110.50,-3.67%,23.92%,45.994,3.66%,2.21
5,2026-01-12,138.311,38830.09,110.50,-3.88%,25.17%,45.994,6.10%,2.21
6,2026-01-09,139.919,24158.27,116.50,-4.10%,20.10%,45.994,3.76%,2.33
7,2026-01-08,137.999,20107.11,116.50,-3.82%,18.45%,45.994,3.16%,2.33
8,2026-01-07,138.085,21631.14,116.50,-3.83%,18.53%,45.994,3.40%,2.33
9,2026-01-06,138.291,37304.88,118.50,-3.86%,16.70%,45.994,5.85%,2.37
10,2026-01-05,135.435,12034.07,113.50,-3.43%,19.33%,45.994,1.93%,2.27
11,2025-12-31,133.922,9229.03,113.00,-3.20%,18.52%,45.994,1.50%,2.26
12,2025-12-30,133.884,9625.25,113.50,-3.19%,17.96%,45.994,1.56%,2.27
13,2025-12-29,133.944,13224.89,113.50,-3.19%,18.01%,45.994,2.14%,2.27
14,2025-12-26,135.025,17064.13,115.50,-3.35%,16.90%,45.994,2.75%,2.31
15,2025-12-25,134.366,10550.49,112.50,-3.25%,19.44%,45.994,1.71%,2.25
16,2025-12-24,134.133,9316.61,113.00,-3.21%,18.70%,45.994,1.51%,2.26
17,2025-12-23,133.926,12087.79,111.50,-3.18%,20.11%,45.994,1.96%,2.23
18,2025-12-22,134.779,11511.03,113.00,-3.31%,19.27%,45.994,1.86%,2.26
19,2025-12-19,134.225,16862.66,112.50,-3.22%,19.31%,45.994,2.75%,2.25
20,2025-12-18,131.806,7903.33,108.50,-2.85%,21.48%,45.994,1.30%,2.17
21,2025-12-17,131.281,11132.04,109.00,-2.77%,20.44%,45.994,1.85%,2.18
22,2025-12-16,130.366,8143.18,107.50,-2.62%,21.27%,45.994,1.36%,2.15
23,2025-12-15,131.789,5898.05,111.50,-2.84%,18.20%,45.994,0.97%,2.23
24,2025-12-12,131.843,9372.52,110.50,-2.84%,19.31%,45.994,1.55%,2.21
25,2025-12-11,130.954,7780.88,110.50,-2.71%,18.51%,45.994,1.29%,2.21
26,2025-12-10,131.507,11713.50,111.50,-2.79%,17.94%,45.994,1.94%,2.23
27,2025-12-09,131.203,27980.67,112.00,-2.74%,17.15%,45.994,4.61%,2.24
28,2025-12-08,134.878,12747.87,118.00,-3.30%,14.30%,45.994,2.05%,2.36
29,2025-12-05,134.653,16993.96,118.00,-3.26%,14.11%,45.994,2.75%,2.36
30,2025-12-04,132.955,15882.40,115.00,-3.00%,15.61%,45.994,2.59%,2.30
