序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-03-20,128.695,6461.68,83.47,-2.74%,54.18%,13.897,3.58%,32.87
2,2026-03-19,129.908,7174.72,85.07,-2.93%,52.71%,13.897,3.96%,33.50
3,2026-03-18,131.957,8549.79,87.30,-3.26%,51.15%,13.897,4.70%,34.38
4,2026-03-17,129.978,10223.81,86.87,-2.94%,49.62%,13.897,5.61%,34.21
5,2026-03-16,133.037,7885.83,87.41,-3.43%,52.21%,13.897,4.29%,34.42
6,2026-03-13,132.007,4014.08,86.59,-3.26%,52.45%,13.897,2.17%,34.10
7,2026-03-12,134.034,3105.30,87.61,-3.58%,52.99%,13.897,1.66%,34.50
8,2026-03-11,135.703,4180.84,88.19,-3.84%,53.87%,13.897,2.21%,34.73
9,2026-03-10,136.495,4891.36,88.73,-3.96%,53.84%,13.897,2.58%,34.94
10,2026-03-09,134.954,4995.62,86.52,-3.72%,55.99%,13.897,2.67%,34.07
11,2026-03-06,136.257,4642.22,88.32,-3.91%,54.28%,13.897,2.46%,34.78
12,2026-03-05,136.197,4945.10,87.58,-3.90%,55.51%,13.897,2.61%,34.49
13,2026-03-04,135.360,4026.31,87.30,-3.77%,55.05%,13.897,2.15%,34.38
14,2026-03-03,135.057,4579.25,88.29,-3.72%,52.96%,13.897,2.43%,34.77
15,2026-03-02,136.882,2998.54,91.04,-4.00%,50.36%,13.897,1.58%,35.85
16,2026-02-27,137.806,3559.40,93.91,-4.13%,46.75%,13.897,1.86%,36.98
17,2026-02-26,137.968,5453.70,94.03,-4.15%,46.72%,13.897,2.83%,37.03
18,2026-02-25,140.266,4773.52,94.59,-4.49%,48.29%,13.897,2.45%,37.25
19,2026-02-24,141.135,5977.97,94.97,-4.62%,48.61%,13.897,3.05%,37.40
20,2026-02-13,140.191,9824.51,95.96,-4.45%,46.09%,13.897,5.02%,37.79
21,2026-02-12,139.720,5281.60,92.20,-4.38%,51.53%,13.897,2.72%,36.31
22,2026-02-11,139.004,4312.32,91.82,-4.27%,51.38%,13.897,2.22%,36.16
23,2026-02-10,139.444,8247.89,91.72,-4.33%,52.03%,13.897,4.25%,36.12
24,2026-02-09,141.050,10553.49,91.93,-4.57%,53.44%,13.897,5.45%,36.20
25,2026-02-06,138.496,15221.00,90.27,-4.18%,53.42%,13.897,7.94%,35.55
26,2026-02-05,135.396,4646.39,90.27,-3.72%,49.98%,13.897,2.48%,35.55
27,2026-02-04,135.261,6290.31,90.45,-3.70%,49.54%,13.897,3.36%,35.62
28,2026-02-03,135.260,7815.54,91.44,-3.69%,47.92%,13.897,4.20%,36.01
29,2026-02-02,131.764,15805.50,90.43,-3.15%,45.71%,13.897,8.56%,35.61
30,2026-01-30,134.855,11581.76,93.25,-3.62%,44.62%,13.897,6.12%,36.72
