序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-05-21,126.491,3745.58,68.66,-2.11%,84.22%,6.700,4.39%,7.91
2,2026-05-20,128.008,2685.93,70.57,-2.35%,81.38%,6.700,3.13%,8.13
3,2026-05-19,128.199,4056.72,72.05,-2.38%,77.93%,6.700,4.72%,8.30
4,2026-05-18,128.087,4906.46,71.18,-2.36%,79.95%,6.700,5.68%,8.20
5,2026-05-15,129.590,2251.25,73.87,-2.60%,75.43%,6.700,2.59%,8.51
6,2026-05-14,129.762,2551.38,74.74,-2.62%,73.62%,6.700,2.91%,8.61
7,2026-05-13,131.953,3331.53,76.74,-2.96%,71.96%,6.700,3.77%,8.84
8,2026-05-12,132.789,4581.05,78.13,-3.09%,69.97%,6.700,5.13%,9.00
9,2026-05-11,132.332,4591.31,76.13,-3.02%,73.83%,6.700,5.19%,8.77
10,2026-05-08,131.000,2452.50,74.65,-2.81%,75.48%,6.700,2.79%,8.60
11,2026-05-07,131.005,1913.11,74.05,-2.81%,76.93%,6.700,2.18%,8.53
12,2026-05-06,131.151,2390.22,74.74,-2.83%,75.48%,6.700,2.72%,8.61
13,2026-04-30,130.229,4292.36,75.87,-2.68%,71.65%,6.700,4.91%,8.74
14,2026-04-29,130.549,2072.23,77.34,-2.72%,68.79%,6.700,2.38%,8.91
15,2026-04-28,129.340,2224.72,75.69,-2.54%,70.87%,6.700,2.56%,8.72
16,2026-04-27,129.855,3012.20,76.56,-2.61%,69.61%,6.700,3.46%,8.82
17,2026-04-24,129.730,2021.90,77.26,-2.59%,67.92%,6.700,2.33%,8.90
18,2026-04-23,129.826,3123.30,78.04,-2.60%,66.36%,6.700,3.59%,8.99
19,2026-04-22,130.230,2255.41,77.60,-2.66%,67.81%,6.700,2.58%,8.94
20,2026-04-21,129.728,4032.39,78.56,-2.59%,65.13%,6.700,4.63%,9.05
21,2026-04-20,129.710,3611.60,77.78,-2.58%,66.77%,6.700,4.14%,8.96
22,2026-04-17,130.113,2964.32,77.26,-2.64%,68.42%,6.700,3.40%,8.90
23,2026-04-16,130.084,1966.89,78.39,-2.63%,65.95%,6.700,2.26%,9.03
24,2026-04-15,129.659,2479.51,78.39,-2.57%,65.41%,6.700,2.85%,9.03
25,2026-04-14,129.431,2417.05,78.82,-2.53%,64.21%,6.700,2.80%,9.08
26,2026-04-13,129.064,2826.69,78.91,-2.47%,63.57%,6.700,3.26%,9.09
27,2026-04-10,129.233,2522.93,78.99,-2.49%,63.60%,6.700,2.90%,9.10
28,2026-04-09,130.235,2279.09,78.56,-2.65%,65.78%,6.700,2.61%,9.05
29,2026-04-08,130.543,3356.29,79.51,-2.69%,64.18%,6.700,3.85%,9.16
30,2026-04-07,128.598,2869.65,78.39,-2.39%,64.06%,6.700,3.33%,9.03
