序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-05-21,135.854,2490.86,89.11,-2.77%,52.45%,5.000,3.62%,11.46
2,2026-05-20,138.143,2448.21,93.62,-3.10%,47.55%,5.000,3.54%,12.04
3,2026-05-19,139.920,5937.21,94.48,-3.36%,48.10%,5.000,8.58%,12.15
4,2026-05-18,136.927,4130.29,93.08,-2.92%,47.11%,5.000,5.99%,11.97
5,2026-05-15,138.152,6208.62,94.17,-3.10%,46.71%,5.000,8.95%,12.11
6,2026-05-14,140.431,3591.91,95.65,-3.42%,46.82%,5.000,5.10%,12.30
7,2026-05-13,142.487,4489.86,98.99,-3.71%,43.94%,5.000,6.31%,12.73
8,2026-05-12,142.634,2321.77,97.82,-3.73%,45.81%,5.000,3.24%,12.58
9,2026-05-11,144.385,4320.83,98.68,-3.97%,46.32%,5.000,5.99%,12.69
10,2026-05-08,143.779,1704.75,99.84,-3.88%,44.00%,5.000,2.37%,12.84
11,2026-05-07,143.837,1873.14,99.38,-3.88%,44.74%,5.000,2.60%,12.78
12,2026-05-06,143.136,4942.51,97.05,-3.79%,47.49%,5.000,6.94%,12.48
13,2026-04-30,140.474,3991.04,96.42,-3.40%,45.69%,5.000,5.67%,12.40
14,2026-04-29,142.290,6858.64,98.76,-3.65%,44.08%,5.000,9.70%,12.70
15,2026-04-28,139.914,6352.06,96.50,-3.32%,44.99%,5.000,9.02%,12.41
16,2026-04-27,142.374,4738.01,99.61,-3.66%,42.93%,5.000,6.63%,12.81
17,2026-04-24,144.434,2976.01,102.57,-3.94%,40.82%,5.000,4.13%,13.19
18,2026-04-23,145.267,2707.15,104.51,-4.05%,39.00%,5.000,3.72%,13.44
19,2026-04-22,146.717,2626.87,105.75,-4.24%,38.73%,5.000,3.59%,13.60
20,2026-04-21,146.027,3315.69,106.38,-4.15%,37.27%,5.000,4.55%,13.68
21,2026-04-20,145.285,3599.50,103.42,-4.05%,40.48%,5.000,4.93%,13.30
22,2026-04-17,145.828,2497.26,102.96,-4.11%,41.64%,5.000,3.43%,13.24
23,2026-04-16,145.336,3475.80,103.66,-4.04%,40.21%,5.000,4.79%,13.33
24,2026-04-15,144.359,3713.91,103.03,-3.91%,40.11%,5.000,5.13%,13.25
25,2026-04-14,145.021,3488.86,104.20,-4.00%,39.18%,5.000,4.85%,13.40
26,2026-04-13,143.114,4407.46,104.36,-3.74%,37.14%,5.000,6.16%,13.42
27,2026-04-10,142.590,5081.65,103.27,-3.66%,38.08%,5.000,7.06%,13.28
28,2026-04-09,143.926,6638.15,102.26,-3.84%,40.75%,5.000,9.25%,13.15
29,2026-04-08,145.174,8037.04,105.29,-4.00%,37.88%,5.000,11.16%,13.54
30,2026-04-07,140.467,5794.02,102.72,-3.33%,36.75%,5.000,8.22%,13.21
