序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-04-21,165.814,7214.09,138.80,-6.33%,19.46%,4.597,9.41%,32.59
2,2026-04-20,169.692,17769.47,143.78,-6.75%,18.02%,4.597,22.74%,33.76
3,2026-04-17,169.171,10075.70,141.35,-6.68%,19.68%,4.597,12.92%,33.19
4,2026-04-16,169.435,19138.93,143.83,-6.71%,17.81%,4.597,24.88%,33.77
5,2026-04-15,166.601,51753.63,144.89,-6.40%,14.99%,4.597,66.63%,34.02
6,2026-04-14,162.475,14866.28,137.82,-5.93%,17.89%,4.597,19.95%,32.36
7,2026-04-13,160.360,14601.03,135.39,-5.69%,18.44%,4.597,19.51%,31.79
8,2026-04-10,169.686,11292.06,141.31,-6.71%,20.08%,4.597,14.28%,33.18
9,2026-04-09,169.553,15856.07,139.78,-6.70%,21.30%,4.597,20.12%,32.82
10,2026-04-08,175.354,18544.58,140.84,-7.30%,24.50%,4.597,23.59%,33.07
11,2026-04-07,161.985,11751.01,133.69,-5.86%,21.17%,4.597,15.85%,31.39
12,2026-04-03,158.773,16880.64,133.05,-5.48%,19.33%,4.597,22.88%,31.24
13,2026-04-02,160.507,18053.71,135.39,-5.67%,18.55%,4.597,23.98%,31.79
14,2026-04-01,171.568,10228.15,138.84,-6.88%,23.57%,4.597,13.12%,32.60
15,2026-03-31,165.250,11162.01,136.24,-6.20%,21.29%,4.597,14.40%,31.99
16,2026-03-30,171.778,14280.89,140.80,-6.90%,22.00%,4.597,18.03%,33.06
17,2026-03-27,175.292,14415.25,141.82,-7.25%,23.60%,4.597,17.65%,33.30
18,2026-03-26,176.233,10543.27,139.01,-7.34%,26.78%,4.597,12.85%,32.64
19,2026-03-25,186.543,11106.76,144.08,-8.35%,29.47%,4.597,12.83%,33.83
20,2026-03-24,184.655,18079.68,143.53,-8.17%,28.66%,4.597,21.76%,33.70
21,2026-03-23,176.824,18894.10,137.61,-7.39%,28.50%,4.597,22.98%,32.31
22,2026-03-20,183.904,17530.49,144.38,-8.08%,27.38%,4.597,20.75%,33.90
23,2026-03-19,179.897,16534.41,145.61,-7.69%,23.54%,4.597,19.87%,34.19
24,2026-03-18,188.111,16493.38,153.54,-8.47%,22.52%,4.597,19.57%,36.05
25,2026-03-17,177.308,12622.69,149.40,-7.42%,18.68%,4.597,15.07%,35.08
26,2026-03-16,186.778,21071.67,156.64,-8.34%,19.24%,4.597,25.05%,36.78
27,2026-03-13,186.447,15005.48,158.90,-8.29%,17.34%,4.597,17.09%,37.31
28,2026-03-12,195.594,14300.99,167.16,-9.13%,17.01%,4.597,15.79%,39.25
29,2026-03-11,204.798,20346.96,175.00,-9.92%,17.03%,4.597,21.52%,41.09
30,2026-03-10,201.972,44628.27,176.96,-9.68%,14.13%,4.597,47.92%,41.55
