序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-04-21,139.621,6190.62,87.79,-3.95%,59.04%,28.019,1.59%,46.02
2,2026-04-20,140.290,7009.95,87.41,-4.04%,60.50%,28.019,1.78%,45.82
3,2026-04-17,140.810,4867.56,87.68,-4.10%,60.60%,28.019,1.24%,45.96
4,2026-04-16,141.050,7013.04,88.65,-4.13%,59.11%,28.019,1.78%,46.47
5,2026-04-15,139.167,5094.63,87.37,-3.88%,59.28%,28.019,1.30%,45.80
6,2026-04-14,139.641,6689.13,87.30,-3.94%,59.96%,28.019,1.72%,45.76
7,2026-04-13,137.935,6035.72,86.49,-3.71%,59.47%,28.019,1.56%,45.34
8,2026-04-10,138.399,8717.65,87.62,-3.77%,57.96%,28.019,2.23%,45.93
9,2026-04-09,139.411,6701.88,86.55,-3.90%,61.07%,28.019,1.71%,45.37
10,2026-04-08,139.555,10774.38,87.72,-3.92%,59.10%,28.019,2.77%,45.98
11,2026-04-07,134.474,6182.16,82.41,-3.22%,63.17%,28.019,1.63%,43.20
12,2026-04-03,134.941,5466.10,83.04,-3.28%,62.50%,28.019,1.44%,43.53
13,2026-04-02,134.972,5420.23,83.75,-3.29%,61.17%,28.019,1.43%,43.90
14,2026-04-01,136.396,10992.66,85.58,-3.48%,59.38%,28.019,2.90%,44.86
15,2026-03-31,132.640,12384.83,83.86,-2.96%,58.17%,28.019,3.29%,43.96
16,2026-03-30,135.501,9328.10,84.80,-3.35%,59.80%,28.019,2.45%,44.45
17,2026-03-27,135.835,7120.94,85.41,-3.39%,59.05%,28.019,1.86%,44.77
18,2026-03-26,136.809,5963.09,85.22,-3.52%,60.54%,28.019,1.56%,44.67
19,2026-03-25,139.144,11451.40,87.49,-3.84%,59.05%,28.019,2.97%,45.86
20,2026-03-24,135.780,9923.66,86.82,-3.38%,56.40%,28.019,2.64%,45.51
21,2026-03-23,133.120,13361.95,86.95,-3.01%,53.10%,28.019,3.58%,45.58
22,2026-03-20,134.635,7305.26,88.10,-3.22%,52.83%,28.019,1.93%,46.18
23,2026-03-19,135.793,12270.32,89.74,-3.37%,51.32%,28.019,3.21%,47.04
24,2026-03-18,138.100,10240.24,93.34,-3.68%,47.95%,28.019,2.67%,48.93
25,2026-03-17,136.281,8394.61,92.14,-3.44%,47.91%,28.019,2.17%,48.30
26,2026-03-16,138.769,6171.39,92.26,-3.77%,50.42%,28.019,1.59%,48.36
27,2026-03-13,139.249,6228.53,92.48,-3.83%,50.57%,28.019,1.58%,48.48
28,2026-03-12,141.662,6161.88,94.18,-4.14%,50.41%,28.019,1.55%,49.37
29,2026-03-11,143.363,8293.53,95.73,-4.35%,49.76%,28.019,2.07%,50.18
30,2026-03-10,142.187,9266.41,94.64,-4.20%,50.24%,28.019,2.34%,49.61
