序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-04-21,297.699,28179.59,231.97,-16.59%,28.34%,14.997,6.35%,70.68
2,2026-04-20,297.902,49885.28,234.62,-16.60%,26.97%,14.997,11.19%,71.49
3,2026-04-17,294.844,121969.69,233.34,-16.41%,26.36%,14.997,27.80%,71.10
4,2026-04-16,286.490,130595.61,226.45,-15.96%,26.51%,14.997,30.89%,69.00
5,2026-04-15,265.864,65929.79,213.36,-14.78%,24.61%,14.997,16.19%,65.01
6,2026-04-14,275.037,47641.46,219.17,-15.30%,25.49%,14.997,11.59%,66.78
7,2026-04-13,270.652,42303.34,224.09,-15.04%,20.78%,14.997,10.28%,68.28
8,2026-04-10,277.079,111808.46,234.36,-15.39%,18.23%,14.998,26.49%,71.41
9,2026-04-09,270.762,108153.91,225.47,-15.02%,20.09%,14.998,26.77%,68.70
10,2026-04-08,273.267,194307.13,219.89,-15.16%,24.28%,14.998,48.49%,67.00
11,2026-04-07,243.207,38774.33,199.90,-13.31%,21.66%,14.998,10.45%,60.91
12,2026-04-03,249.713,47513.47,207.75,-13.70%,20.20%,14.998,12.53%,63.30
13,2026-04-02,249.383,45628.04,208.50,-13.67%,19.61%,14.998,11.94%,63.53
14,2026-04-01,257.719,87529.06,210.50,-14.19%,22.43%,14.998,22.56%,64.14
15,2026-03-31,246.490,62300.06,202.59,-13.48%,21.67%,14.998,16.59%,61.73
16,2026-03-30,264.545,39225.11,209.88,-14.59%,26.05%,14.998,9.83%,63.95
17,2026-03-27,265.496,42753.56,204.69,-14.62%,29.70%,14.998,10.76%,62.37
18,2026-03-26,261.054,32720.15,203.87,-14.35%,28.05%,14.998,8.20%,62.12
19,2026-03-25,270.491,49182.48,208.50,-14.90%,29.73%,14.998,12.04%,63.53
20,2026-03-24,264.372,98012.17,202.59,-14.54%,30.49%,15.000,25.31%,61.73
21,2026-03-23,245.092,38649.26,189.24,-13.34%,29.52%,15.000,10.42%,57.66
22,2026-03-20,250.583,36355.22,197.54,-13.67%,26.85%,15.000,9.45%,60.19
23,2026-03-19,254.633,36456.85,200.72,-13.91%,26.86%,15.000,9.57%,61.16
24,2026-03-18,260.380,71522.99,208.37,-14.26%,24.96%,15.000,18.95%,63.49
25,2026-03-17,244.145,36505.74,197.08,-13.24%,23.88%,15.000,9.76%,60.05
26,2026-03-16,253.768,87756.39,202.66,-13.84%,25.22%,15.000,24.12%,61.75
27,2026-03-13,253.252,75914.14,202.89,-13.79%,24.82%,15.000,19.58%,61.82
28,2026-03-12,277.759,24738.47,209.85,-15.22%,32.36%,15.000,5.81%,63.94
29,2026-03-11,288.352,30992.03,211.75,-15.79%,36.18%,15.000,7.08%,64.52
30,2026-03-10,294.920,31778.08,223.20,-16.13%,32.13%,15.000,7.12%,68.01
