序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-02-13,188.357,9074.30,129.75,-8.86%,45.17%,3.080,15.55%,16.53
2,2026-02-12,185.764,3748.09,129.36,-8.63%,43.61%,3.080,6.57%,16.48
3,2026-02-11,181.211,5517.75,128.10,-8.20%,41.46%,3.080,9.82%,16.32
4,2026-02-10,186.342,6033.44,133.44,-8.67%,39.65%,3.080,10.41%,17.00
5,2026-02-09,191.254,8424.69,135.48,-9.10%,41.17%,3.080,14.38%,17.26
6,2026-02-06,188.451,11111.54,133.67,-8.84%,40.98%,3.080,19.15%,17.03
7,2026-02-05,182.888,3887.33,129.75,-8.34%,40.96%,3.080,6.89%,16.53
8,2026-02-04,186.040,5713.81,131.95,-8.62%,41.00%,3.080,9.86%,16.81
9,2026-02-03,191.396,11775.55,137.44,-9.09%,39.26%,3.080,20.22%,17.51
10,2026-02-02,184.541,13407.18,129.51,-8.47%,42.49%,3.080,23.47%,16.50
11,2026-01-30,191.201,13472.93,130.22,-9.05%,46.83%,3.080,22.82%,16.59
12,2026-01-29,193.041,8580.02,132.50,-9.21%,45.70%,3.080,14.16%,16.88
13,2026-01-28,197.837,8104.14,136.58,-9.61%,44.85%,3.080,13.39%,17.40
14,2026-01-27,196.492,16082.95,141.52,-9.49%,38.84%,3.080,26.83%,18.03
15,2026-01-26,193.116,27938.67,141.05,-9.20%,36.91%,3.080,45.91%,17.97
16,2026-01-23,208.831,28142.60,156.75,-10.47%,33.23%,3.080,44.55%,19.97
17,2026-01-22,197.304,16630.45,147.49,-9.53%,33.78%,3.080,27.17%,18.79
18,2026-01-21,196.568,71044.99,149.45,-9.47%,31.53%,3.080,120.21%,19.04
19,2026-01-20,181.813,13110.53,138.15,-8.17%,31.61%,3.080,23.17%,17.60
20,2026-01-19,183.183,18335.48,136.66,-8.29%,34.05%,3.080,32.06%,17.41
21,2026-01-16,183.872,57338.09,135.79,-8.35%,35.41%,3.080,101.42%,17.30
22,2026-01-15,171.630,9631.50,127.08,-7.19%,35.06%,3.080,18.26%,16.19
23,2026-01-14,169.471,8916.50,124.88,-6.97%,35.70%,3.080,16.98%,15.91
24,2026-01-13,171.072,10152.98,126.30,-7.13%,35.45%,3.080,18.95%,16.09
25,2026-01-12,174.758,21837.02,130.46,-7.48%,33.96%,3.080,40.32%,16.62
26,2026-01-09,176.828,36370.66,140.17,-7.67%,26.15%,3.080,68.01%,17.83
27,2026-01-08,174.079,94521.06,133.88,-7.40%,30.02%,3.080,175.66%,17.03
28,2026-01-07,168.953,179160.66,124.69,-6.90%,35.50%,3.080,342.03%,15.86
29,2026-01-06,158.997,7403.25,113.37,-5.87%,40.25%,3.080,15.02%,14.42
30,2026-01-05,159.046,11937.80,113.99,-5.87%,39.52%,3.080,24.45%,14.50
