序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-02-13,141.000,14858.48,139.39,-38.19%,1.16%,18.344,5.75%,12.74
2,2026-02-12,144.000,12521.02,144.42,-40.35%,-0.29%,18.344,4.72%,13.20
3,2026-02-11,145.792,47429.41,145.51,-41.51%,0.19%,18.392,17.61%,13.30
4,2026-02-10,145.670,54815.84,145.84,-41.26%,-0.12%,18.925,20.32%,13.33
5,2026-02-09,141.500,36931.43,141.90,-37.96%,-0.28%,19.785,13.26%,12.97
6,2026-02-06,139.272,31022.44,137.64,-35.78%,1.19%,19.997,11.17%,12.58
7,2026-02-05,136.500,24600.09,131.07,-33.43%,4.14%,19.997,9.04%,11.98
8,2026-02-04,135.354,13936.28,129.43,-32.35%,4.58%,19.997,5.15%,11.83
9,2026-02-03,135.408,19518.42,126.48,-32.27%,7.06%,19.997,7.28%,11.56
10,2026-02-02,131.703,31651.40,121.34,-29.02%,8.55%,19.997,12.04%,11.09
11,2026-01-30,135.251,27202.41,132.17,-31.65%,2.33%,19.997,10.00%,12.08
12,2026-01-29,138.724,25682.28,133.26,-34.26%,4.10%,19.997,9.19%,12.18
13,2026-01-28,141.000,43376.93,130.74,-35.84%,7.84%,19.997,15.45%,11.95
14,2026-01-27,136.530,16975.46,127.79,-32.30%,6.84%,19.997,6.19%,11.68
15,2026-01-26,136.800,10216.08,126.70,-32.39%,7.98%,19.997,3.71%,11.58
16,2026-01-23,138.144,18379.16,128.01,-33.05%,7.92%,19.997,6.61%,11.70
17,2026-01-22,137.508,13608.35,125.49,-32.44%,9.57%,19.997,4.95%,11.47
18,2026-01-21,137.097,18793.51,124.62,-32.01%,10.01%,19.997,6.84%,11.39
19,2026-01-20,138.500,18766.12,127.68,-32.94%,8.47%,19.997,6.83%,11.67
20,2026-01-19,136.320,20546.37,121.34,-31.17%,12.35%,19.998,7.58%,11.09
21,2026-01-16,133.400,12425.90,114.44,-28.57%,16.57%,19.998,4.64%,10.46
22,2026-01-15,134.400,21211.91,116.74,-29.25%,15.13%,19.998,7.89%,10.67
23,2026-01-14,135.310,24263.74,119.04,-29.84%,13.67%,19.998,8.93%,10.88
24,2026-01-13,133.369,12668.84,112.69,-28.23%,18.35%,19.998,4.72%,10.30
25,2026-01-12,134.738,12435.89,112.36,-29.19%,19.91%,19.998,4.61%,10.27
26,2026-01-09,134.178,13336.27,114.77,-28.45%,16.91%,19.998,4.97%,10.49
27,2026-01-08,134.180,13465.77,116.41,-28.35%,15.26%,19.998,5.00%,10.64
28,2026-01-07,134.444,23103.90,117.40,-28.45%,14.52%,19.998,8.55%,10.73
29,2026-01-06,134.509,34878.91,117.62,-28.40%,14.36%,19.998,12.98%,10.75
30,2026-01-05,131.114,21282.90,113.79,-25.69%,15.23%,19.998,8.17%,10.40
