序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-03-20,125.549,8626.38,110.04,-19.83%,14.09%,14.760,4.61%,8.44
2,2026-03-19,127.389,9175.11,113.30,-21.76%,12.44%,14.760,4.87%,8.69
3,2026-03-18,129.017,8168.95,114.21,-23.39%,12.96%,14.760,4.32%,8.76
4,2026-03-17,128.500,8050.20,114.60,-22.75%,12.13%,14.760,4.20%,8.79
5,2026-03-16,129.710,8925.07,115.39,-23.91%,12.42%,14.760,4.67%,8.85
6,2026-03-13,130.939,9044.94,117.34,-24.84%,11.59%,14.760,4.64%,9.00
7,2026-03-12,132.869,8271.52,121.25,-26.62%,9.58%,14.760,4.18%,9.30
8,2026-03-11,135.171,23947.24,123.73,-28.68%,9.25%,14.760,12.01%,9.49
9,2026-03-10,133.680,7479.76,114.73,-27.16%,16.51%,14.760,3.81%,8.80
10,2026-03-09,131.999,12220.29,111.47,-25.45%,18.41%,14.760,6.33%,8.55
11,2026-03-06,129.600,9296.12,107.43,-22.81%,20.63%,14.760,4.88%,8.24
12,2026-03-05,128.035,6255.32,106.39,-21.16%,20.35%,14.760,3.29%,8.16
13,2026-03-04,128.382,6208.00,105.22,-21.42%,22.02%,14.760,3.28%,8.07
14,2026-03-03,128.413,6807.38,105.87,-21.36%,21.30%,14.760,3.57%,8.12
15,2026-03-02,130.179,5457.75,109.78,-23.00%,18.58%,14.760,2.84%,8.42
16,2026-02-27,130.965,10174.78,109.13,-23.47%,20.01%,14.760,5.28%,8.37
17,2026-02-26,130.755,10100.58,105.87,-23.18%,23.51%,14.760,5.21%,8.12
18,2026-02-25,131.320,18978.24,104.43,-23.61%,25.75%,14.760,9.85%,8.01
19,2026-02-24,128.213,7157.64,99.09,-20.58%,29.39%,14.760,3.78%,7.60
20,2026-02-13,127.733,6548.24,97.52,-19.27%,30.98%,14.760,3.45%,7.48
21,2026-02-12,128.535,6592.38,98.18,-19.94%,30.92%,14.760,3.50%,7.53
22,2026-02-11,126.925,6950.53,95.31,-18.37%,33.18%,14.760,3.71%,7.31
23,2026-02-10,126.222,7407.13,95.31,-17.63%,32.44%,14.760,3.99%,7.31
24,2026-02-09,124.718,2814.48,93.61,-16.13%,33.23%,14.760,1.53%,7.18
25,2026-02-06,124.181,3816.10,92.96,-15.44%,33.59%,14.760,2.09%,7.13
26,2026-02-05,123.747,3426.95,93.35,-14.96%,32.56%,14.760,1.88%,7.16
27,2026-02-04,124.663,6301.85,94.79,-15.78%,31.52%,14.760,3.43%,7.27
28,2026-02-03,123.771,5334.57,91.79,-14.88%,34.85%,14.760,2.95%,7.04
29,2026-02-02,121.656,6726.49,90.74,-12.76%,34.07%,14.760,3.73%,6.96
30,2026-01-30,123.533,7657.58,91.79,-14.44%,34.59%,14.760,4.18%,7.04
