序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-03-20,133.200,9655.96,122.50,-26.36%,8.73%,6.996,10.30%,14.97
2,2026-03-19,134.500,10832.55,129.95,-27.35%,3.50%,6.996,11.50%,15.88
3,2026-03-18,137.300,11740.74,133.55,-29.50%,2.81%,6.996,12.32%,16.32
4,2026-03-17,134.883,8683.47,126.76,-27.45%,6.41%,6.996,9.19%,15.49
5,2026-03-16,137.359,9590.32,132.90,-29.33%,3.36%,6.996,10.03%,16.24
6,2026-03-13,136.088,7354.68,129.62,-28.01%,4.99%,6.996,7.67%,15.84
7,2026-03-12,136.604,6488.18,127.58,-28.31%,7.08%,6.996,6.76%,15.59
8,2026-03-11,138.896,6344.19,128.97,-29.96%,7.70%,6.996,6.50%,15.76
9,2026-03-10,140.036,9784.46,128.48,-30.70%,9.00%,6.996,9.99%,15.70
10,2026-03-09,138.538,11254.13,121.44,-29.47%,14.08%,6.996,11.73%,14.84
11,2026-03-06,139.212,7519.58,124.39,-29.65%,11.92%,6.996,7.74%,15.20
12,2026-03-05,138.506,9235.44,124.71,-29.02%,11.06%,6.996,9.47%,15.24
13,2026-03-04,138.147,10366.36,123.08,-28.65%,12.24%,6.996,10.73%,15.04
14,2026-03-03,137.328,8884.93,122.34,-27.94%,12.25%,6.996,9.20%,14.95
15,2026-03-02,139.288,11618.23,128.97,-29.28%,8.00%,6.996,11.98%,15.76
16,2026-02-27,138.624,11403.15,130.61,-28.49%,6.14%,6.996,11.81%,15.96
17,2026-02-26,140.900,21281.45,135.93,-30.01%,3.66%,6.996,21.42%,16.61
18,2026-02-25,143.973,13522.28,130.61,-32.00%,10.23%,6.996,13.36%,15.96
19,2026-02-24,145.102,4662.24,125.86,-32.63%,15.29%,6.996,4.60%,15.38
20,2026-02-13,143.457,4853.38,122.75,-30.38%,16.87%,6.996,4.81%,15.00
21,2026-02-12,144.111,3113.25,122.50,-30.69%,17.64%,6.996,3.10%,14.97
22,2026-02-11,142.635,6291.81,122.18,-29.64%,16.74%,6.996,6.27%,14.93
23,2026-02-10,142.439,17346.54,121.20,-29.42%,17.53%,6.996,17.40%,14.81
24,2026-02-09,140.126,6481.90,116.78,-27.80%,20.00%,6.996,6.64%,14.27
25,2026-02-06,138.133,5925.30,113.91,-26.19%,21.26%,6.996,6.14%,13.92
26,2026-02-05,137.548,4785.11,114.40,-25.71%,20.23%,6.996,4.99%,13.98
27,2026-02-04,139.110,5812.24,117.51,-26.67%,18.38%,6.996,5.99%,14.36
28,2026-02-03,140.550,9456.53,118.99,-27.53%,18.12%,6.996,9.71%,14.54
29,2026-02-02,135.719,8315.13,114.40,-24.21%,18.63%,6.996,8.67%,13.98
30,2026-01-30,138.665,11383.41,116.78,-25.95%,18.74%,6.996,11.69%,14.27
