序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-03-20,120.599,13995.78,80.62,-9.04%,49.59%,49.975,2.30%,10.65
2,2026-03-19,122.000,12059.59,81.83,-10.07%,49.09%,49.975,1.96%,10.81
3,2026-03-18,127.278,18100.47,86.90,-13.79%,46.46%,49.975,2.89%,11.48
4,2026-03-17,124.666,9586.80,85.77,-11.94%,45.35%,49.975,1.53%,11.33
5,2026-03-16,126.800,14202.70,86.30,-13.39%,46.93%,49.975,2.25%,11.40
6,2026-03-13,127.854,12425.14,87.51,-14.00%,46.10%,49.975,1.94%,11.56
7,2026-03-12,128.909,11701.58,89.18,-14.66%,44.56%,49.975,1.80%,11.78
8,2026-03-11,130.500,18109.13,89.55,-15.65%,45.72%,49.975,2.79%,11.83
9,2026-03-10,130.532,10213.06,89.02,-15.63%,46.63%,49.975,1.57%,11.76
10,2026-03-09,130.410,19126.69,91.37,-15.51%,42.73%,49.975,2.94%,12.07
11,2026-03-06,132.470,16356.10,97.88,-16.68%,35.34%,49.975,2.49%,12.93
12,2026-03-05,133.030,14486.00,101.67,-16.98%,30.85%,49.975,2.18%,13.43
13,2026-03-04,133.035,39037.24,103.79,-16.94%,28.18%,49.975,5.84%,13.71
14,2026-03-03,136.499,37831.46,110.37,-18.93%,23.67%,49.975,5.52%,14.58
15,2026-03-02,136.220,23357.44,100.30,-18.72%,35.81%,49.975,3.45%,13.25
16,2026-02-27,134.300,16167.70,98.56,-17.48%,36.26%,49.975,2.42%,13.02
17,2026-02-26,134.700,13929.88,98.26,-17.67%,37.09%,49.975,2.05%,12.98
18,2026-02-25,138.038,27358.38,101.59,-19.52%,35.88%,49.975,3.95%,13.42
19,2026-02-24,137.796,10821.53,99.24,-19.34%,38.85%,49.975,1.58%,13.11
20,2026-02-13,134.830,8183.20,95.08,-17.22%,41.81%,49.975,1.21%,12.56
21,2026-02-12,136.163,10500.88,98.34,-17.93%,38.47%,49.975,1.54%,12.99
22,2026-02-11,136.600,21014.53,99.92,-18.13%,36.70%,49.975,3.09%,13.20
23,2026-02-10,133.990,19026.41,96.59,-16.63%,38.72%,49.975,2.84%,12.76
24,2026-02-09,135.000,25223.78,98.41,-17.16%,37.18%,49.975,3.73%,13.00
25,2026-02-06,134.900,17037.54,96.82,-16.99%,39.33%,49.975,2.54%,12.79
26,2026-02-05,132.280,9674.43,94.85,-15.47%,39.46%,49.975,1.47%,12.53
27,2026-02-04,132.833,9660.65,96.14,-15.75%,38.17%,49.975,1.46%,12.70
28,2026-02-03,132.655,28495.77,95.08,-15.62%,39.52%,49.975,4.34%,12.56
29,2026-02-02,128.372,24035.14,92.20,-13.06%,39.23%,49.975,3.71%,12.18
30,2026-01-30,133.473,18901.27,100.08,-15.94%,33.37%,49.975,2.84%,13.22
