序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-01-20,137.873,4917.08,98.01,-15.27%,40.67%,9.999,3.56%,16.75
2,2026-01-19,137.141,4501.48,95.67,-14.85%,43.35%,9.999,3.30%,16.35
3,2026-01-16,136.250,5436.65,92.45,-14.28%,47.37%,9.999,4.02%,15.80
4,2026-01-15,134.490,4463.00,93.10,-13.29%,44.46%,9.999,3.33%,15.91
5,2026-01-14,133.639,4727.39,91.46,-12.79%,46.12%,9.999,3.53%,15.63
6,2026-01-13,133.623,5993.85,91.40,-12.75%,46.20%,9.999,4.45%,15.62
7,2026-01-12,134.915,3491.52,92.45,-13.43%,45.93%,9.999,2.59%,15.80
8,2026-01-09,135.000,4817.71,93.39,-13.39%,44.56%,9.999,3.58%,15.96
9,2026-01-08,134.495,3174.40,92.57,-13.09%,45.29%,9.999,2.36%,15.82
10,2026-01-07,133.783,7168.14,92.16,-12.68%,45.17%,9.999,5.35%,15.75
11,2026-01-06,134.141,10255.92,93.97,-12.84%,42.74%,9.999,7.74%,16.06
12,2026-01-05,130.500,5030.00,91.81,-10.79%,42.14%,9.999,3.86%,15.69
13,2025-12-31,129.037,1657.24,91.40,-9.85%,41.18%,9.999,1.28%,15.62
14,2025-12-30,129.260,3049.23,91.98,-9.95%,40.53%,9.999,2.36%,15.72
15,2025-12-29,129.313,3574.26,91.81,-9.96%,40.85%,9.999,2.76%,15.69
16,2025-12-26,130.463,7041.73,92.80,-10.55%,40.58%,9.999,5.40%,15.86
17,2025-12-25,130.000,5672.77,92.92,-10.27%,39.91%,9.999,4.36%,15.88
18,2025-12-24,130.000,4033.55,93.21,-10.24%,39.47%,9.999,3.10%,15.93
19,2025-12-23,130.400,3942.42,93.15,-10.45%,39.98%,9.999,3.01%,15.92
20,2025-12-22,130.183,4507.17,91.46,-10.30%,42.34%,9.999,3.46%,15.63
21,2025-12-19,129.691,4130.31,91.93,-9.96%,41.08%,9.999,3.19%,15.71
22,2025-12-18,129.335,3987.36,91.16,-9.75%,41.87%,9.999,3.08%,15.58
23,2025-12-17,128.409,7739.24,90.17,-9.21%,42.41%,9.999,6.05%,15.41
24,2025-12-16,126.807,5653.89,88.59,-8.27%,43.14%,9.999,4.47%,15.14
25,2025-12-15,127.100,2835.39,88.77,-8.42%,43.19%,9.999,2.24%,15.17
26,2025-12-12,127.100,3614.64,88.06,-8.37%,44.33%,9.999,2.84%,15.05
27,2025-12-11,127.236,2567.69,88.24,-8.43%,44.20%,9.999,2.01%,15.08
28,2025-12-10,127.739,2667.65,88.41,-8.70%,44.48%,9.999,2.09%,15.11
29,2025-12-09,127.498,3172.30,87.89,-8.54%,45.07%,9.999,2.48%,15.02
30,2025-12-08,128.420,2485.31,90.11,-9.04%,42.51%,9.999,1.93%,15.40
