序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-05-21,140.999,6056.31,133.10,-21.13%,5.93%,4.279,9.97%,15.32
2,2026-05-20,143.718,15787.25,135.19,-22.68%,6.31%,4.279,25.80%,15.56
3,2026-05-19,144.803,22370.03,132.84,-23.24%,9.00%,4.279,36.35%,15.29
4,2026-05-18,140.100,9262.99,122.94,-20.41%,13.96%,4.279,15.49%,14.15
5,2026-05-15,140.008,9761.08,124.67,-20.17%,12.30%,4.279,16.17%,14.35
6,2026-05-14,139.478,6131.85,123.89,-19.80%,12.58%,4.279,10.20%,14.26
7,2026-05-13,140.966,8443.43,124.67,-20.63%,13.07%,4.279,14.01%,14.35
8,2026-05-12,140.350,10582.24,119.98,-20.21%,16.98%,4.279,17.52%,13.81
9,2026-05-11,144.664,10259.35,124.15,-22.63%,16.52%,4.279,16.71%,14.29
10,2026-05-08,141.846,8573.10,117.98,-20.85%,20.22%,4.279,14.18%,13.58
11,2026-05-07,140.340,11732.86,114.42,-19.92%,22.65%,4.279,19.56%,13.17
12,2026-05-06,139.870,19025.86,112.08,-19.59%,24.80%,4.279,31.56%,12.90
13,2026-04-30,145.061,13303.00,115.55,-22.16%,25.54%,4.279,21.38%,13.30
14,2026-04-29,145.555,11546.08,114.34,-21.01%,27.31%,4.279,18.42%,13.16
15,2026-04-28,144.999,6622.82,109.90,-20.65%,31.93%,4.279,10.75%,12.65
16,2026-04-27,145.669,7450.73,111.73,-20.97%,30.38%,4.279,11.96%,12.86
17,2026-04-24,145.298,9227.03,111.73,-20.61%,30.05%,4.279,14.88%,12.86
18,2026-04-23,145.004,8429.30,110.08,-20.40%,31.73%,4.279,13.49%,12.67
19,2026-04-22,147.039,17869.87,111.99,-21.45%,31.30%,4.279,28.35%,12.89
20,2026-04-21,144.390,45753.50,107.99,-19.96%,33.70%,4.279,74.21%,12.43
21,2026-04-20,140.100,11071.98,102.00,-17.48%,37.36%,4.279,18.41%,11.74
22,2026-04-17,138.464,4447.11,97.22,-16.39%,42.42%,4.279,7.54%,11.19
23,2026-04-16,138.465,4792.88,99.22,-16.35%,39.56%,4.279,8.13%,11.42
24,2026-04-15,136.900,5087.34,97.83,-15.37%,39.94%,4.279,8.68%,11.26
25,2026-04-14,136.593,3352.54,98.87,-15.15%,38.15%,4.279,5.76%,11.38
26,2026-04-13,136.163,4975.64,99.65,-14.85%,36.64%,4.279,8.51%,11.47
27,2026-04-10,136.990,5222.16,100.09,-15.24%,36.87%,4.279,8.84%,11.52
28,2026-04-09,137.750,8222.66,99.48,-15.65%,38.47%,4.279,13.97%,11.45
29,2026-04-08,137.328,7399.74,98.52,-15.37%,39.39%,4.279,12.66%,11.34
30,2026-04-07,134.783,9426.47,96.87,-13.79%,39.13%,4.279,16.48%,11.15
