序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-04-21,130.321,3715.40,72.22,-12.80%,80.45%,14.916,1.91%,70.27
2,2026-04-20,131.628,4651.98,75.15,-13.54%,75.16%,14.916,2.37%,73.12
3,2026-04-17,131.730,7468.49,74.91,-13.51%,75.84%,14.916,3.79%,72.89
4,2026-04-16,130.962,4010.73,72.96,-13.03%,79.50%,14.916,2.05%,70.99
5,2026-04-15,130.000,3802.66,72.13,-12.44%,80.24%,14.916,1.95%,70.18
6,2026-04-14,130.469,6320.05,73.01,-12.69%,78.70%,14.916,3.26%,71.04
7,2026-04-13,129.422,2706.40,72.22,-12.04%,79.21%,14.916,1.40%,70.27
8,2026-04-10,129.930,5049.05,71.31,-12.26%,82.22%,14.916,2.59%,69.38
9,2026-04-09,130.726,4830.86,70.38,-12.69%,85.74%,14.916,2.47%,68.48
10,2026-04-08,131.537,8620.23,70.93,-13.13%,85.46%,14.916,4.43%,69.01
11,2026-04-07,127.250,3421.71,67.40,-10.58%,88.80%,14.916,1.79%,65.58
12,2026-04-03,127.002,2397.36,66.72,-10.34%,90.35%,14.916,1.26%,64.92
13,2026-04-02,127.238,3131.73,67.73,-10.46%,87.86%,14.916,1.65%,65.90
14,2026-04-01,128.600,7648.48,69.27,-11.24%,85.65%,14.916,4.02%,67.40
15,2026-03-31,124.901,4773.33,67.87,-8.99%,84.02%,14.916,2.55%,66.04
16,2026-03-30,126.050,7811.15,69.51,-9.67%,81.35%,14.916,4.15%,67.63
17,2026-03-27,127.587,2508.32,69.77,-10.53%,82.86%,14.916,1.32%,67.89
18,2026-03-26,127.351,3409.62,69.60,-10.36%,82.98%,14.916,1.79%,67.72
19,2026-03-25,128.561,6460.19,70.89,-11.05%,81.34%,14.916,3.38%,68.98
20,2026-03-24,126.612,3411.63,69.27,-9.88%,82.78%,14.916,1.82%,67.40
21,2026-03-23,124.682,9650.14,68.33,-8.70%,82.48%,14.916,5.20%,66.48
22,2026-03-20,125.550,4615.59,72.31,-9.17%,73.62%,14.916,2.45%,70.36
23,2026-03-19,126.386,3951.12,74.51,-9.64%,69.62%,14.916,2.09%,72.50
24,2026-03-18,128.543,7529.85,76.67,-10.87%,67.66%,14.916,3.98%,74.60
25,2026-03-17,126.000,9306.15,74.73,-9.37%,68.61%,14.916,4.89%,72.71
26,2026-03-16,129.375,6523.32,76.64,-11.30%,68.81%,14.916,3.38%,74.57
27,2026-03-13,130.200,4727.59,75.79,-11.69%,71.80%,14.916,2.42%,73.74
28,2026-03-12,131.812,3961.76,77.30,-12.54%,70.53%,14.916,2.01%,75.21
29,2026-03-11,134.300,2111.65,77.63,-13.83%,73.01%,14.916,1.05%,75.53
30,2026-03-10,134.321,2940.46,77.38,-13.82%,73.59%,14.916,1.48%,75.29
