序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-02-12,132.518,0.00,141.45,-12.84%,-6.31%,0.022,0.00%,10.34
2,2026-02-11,132.518,0.00,143.09,-12.84%,-7.39%,0.051,0.00%,10.46
3,2026-02-10,132.518,0.00,135.29,-12.84%,-2.05%,0.226,0.00%,9.89
4,2026-02-09,132.518,8429.25,132.83,-12.84%,-0.24%,0.513,124.01%,9.71
5,2026-02-06,132.199,11685.76,132.15,-12.62%,0.04%,1.225,72.21%,9.66
6,2026-02-05,133.508,7691.22,133.65,-13.22%,-0.11%,1.900,30.23%,9.77
7,2026-02-04,134.882,17777.89,135.02,-13.83%,-0.10%,2.262,58.46%,9.87
8,2026-02-03,132.528,20263.47,133.11,-12.70%,-0.43%,3.246,47.35%,9.73
9,2026-02-02,129.770,10653.23,129.69,-11.35%,0.07%,4.065,19.87%,9.48
10,2026-01-30,133.300,16428.94,133.79,-12.97%,-0.37%,4.284,28.71%,9.78
11,2026-01-29,135.100,16433.16,135.43,-13.78%,-0.24%,4.829,25.13%,9.90
12,2026-01-28,135.550,15664.97,135.84,-13.96%,-0.21%,5.260,21.84%,9.93
13,2026-01-27,135.000,17869.03,134.88,-13.69%,0.09%,5.548,23.95%,9.86
14,2026-01-26,133.160,28324.48,133.38,-12.82%,-0.16%,6.203,34.40%,9.75
15,2026-01-23,132.690,38635.60,133.24,-12.53%,-0.41%,7.779,37.49%,9.74
16,2026-01-22,133.900,14948.03,134.20,-13.06%,-0.22%,9.437,11.85%,9.81
17,2026-01-21,133.697,12149.00,133.65,-12.95%,0.03%,9.671,9.42%,9.77
18,2026-01-20,134.400,30329.01,134.88,-13.24%,-0.36%,9.799,22.97%,9.86
19,2026-01-19,134.260,29726.13,134.61,-13.16%,-0.26%,10.387,21.32%,9.84
20,2026-01-16,134.000,22125.80,132.01,-12.97%,1.51%,10.795,15.09%,9.65
21,2026-01-15,135.980,17199.04,128.18,-13.83%,6.08%,10.797,11.75%,9.37
22,2026-01-14,135.900,21099.53,128.04,-13.77%,6.14%,10.797,14.31%,9.36
23,2026-01-13,135.490,30558.43,127.36,-13.57%,6.38%,10.797,20.84%,9.31
24,2026-01-12,139.300,15231.24,130.37,-15.18%,6.85%,10.798,10.09%,9.53
25,2026-01-09,140.380,17678.99,130.10,-15.55%,7.91%,10.798,11.75%,9.51
26,2026-01-08,138.872,13463.77,130.37,-14.90%,6.52%,10.798,8.92%,9.53
27,2026-01-07,141.300,27324.21,132.97,-15.88%,6.27%,10.799,17.85%,9.72
28,2026-01-06,141.031,13208.13,129.14,-15.74%,9.21%,10.799,8.68%,9.44
29,2026-01-05,140.300,15332.71,128.04,-15.41%,9.57%,10.799,10.13%,9.36
30,2025-12-31,138.800,22561.07,128.32,-14.66%,8.17%,10.799,15.01%,9.38
