序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-05-21,132.000,21377.51,70.62,-11.42%,86.93%,3.369,47.68%,14.01
2,2026-05-20,132.302,29460.35,76.06,-11.56%,73.95%,3.369,65.29%,15.09
3,2026-05-19,136.597,81986.47,84.53,-13.81%,61.60%,3.369,179.12%,16.77
4,2026-05-18,132.070,63790.74,84.53,-11.39%,56.25%,3.369,144.30%,16.77
5,2026-05-15,137.998,272933.50,93.90,-14.40%,46.96%,3.369,567.19%,18.63
6,2026-05-14,138.602,221221.16,85.38,-14.67%,62.33%,3.370,461.20%,16.94
7,2026-05-13,135.269,213290.63,77.62,-12.96%,74.27%,3.371,463.42%,15.40
8,2026-05-12,150.643,355809.02,70.57,-20.12%,113.48%,3.371,711.14%,14.00
9,2026-05-11,134.316,35888.61,64.16,-12.41%,109.33%,3.371,79.16%,12.73
10,2026-05-08,129.001,7031.09,58.32,-9.48%,121.21%,3.371,16.17%,11.57
11,2026-05-07,127.469,1553.02,53.02,-8.60%,140.40%,3.371,3.62%,10.52
12,2026-05-06,127.943,2659.91,53.48,-8.85%,139.24%,3.371,6.19%,10.61
13,2026-04-30,125.999,1690.77,54.64,-7.64%,130.61%,3.371,3.98%,10.84
14,2026-04-29,125.954,1315.16,56.30,-7.60%,123.72%,3.371,3.10%,11.17
15,2026-04-28,125.960,1859.13,57.46,-7.59%,119.21%,3.371,4.36%,11.40
16,2026-04-27,126.400,1397.27,56.86,-7.82%,122.32%,3.371,3.28%,11.28
17,2026-04-24,126.624,1619.52,57.26,-7.90%,121.15%,3.371,3.79%,11.36
18,2026-04-23,127.245,2099.48,57.61,-8.23%,120.87%,3.371,4.89%,11.43
19,2026-04-22,127.377,2043.61,57.96,-8.29%,119.75%,3.371,4.76%,11.50
20,2026-04-21,127.184,2571.75,58.57,-8.17%,117.15%,3.371,6.00%,11.62
21,2026-04-20,128.137,3112.88,59.27,-8.67%,116.18%,3.371,7.20%,11.76
22,2026-04-17,127.338,2236.18,59.48,-8.18%,114.10%,3.371,5.20%,11.80
23,2026-04-16,127.279,4293.57,59.88,-8.14%,112.56%,3.371,10.05%,11.88
24,2026-04-15,125.942,2383.07,58.12,-7.38%,116.71%,3.371,5.62%,11.53
25,2026-04-14,125.356,2170.50,59.33,-7.04%,111.31%,3.371,5.16%,11.77
26,2026-04-13,124.655,3896.68,58.22,-6.63%,114.13%,3.371,9.25%,11.55
27,2026-04-10,126.699,3930.55,60.33,-7.73%,110.00%,3.371,9.23%,11.97
28,2026-04-09,124.982,2567.51,56.75,-6.77%,120.22%,3.371,6.07%,11.26
29,2026-04-08,126.335,4840.66,57.91,-7.50%,118.15%,3.371,11.44%,11.49
30,2026-04-07,123.234,2490.59,55.29,-5.76%,122.88%,3.371,6.01%,10.97
