序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-04-21,134.680,8573.29,103.98,-15.24%,29.53%,95.430,0.67%,45.48
2,2026-04-20,134.872,12051.06,103.61,-15.30%,30.17%,95.430,0.93%,45.32
3,2026-04-17,135.400,14442.64,104.09,-15.46%,30.08%,95.430,1.12%,45.53
4,2026-04-16,135.358,20128.45,106.17,-15.41%,27.49%,95.430,1.56%,46.44
5,2026-04-15,134.301,11209.62,105.28,-14.88%,27.56%,95.430,0.87%,46.05
6,2026-04-14,133.800,26390.80,104.66,-14.61%,27.84%,95.430,2.07%,45.78
7,2026-04-13,131.960,19303.55,100.98,-13.69%,30.68%,95.430,1.53%,44.17
8,2026-04-10,132.250,15931.67,98.33,-13.75%,34.49%,95.430,1.26%,43.01
9,2026-04-09,132.161,17788.23,100.14,-13.68%,31.98%,95.430,1.40%,43.80
10,2026-04-08,133.750,23601.87,101.37,-14.42%,31.94%,95.430,1.85%,44.34
11,2026-04-07,130.600,16622.58,99.34,-12.87%,31.47%,95.430,1.33%,43.45
12,2026-04-03,130.485,9419.35,98.08,-12.71%,33.04%,95.430,0.76%,42.90
13,2026-04-02,129.830,25155.86,99.79,-12.37%,30.10%,95.430,2.02%,43.65
14,2026-04-01,129.558,24070.83,96.48,-12.21%,34.29%,95.430,1.95%,42.20
15,2026-03-31,127.001,27945.58,95.36,-10.89%,33.18%,95.430,2.29%,41.71
16,2026-03-30,128.480,32146.35,98.83,-11.62%,30.00%,95.430,2.61%,43.23
17,2026-03-27,131.910,17273.92,103.34,-13.24%,27.65%,95.430,1.37%,45.20
18,2026-03-26,130.500,12112.95,100.59,-12.53%,29.73%,95.430,0.97%,44.00
19,2026-03-25,132.400,24013.00,101.78,-13.42%,30.08%,95.430,1.89%,44.52
20,2026-03-24,132.999,53562.00,99.45,-13.68%,33.73%,95.430,4.33%,43.50
21,2026-03-23,131.014,38516.75,103.34,-12.71%,26.78%,95.430,3.07%,45.20
22,2026-03-20,135.058,18696.07,113.05,-14.52%,19.46%,95.430,1.45%,49.45
23,2026-03-19,135.229,15832.05,111.57,-14.57%,21.21%,95.430,1.23%,48.80
24,2026-03-18,136.800,10907.17,113.60,-15.25%,20.42%,95.430,0.84%,49.69
25,2026-03-17,135.629,17395.89,114.86,-14.70%,18.08%,95.430,1.33%,50.24
26,2026-03-16,137.010,18642.68,113.72,-15.29%,20.48%,95.430,1.43%,49.74
27,2026-03-13,138.551,16954.65,113.83,-15.87%,21.72%,95.430,1.28%,49.79
28,2026-03-12,139.000,31614.95,115.66,-16.04%,20.18%,95.430,2.38%,50.59
29,2026-03-11,138.500,17228.05,112.73,-15.79%,22.86%,95.430,1.31%,49.31
30,2026-03-10,137.149,11194.85,110.49,-15.18%,24.12%,95.430,0.85%,48.33
