序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-05-21,131.138,8838.39,87.88,-11.22%,49.22%,11.274,5.92%,18.13
2,2026-05-20,132.100,14442.31,89.77,-11.68%,47.15%,11.274,9.63%,18.52
3,2026-05-19,131.367,5877.05,86.19,-11.29%,52.42%,11.274,3.98%,17.78
4,2026-05-18,130.110,5080.85,86.04,-10.63%,51.22%,11.274,3.45%,17.75
5,2026-05-15,130.140,4439.23,85.80,-10.59%,51.68%,11.274,3.01%,17.70
6,2026-05-14,131.681,4851.31,88.27,-11.34%,49.18%,11.274,3.24%,18.21
7,2026-05-13,133.749,4954.02,89.63,-12.32%,49.23%,11.274,3.30%,18.49
8,2026-05-12,132.497,4195.93,86.86,-11.70%,52.53%,11.274,2.80%,17.92
9,2026-05-11,134.529,5590.54,88.71,-12.65%,51.66%,11.274,3.69%,18.30
10,2026-05-08,134.677,4801.67,89.48,-12.65%,50.51%,11.274,3.15%,18.46
11,2026-05-07,135.464,5999.19,89.82,-12.99%,50.82%,11.274,3.93%,18.53
12,2026-05-06,135.089,9193.78,90.40,-12.79%,49.43%,11.274,6.01%,18.65
13,2026-04-30,134.979,18125.28,92.39,-12.60%,46.10%,11.274,11.95%,19.06
14,2026-04-29,132.718,23288.71,88.51,-11.52%,49.94%,11.274,15.58%,18.26
15,2026-04-28,129.214,2491.15,80.47,-9.80%,60.58%,11.274,1.70%,16.60
16,2026-04-27,130.706,3432.29,82.11,-10.51%,59.18%,11.274,2.33%,16.94
17,2026-04-24,130.310,3832.21,81.63,-10.26%,59.64%,11.274,2.61%,16.84
18,2026-04-23,130.597,4359.21,83.03,-10.38%,57.28%,11.274,2.95%,17.13
19,2026-04-22,131.730,1306.54,82.79,-10.91%,59.11%,11.274,0.88%,17.08
20,2026-04-21,131.410,1917.37,83.33,-10.73%,57.71%,11.274,1.29%,17.19
21,2026-04-20,132.098,4793.24,83.23,-11.04%,58.72%,11.274,3.22%,17.17
22,2026-04-17,132.542,2312.80,82.74,-11.19%,60.18%,11.274,1.55%,17.07
23,2026-04-16,132.000,3809.36,83.86,-10.92%,57.41%,11.274,2.57%,17.30
24,2026-04-15,130.800,3057.17,83.71,-10.33%,56.25%,11.274,2.07%,17.27
25,2026-04-14,130.910,3182.18,83.28,-10.36%,57.20%,11.274,2.17%,17.18
26,2026-04-13,129.848,2245.57,83.08,-9.84%,56.29%,11.274,1.53%,17.14
27,2026-04-10,130.500,3093.50,83.62,-10.10%,56.07%,11.274,2.09%,17.25
28,2026-04-09,130.750,4700.04,82.02,-10.20%,59.42%,11.274,3.18%,16.92
29,2026-04-08,131.895,4062.80,84.05,-10.71%,56.92%,11.274,2.74%,17.34
30,2026-04-07,129.143,2150.46,82.36,-9.40%,56.81%,11.274,1.48%,16.99
