序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-04-21,140.300,7527.11,140.20,-11.43%,0.07%,6.558,8.21%,7.15
2,2026-04-20,139.901,8951.62,139.61,-11.24%,0.21%,6.558,9.69%,7.12
3,2026-04-17,139.800,11934.22,137.45,-11.14%,1.71%,6.558,13.09%,7.01
4,2026-04-16,139.550,29564.16,139.41,-11.02%,0.10%,6.558,32.21%,7.11
5,2026-04-15,139.301,33725.32,130.78,-10.89%,6.51%,6.559,36.68%,6.67
6,2026-04-14,137.048,3585.80,118.82,-9.91%,15.34%,6.559,4.01%,6.06
7,2026-04-13,136.545,3382.22,119.61,-9.68%,14.16%,6.559,3.79%,6.10
8,2026-04-10,136.940,5591.60,119.61,-9.80%,14.49%,6.559,6.20%,6.10
9,2026-04-09,137.353,3738.01,118.43,-9.96%,15.98%,6.559,4.15%,6.04
10,2026-04-08,137.838,7593.84,120.00,-10.15%,14.86%,6.559,8.43%,6.12
11,2026-04-07,134.850,4992.45,117.26,-8.84%,15.01%,6.559,5.66%,5.98
12,2026-04-03,132.770,3188.99,112.94,-7.86%,17.56%,6.559,3.65%,5.76
13,2026-04-02,133.495,3679.61,117.06,-8.17%,14.04%,6.559,4.20%,5.97
14,2026-04-01,135.000,4199.17,120.39,-8.82%,12.13%,6.559,4.76%,6.14
15,2026-03-31,131.982,4048.06,118.24,-7.46%,11.63%,6.559,4.64%,6.03
16,2026-03-30,134.097,5063.67,122.16,-8.39%,9.77%,6.559,5.75%,6.23
17,2026-03-27,135.248,3060.55,121.96,-8.85%,10.89%,6.559,3.46%,6.22
18,2026-03-26,134.711,4432.00,120.00,-8.60%,12.26%,6.559,5.03%,6.12
19,2026-03-25,135.749,4600.26,119.80,-9.03%,13.31%,6.559,5.17%,6.11
20,2026-03-24,134.700,6484.00,118.43,-8.57%,13.74%,6.559,7.43%,6.04
21,2026-03-23,130.999,6801.08,112.75,-6.92%,16.19%,6.559,7.89%,5.75
22,2026-03-20,133.359,4124.10,122.16,-7.93%,9.17%,6.559,4.71%,6.23
23,2026-03-19,133.380,4391.32,121.77,-7.93%,9.54%,6.559,5.02%,6.21
24,2026-03-18,135.345,3072.13,125.88,-8.76%,7.52%,6.559,3.47%,6.42
25,2026-03-17,134.800,4928.15,125.10,-8.51%,7.76%,6.559,5.56%,6.38
26,2026-03-16,135.870,4270.41,126.28,-8.95%,7.60%,6.559,4.81%,6.44
27,2026-03-13,134.778,3194.97,126.08,-8.45%,6.90%,6.559,3.60%,6.43
28,2026-03-12,135.500,3972.78,125.69,-8.74%,7.81%,6.559,4.46%,6.41
29,2026-03-11,136.500,4083.55,127.06,-9.14%,7.43%,6.559,4.56%,6.48
30,2026-03-10,136.999,10401.32,128.43,-9.33%,6.67%,6.559,11.63%,6.55
