序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-02-13,120.955,7816.88,81.02,-6.14%,49.29%,81.434,0.79%,8.58
2,2026-02-12,121.272,7381.24,81.21,-6.27%,49.33%,81.434,0.75%,8.60
3,2026-02-11,121.476,6020.45,81.96,-6.36%,48.21%,81.434,0.61%,8.68
4,2026-02-10,121.062,6564.71,81.87,-6.16%,47.87%,81.434,0.67%,8.67
5,2026-02-09,120.951,9845.99,82.15,-6.10%,47.23%,81.434,1.00%,8.70
6,2026-02-06,120.786,11203.19,82.06,-6.00%,47.19%,81.434,1.14%,8.69
7,2026-02-05,120.053,9868.56,82.25,-5.65%,45.97%,81.434,1.01%,8.71
8,2026-02-04,120.688,16809.61,82.53,-5.93%,46.23%,81.434,1.71%,8.74
9,2026-02-03,120.778,10776.00,81.87,-5.97%,47.52%,81.434,1.10%,8.67
10,2026-02-02,119.930,17530.42,81.87,-5.57%,46.49%,81.434,1.79%,8.67
11,2026-01-30,122.214,11463.55,85.36,-6.57%,43.17%,81.434,1.15%,9.04
12,2026-01-29,122.850,11972.82,84.80,-6.83%,44.88%,81.434,1.20%,8.98
13,2026-01-28,121.950,14108.02,83.76,-6.43%,45.60%,81.434,1.43%,8.87
14,2026-01-27,120.599,12435.39,82.63,-5.82%,45.96%,81.434,1.27%,8.75
15,2026-01-26,121.532,14584.49,84.23,-6.23%,44.29%,81.434,1.48%,8.92
16,2026-01-23,121.781,9633.88,81.96,-6.31%,48.58%,81.434,0.98%,8.68
17,2026-01-22,120.280,12445.35,82.63,-5.64%,45.57%,81.434,1.27%,8.75
18,2026-01-21,119.599,12895.43,83.38,-5.32%,43.44%,81.434,1.33%,8.83
19,2026-01-20,119.200,12848.48,84.23,-5.14%,41.52%,81.434,1.32%,8.92
20,2026-01-19,119.960,8857.35,83.95,-5.47%,42.90%,81.434,0.91%,8.89
21,2026-01-16,119.113,11140.27,83.48,-5.07%,42.69%,81.434,1.15%,8.84
22,2026-01-15,119.192,14695.29,84.80,-5.09%,40.56%,81.434,1.52%,8.98
23,2026-01-14,118.682,25090.63,84.70,-4.86%,40.12%,81.434,2.59%,8.97
24,2026-01-13,119.251,20493.61,86.40,-5.11%,38.02%,81.434,2.10%,9.15
25,2026-01-12,120.696,16942.90,87.63,-5.73%,37.73%,81.434,1.72%,9.28
26,2026-01-09,120.708,8414.53,87.44,-5.71%,38.05%,81.434,0.86%,9.26
27,2026-01-08,120.000,18358.19,87.54,-5.40%,37.09%,81.434,1.87%,9.27
28,2026-01-07,120.201,17136.25,87.16,-5.48%,37.91%,81.434,1.75%,9.23
29,2026-01-06,119.973,13245.85,87.82,-5.37%,36.61%,81.434,1.35%,9.30
30,2026-01-05,118.996,9259.32,86.97,-4.93%,36.83%,81.434,0.96%,9.21
