序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-02-13,143.700,3685.57,106.41,-13.54%,35.05%,20.860,1.22%,20.60
2,2026-02-12,145.500,5575.32,108.42,-14.14%,34.20%,20.860,1.82%,20.99
3,2026-02-11,146.148,5920.85,107.18,-14.34%,36.36%,20.860,1.94%,20.75
4,2026-02-10,144.392,5770.99,106.77,-13.72%,35.24%,20.860,1.91%,20.67
5,2026-02-09,145.259,5865.37,108.16,-14.00%,34.30%,20.860,1.94%,20.94
6,2026-02-06,145.270,7238.36,109.92,-13.94%,32.16%,20.860,2.40%,21.28
7,2026-02-05,142.300,5740.72,109.50,-12.90%,29.95%,20.860,1.94%,21.20
8,2026-02-04,143.000,10788.55,108.11,-13.13%,32.27%,20.860,3.64%,20.93
9,2026-02-03,139.800,10035.09,103.67,-11.98%,34.85%,20.860,3.47%,20.07
10,2026-02-02,136.350,10924.20,102.27,-10.70%,33.32%,20.860,3.80%,19.80
11,2026-01-30,140.086,15605.56,105.68,-12.01%,32.55%,20.860,5.31%,20.46
12,2026-01-29,144.570,8674.92,105.94,-13.55%,36.46%,20.860,2.87%,20.51
13,2026-01-28,145.334,12301.42,108.94,-13.78%,33.41%,20.860,4.10%,21.09
14,2026-01-27,140.877,10557.30,106.15,-12.24%,32.72%,20.860,3.60%,20.55
15,2026-01-26,141.000,15508.56,107.54,-12.26%,31.11%,20.860,5.18%,20.82
16,2026-01-23,145.600,14541.06,109.50,-13.77%,32.96%,20.860,4.72%,21.20
17,2026-01-22,146.341,7368.68,109.87,-14.00%,33.20%,20.860,2.42%,21.27
18,2026-01-21,145.000,8192.08,110.28,-13.54%,31.48%,20.860,2.71%,21.35
19,2026-01-20,144.200,9300.10,109.76,-13.25%,31.37%,20.860,3.09%,21.25
20,2026-01-19,144.000,7231.58,111.11,-13.16%,29.61%,20.860,2.42%,21.51
21,2026-01-16,143.580,3458.57,107.90,-12.97%,33.06%,20.860,1.17%,20.89
22,2026-01-15,141.000,5341.01,107.18,-12.07%,31.55%,20.860,1.82%,20.75
23,2026-01-14,141.057,7814.89,106.77,-12.07%,32.12%,20.860,2.64%,20.67
24,2026-01-13,141.248,8071.13,108.52,-12.12%,30.16%,20.860,2.73%,21.01
25,2026-01-12,144.300,8654.42,109.76,-13.13%,31.47%,20.860,2.90%,21.25
26,2026-01-09,142.067,10826.32,109.87,-12.33%,29.31%,20.860,3.66%,21.27
27,2026-01-08,140.400,11770.57,110.33,-11.74%,27.25%,20.860,3.99%,21.36
28,2026-01-07,141.692,9397.88,113.12,-12.17%,25.26%,20.860,3.16%,21.90
29,2026-01-06,141.602,12680.14,113.28,-12.12%,25.01%,20.860,4.29%,21.93
30,2026-01-05,140.283,16099.11,114.15,-11.66%,22.89%,20.860,5.50%,22.10
