序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-01-20,244.625,18338.67,220.60,-29.66%,10.89%,2.581,28.89%,38.01
2,2026-01-19,259.250,9785.21,226.47,-31.66%,14.48%,2.581,14.55%,39.02
3,2026-01-16,258.500,9597.32,230.64,-31.45%,12.08%,2.581,14.25%,39.74
4,2026-01-15,261.990,16051.39,229.37,-31.87%,14.22%,2.581,23.65%,39.52
5,2026-01-14,270.000,19919.47,230.59,-32.86%,17.09%,2.581,28.34%,39.73
6,2026-01-13,264.530,11641.57,230.01,-32.13%,15.01%,2.581,16.77%,39.63
7,2026-01-12,271.516,13041.26,232.15,-32.97%,16.96%,2.581,18.65%,40.00
8,2026-01-09,271.525,22837.80,234.07,-32.86%,16.00%,2.581,32.32%,40.33
9,2026-01-08,270.000,23181.07,230.47,-32.64%,17.15%,2.581,33.29%,39.71
10,2026-01-07,261.000,23512.00,226.81,-31.46%,15.07%,2.581,34.78%,39.08
11,2026-01-06,254.800,43472.30,220.55,-30.61%,15.53%,2.581,66.94%,38.00
12,2026-01-05,242.299,11254.70,214.39,-28.82%,13.02%,2.581,18.02%,36.94
13,2025-12-31,240.500,10833.48,213.58,-28.40%,12.60%,2.581,17.23%,36.80
14,2025-12-30,247.321,14935.95,219.04,-29.34%,12.91%,2.581,23.38%,37.74
15,2025-12-29,248.400,68447.53,221.47,-29.46%,12.16%,2.581,105.76%,38.16
16,2025-12-26,238.062,15474.30,213.12,-27.88%,11.71%,2.581,24.83%,36.72
17,2025-12-25,241.797,8055.52,213.58,-28.40%,13.21%,2.581,12.94%,36.80
18,2025-12-24,240.636,13270.82,213.29,-28.20%,12.82%,2.581,21.31%,36.75
19,2025-12-23,235.300,10657.65,210.22,-27.38%,11.93%,2.581,17.36%,36.22
20,2025-12-22,237.100,18442.45,216.48,-27.62%,9.52%,2.581,30.27%,37.30
21,2025-12-19,229.800,10619.82,211.84,-26.42%,8.48%,2.581,17.68%,36.50
22,2025-12-18,230.635,10429.15,211.96,-26.52%,8.81%,2.581,17.41%,36.52
23,2025-12-17,231.907,11219.03,212.71,-26.68%,9.02%,2.581,18.98%,36.65
24,2025-12-16,229.999,8344.48,213.87,-26.36%,7.54%,2.581,14.07%,36.85
25,2025-12-15,234.343,10485.87,219.10,-26.99%,6.96%,2.581,17.29%,37.75
26,2025-12-12,238.800,12607.73,225.13,-27.56%,6.07%,2.581,20.54%,38.79
27,2025-12-11,234.800,15778.72,224.03,-26.94%,4.81%,2.581,25.68%,38.60
28,2025-12-10,241.696,31389.95,228.73,-27.91%,5.67%,2.581,50.18%,39.41
29,2025-12-09,239.156,11355.82,225.13,-27.52%,6.23%,2.581,18.14%,38.79
30,2025-12-08,247.799,23864.74,231.28,-28.70%,7.14%,2.581,37.66%,39.85
