序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-05-21,129.750,4461.38,86.97,-7.38%,49.19%,5.136,6.63%,6.14
2,2026-05-20,131.534,3673.96,90.23,-8.10%,45.78%,5.136,5.42%,6.37
3,2026-05-19,132.298,3836.76,91.79,-8.40%,44.14%,5.136,5.68%,6.48
4,2026-05-18,131.098,4885.85,91.22,-7.90%,43.72%,5.136,7.27%,6.44
5,2026-05-15,131.642,4643.22,91.50,-8.09%,43.87%,5.136,6.86%,6.46
6,2026-05-14,131.800,3525.20,91.79,-8.14%,43.60%,5.136,5.17%,6.48
7,2026-05-13,133.940,2428.97,92.49,-8.98%,44.81%,5.136,3.53%,6.53
8,2026-05-12,134.372,3842.94,93.48,-9.13%,43.74%,5.136,5.55%,6.60
9,2026-05-11,136.073,3967.17,94.90,-9.77%,43.38%,5.136,5.69%,6.70
10,2026-05-08,136.077,3009.37,95.33,-9.73%,42.75%,5.136,4.31%,6.73
11,2026-05-07,135.727,3925.23,93.91,-9.58%,44.53%,5.136,5.62%,6.63
12,2026-05-06,136.098,5428.79,95.18,-9.71%,42.98%,5.136,7.76%,6.72
13,2026-04-30,134.966,3073.90,95.18,-9.20%,41.79%,5.136,4.42%,6.72
14,2026-04-29,134.969,3426.23,95.33,-9.18%,41.59%,5.136,4.95%,6.73
15,2026-04-28,133.745,4106.63,94.33,-8.70%,41.78%,5.136,5.94%,6.66
16,2026-04-27,134.220,3388.05,93.20,-8.87%,44.01%,5.136,4.94%,6.58
17,2026-04-24,134.000,3078.12,92.21,-8.75%,45.32%,5.136,4.50%,6.51
18,2026-04-23,133.300,3474.50,90.51,-8.47%,47.28%,5.136,5.07%,6.39
19,2026-04-22,133.810,4160.39,90.79,-8.65%,47.38%,5.136,6.04%,6.41
20,2026-04-21,133.325,4019.45,91.36,-8.45%,45.93%,5.136,5.86%,6.45
21,2026-04-20,133.874,2451.52,91.64,-8.65%,46.08%,5.136,3.57%,6.47
22,2026-04-17,133.485,2352.08,90.51,-8.46%,47.48%,5.136,3.43%,6.39
23,2026-04-16,133.396,3627.11,91.93,-8.42%,45.11%,5.136,5.33%,6.49
24,2026-04-15,131.839,2701.09,90.09,-7.81%,46.35%,5.136,3.99%,6.36
25,2026-04-14,131.890,4374.93,90.79,-7.82%,45.26%,5.136,6.49%,6.41
26,2026-04-13,131.513,3006.80,91.22,-7.66%,44.17%,5.136,4.44%,6.44
27,2026-04-10,132.226,3535.09,92.35,-7.90%,43.18%,5.136,5.19%,6.52
28,2026-04-09,132.400,3719.20,90.23,-7.96%,46.74%,5.136,5.46%,6.37
29,2026-04-08,133.471,6285.19,92.21,-8.35%,44.75%,5.136,9.24%,6.51
30,2026-04-07,129.379,4150.49,89.66,-6.77%,44.30%,5.136,6.24%,6.33
