序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-03-20,178.370,12045.38,148.16,-19.80%,20.39%,2.081,31.86%,27.41
2,2026-03-19,180.600,15369.36,154.65,-20.30%,16.78%,2.081,40.61%,28.61
3,2026-03-18,185.621,34542.22,156.00,-21.40%,18.99%,2.081,90.70%,28.86
4,2026-03-17,179.000,91198.66,152.05,-19.88%,17.72%,2.081,236.10%,28.13
5,2026-03-16,175.720,39601.06,156.49,-19.08%,12.29%,2.081,108.56%,28.95
6,2026-03-13,170.000,4553.67,152.16,-17.60%,11.72%,2.081,12.64%,28.15
7,2026-03-12,175.000,4199.16,156.54,-18.81%,11.79%,2.081,11.35%,28.96
8,2026-03-11,180.337,6528.65,163.35,-20.03%,10.40%,2.081,17.37%,30.22
9,2026-03-10,181.461,20595.00,166.81,-20.26%,8.78%,2.081,54.25%,30.86
10,2026-03-09,177.430,14433.52,163.51,-19.31%,8.51%,2.081,39.80%,30.25
11,2026-03-06,181.035,12636.98,164.87,-20.07%,9.81%,2.081,33.40%,30.50
12,2026-03-05,182.500,24821.97,162.70,-20.37%,12.17%,2.081,64.09%,30.10
13,2026-03-04,181.700,12729.64,161.03,-20.17%,12.84%,2.081,33.51%,29.79
14,2026-03-03,182.600,8867.54,160.87,-20.34%,13.51%,2.081,23.04%,29.76
15,2026-03-02,188.676,16678.24,166.81,-21.64%,13.11%,2.081,42.04%,30.86
16,2026-02-27,195.373,60321.48,173.08,-22.93%,12.88%,2.081,148.41%,32.02
17,2026-02-26,187.500,44633.52,172.05,-21.28%,8.98%,2.081,112.96%,31.83
18,2026-02-25,193.800,159580.17,163.68,-22.56%,18.40%,2.081,393.47%,30.28
19,2026-02-24,178.684,18034.26,148.81,-19.29%,20.07%,2.082,48.61%,27.53
20,2026-02-13,185.097,12983.99,152.22,-20.11%,21.60%,2.082,33.36%,28.16
21,2026-02-12,181.850,4950.13,149.73,-19.37%,21.45%,2.082,13.04%,27.70
22,2026-02-11,183.999,7479.74,152.22,-19.82%,20.88%,2.082,19.34%,28.16
23,2026-02-10,187.530,4813.19,152.16,-20.56%,23.24%,2.082,12.32%,28.15
24,2026-02-09,189.999,11818.18,154.11,-21.05%,23.29%,2.082,30.39%,28.51
25,2026-02-06,178.910,3877.78,146.60,-18.57%,22.04%,2.082,10.42%,27.12
26,2026-02-05,179.000,9619.37,147.68,-18.57%,21.21%,2.082,25.66%,27.32
27,2026-02-04,180.800,4365.06,150.54,-18.95%,20.10%,2.082,11.66%,27.85
28,2026-02-03,181.208,8150.94,151.03,-19.02%,19.98%,2.082,21.73%,27.94
29,2026-02-02,176.058,9790.95,147.41,-17.83%,19.44%,2.082,26.22%,27.27
30,2026-01-30,184.406,11948.84,155.46,-19.62%,18.62%,2.082,30.49%,28.76
