序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-03-20,125.094,11895.36,71.57,-7.55%,74.79%,49.996,1.89%,15.91
2,2026-03-19,126.073,6897.53,72.25,-7.91%,74.51%,49.996,1.09%,16.06
3,2026-03-18,127.500,11428.78,75.03,-8.44%,69.92%,49.996,1.80%,16.68
4,2026-03-17,126.520,10267.70,74.31,-8.06%,70.25%,49.996,1.61%,16.52
5,2026-03-16,128.178,18789.61,73.32,-8.66%,74.81%,49.996,2.94%,16.30
6,2026-03-13,129.788,11357.60,78.18,-9.22%,66.01%,49.996,1.75%,17.38
7,2026-03-12,129.809,8362.92,78.90,-9.21%,64.52%,49.996,1.29%,17.54
8,2026-03-11,130.181,7260.60,78.95,-9.33%,64.90%,49.996,1.12%,17.55
9,2026-03-10,129.111,7895.53,78.32,-8.93%,64.86%,49.996,1.22%,17.41
10,2026-03-09,128.840,8567.73,78.36,-8.82%,64.42%,49.996,1.33%,17.42
11,2026-03-06,130.000,13867.89,79.40,-9.21%,63.73%,49.996,2.14%,17.65
12,2026-03-05,129.618,7123.57,79.17,-9.06%,63.72%,49.996,1.10%,17.60
13,2026-03-04,130.000,11114.07,78.54,-9.18%,65.52%,49.996,1.72%,17.46
14,2026-03-03,129.886,13736.06,79.71,-9.13%,62.94%,49.996,2.11%,17.72
15,2026-03-02,130.294,16046.33,79.80,-9.26%,63.27%,49.996,2.47%,17.74
16,2026-02-27,129.746,24042.17,81.11,-9.03%,59.97%,49.996,3.71%,18.03
17,2026-02-26,129.046,12943.92,77.96,-8.77%,65.53%,49.996,2.00%,17.33
18,2026-02-25,129.419,17542.55,73.91,-8.89%,75.11%,49.996,2.71%,16.43
19,2026-02-24,129.582,4728.16,71.57,-8.47%,81.06%,49.996,0.73%,15.91
20,2026-02-13,129.027,5644.25,69.64,-8.15%,85.29%,49.996,0.87%,15.48
21,2026-02-12,129.353,3236.23,71.53,-8.26%,80.85%,49.996,0.50%,15.90
22,2026-02-11,129.320,6098.30,72.34,-8.24%,78.78%,49.996,0.94%,16.08
23,2026-02-10,128.980,5980.52,71.03,-8.10%,81.58%,49.996,0.93%,15.79
24,2026-02-09,129.500,7807.40,69.91,-8.28%,85.25%,49.996,1.21%,15.54
25,2026-02-06,128.744,7458.79,68.11,-7.98%,89.03%,49.996,1.16%,15.14
26,2026-02-05,128.180,14468.07,68.83,-7.77%,86.24%,49.996,2.26%,15.30
27,2026-02-04,128.100,16702.73,69.55,-7.73%,84.20%,49.996,2.60%,15.46
28,2026-02-03,127.786,17507.72,67.57,-7.61%,89.13%,49.996,2.75%,15.02
29,2026-02-02,125.301,13030.74,66.49,-6.70%,88.46%,49.996,2.08%,14.78
30,2026-01-30,128.153,11140.69,73.86,-7.70%,73.50%,49.996,1.74%,16.42
