序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-04-21,135.070,3574.30,89.83,-7.11%,50.36%,3.791,6.99%,7.33
2,2026-04-20,135.188,3243.92,88.85,-7.14%,52.16%,3.791,6.34%,7.25
3,2026-04-17,135.015,3735.70,88.24,-7.05%,53.02%,3.791,7.32%,7.20
4,2026-04-16,134.938,3858.22,89.83,-7.01%,50.22%,3.791,7.57%,7.33
5,2026-04-15,133.713,3859.70,88.48,-6.57%,51.12%,3.791,7.59%,7.22
6,2026-04-14,133.680,5146.71,89.71,-6.55%,49.02%,3.791,10.22%,7.32
7,2026-04-13,133.376,4727.38,90.56,-6.43%,47.27%,3.791,9.35%,7.39
8,2026-04-10,134.244,3701.71,91.18,-6.72%,47.24%,3.791,7.22%,7.44
9,2026-04-09,134.906,5970.36,91.05,-6.94%,48.16%,3.791,11.66%,7.43
10,2026-04-08,135.495,7945.79,92.65,-7.13%,46.25%,3.791,15.55%,7.56
11,2026-04-07,133.730,5931.29,91.79,-5.98%,45.69%,3.791,11.72%,7.49
12,2026-04-03,131.466,3807.90,87.50,-5.13%,50.25%,3.791,7.62%,7.14
13,2026-04-02,131.986,5157.22,91.05,-5.31%,44.95%,3.791,10.29%,7.43
14,2026-04-01,133.553,5124.39,93.26,-5.86%,43.21%,3.791,10.13%,7.61
15,2026-03-31,131.984,6253.09,93.26,-5.29%,41.52%,3.791,12.37%,7.61
16,2026-03-30,133.153,5551.90,95.96,-5.71%,38.76%,3.791,10.97%,7.83
17,2026-03-27,134.078,5391.90,96.08,-6.01%,39.55%,3.791,10.61%,7.84
18,2026-03-26,132.650,5467.70,93.02,-5.50%,42.61%,3.791,10.86%,7.59
19,2026-03-25,134.236,4676.33,92.16,-6.05%,45.66%,3.791,9.21%,7.52
20,2026-03-24,133.375,5560.03,91.30,-5.74%,46.09%,3.791,11.17%,7.45
21,2026-03-23,130.119,10287.11,88.73,-4.56%,46.65%,3.791,20.88%,7.24
22,2026-03-20,130.276,4859.40,88.97,-4.60%,46.43%,3.791,9.73%,7.26
23,2026-03-19,133.646,3941.57,94.00,-5.80%,42.18%,3.791,7.77%,7.67
24,2026-03-18,135.345,3120.10,96.45,-6.38%,40.33%,3.791,6.11%,7.87
25,2026-03-17,134.732,4367.58,96.81,-6.16%,39.17%,3.791,8.51%,7.90
26,2026-03-16,136.886,3168.24,99.14,-6.88%,38.07%,3.791,6.13%,8.09
27,2026-03-13,137.038,3991.34,100.37,-6.91%,36.54%,3.791,7.65%,8.19
28,2026-03-12,137.283,3187.24,99.39,-6.98%,38.13%,3.791,6.09%,8.11
29,2026-03-11,138.060,2512.63,97.79,-7.23%,41.17%,3.791,4.80%,7.98
30,2026-03-10,137.950,3612.47,96.69,-7.18%,42.67%,3.791,6.92%,7.89
