序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-03-20,120.947,1155.20,66.21,-3.34%,82.67%,6.399,1.49%,13.99
2,2026-03-19,122.295,980.66,68.58,-3.86%,78.34%,6.399,1.25%,14.49
3,2026-03-18,124.292,1277.82,70.09,-4.61%,77.33%,6.399,1.62%,14.81
4,2026-03-17,123.515,1603.86,69.95,-4.31%,76.58%,6.399,2.02%,14.78
5,2026-03-16,124.750,1618.93,71.56,-4.77%,74.34%,6.399,2.03%,15.12
6,2026-03-13,125.452,2158.02,70.80,-5.01%,77.19%,6.399,2.68%,14.96
7,2026-03-12,125.750,1010.86,71.51,-5.11%,75.85%,6.399,1.25%,15.11
8,2026-03-11,126.399,1296.56,71.94,-5.34%,75.71%,6.399,1.61%,15.20
9,2026-03-10,125.783,3314.06,71.70,-5.11%,75.43%,6.399,4.11%,15.15
10,2026-03-09,125.400,3682.45,72.31,-4.96%,73.41%,6.399,4.61%,15.28
11,2026-03-06,125.153,8036.70,71.75,-4.85%,74.44%,6.399,10.03%,15.16
12,2026-03-05,123.454,1494.61,66.73,-4.22%,85.01%,6.399,1.88%,14.10
13,2026-03-04,123.733,1930.81,68.91,-4.32%,79.57%,6.399,2.43%,14.56
14,2026-03-03,123.873,1925.36,69.57,-4.37%,78.06%,6.399,2.42%,14.70
15,2026-03-02,124.503,2391.18,68.20,-4.59%,82.56%,6.399,3.00%,14.41
16,2026-02-27,125.202,2133.21,70.04,-4.83%,78.75%,6.399,2.67%,14.80
17,2026-02-26,124.966,2689.76,68.53,-4.74%,82.36%,6.399,3.35%,14.48
18,2026-02-25,126.143,1196.48,68.81,-5.15%,83.32%,6.399,1.48%,14.54
19,2026-02-24,126.066,1116.44,68.95,-5.12%,82.83%,6.399,1.39%,14.57
20,2026-02-13,125.430,1588.83,67.58,-4.82%,85.60%,6.399,1.98%,14.28
21,2026-02-12,124.979,2252.53,67.63,-4.66%,84.80%,6.399,2.81%,14.29
22,2026-02-11,125.899,1663.73,68.72,-4.98%,83.21%,6.399,2.07%,14.52
23,2026-02-10,125.232,1346.34,69.33,-4.74%,80.62%,6.399,1.68%,14.65
24,2026-02-09,124.874,1398.25,70.00,-4.60%,78.40%,6.399,1.75%,14.79
25,2026-02-06,123.853,1593.01,69.00,-4.23%,79.49%,6.399,2.01%,14.58
26,2026-02-05,123.399,2267.84,68.77,-4.06%,79.45%,6.399,2.87%,14.53
27,2026-02-04,124.001,1838.17,68.86,-4.27%,80.08%,6.399,2.32%,14.55
28,2026-02-03,123.136,1747.02,68.43,-3.95%,79.94%,6.399,2.22%,14.46
29,2026-02-02,121.600,2598.25,67.91,-3.39%,79.05%,6.399,3.32%,14.35
30,2026-01-30,122.648,2350.03,70.09,-3.76%,74.99%,6.399,2.98%,14.81
