序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-03-20,120.050,9220.71,95.82,0.83%,25.29%,27.890,2.74%,5.04
2,2026-03-19,121.526,10850.10,100.19,0.23%,21.30%,27.890,3.18%,5.27
3,2026-03-18,122.949,11911.51,101.14,-0.34%,21.56%,27.890,3.49%,5.32
4,2026-03-17,122.601,18074.72,105.32,-0.20%,16.40%,27.890,5.25%,5.54
5,2026-03-16,123.631,13603.84,102.66,-0.61%,20.43%,27.890,3.96%,5.40
6,2026-03-13,124.691,9949.36,103.99,-1.02%,19.90%,27.890,2.84%,5.47
7,2026-03-12,125.800,11358.40,104.18,-1.44%,20.75%,27.890,3.23%,5.48
8,2026-03-11,125.660,11932.86,102.85,-1.38%,22.18%,27.890,3.41%,5.41
9,2026-03-10,124.629,9723.92,100.38,-0.99%,24.16%,27.890,2.79%,5.28
10,2026-03-09,124.892,17292.83,102.85,-1.09%,21.43%,27.890,4.95%,5.41
11,2026-03-06,124.920,8087.30,100.76,-1.09%,23.98%,27.890,2.33%,5.30
12,2026-03-05,124.800,19730.29,101.52,-1.05%,22.93%,27.890,5.65%,5.34
13,2026-03-04,124.400,17161.54,99.62,-0.89%,24.87%,27.890,4.97%,5.24
14,2026-03-03,123.903,26939.90,104.75,-0.70%,18.28%,27.890,7.73%,5.51
15,2026-03-02,125.132,17187.26,100.57,-1.17%,24.42%,27.890,4.92%,5.29
16,2026-02-27,124.636,10961.16,99.62,-0.98%,25.11%,27.890,3.17%,5.24
17,2026-02-26,123.300,9060.42,95.44,-0.47%,29.19%,27.890,2.62%,5.02
18,2026-02-25,125.200,11372.29,96.39,-1.19%,29.89%,27.890,3.25%,5.07
19,2026-02-24,124.990,12889.05,94.87,-1.11%,31.75%,27.890,3.71%,4.99
20,2026-02-13,122.420,6752.06,90.11,-0.12%,35.85%,27.890,1.97%,4.74
21,2026-02-12,123.450,5988.58,92.40,-0.51%,33.61%,27.890,1.74%,4.86
22,2026-02-11,123.698,7448.69,93.73,-0.61%,31.98%,27.890,2.16%,4.93
23,2026-02-10,123.790,7638.09,93.73,-0.64%,32.08%,27.890,2.21%,4.93
24,2026-02-09,124.100,7732.10,95.25,-0.75%,30.29%,27.890,2.24%,5.01
25,2026-02-06,123.069,11531.28,93.73,-0.37%,31.31%,27.890,3.36%,4.93
26,2026-02-05,123.340,19189.99,95.44,-0.47%,29.24%,27.890,5.59%,5.02
27,2026-02-04,124.700,60107.06,98.29,-0.97%,26.87%,27.890,17.35%,5.17
28,2026-02-03,120.800,11515.23,89.35,0.50%,35.19%,27.890,3.45%,4.70
29,2026-02-02,118.792,20083.07,88.59,1.28%,34.09%,27.890,6.00%,4.66
30,2026-01-30,123.650,31221.21,96.20,-0.58%,28.54%,27.890,8.97%,5.06
