序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-05-21,128.957,1241.98,62.06,-4.99%,107.81%,3.958,2.41%,4.71
2,2026-05-20,129.900,1349.80,63.24,-5.35%,105.40%,3.958,2.62%,4.80
3,2026-05-19,130.900,1975.63,64.43,-5.72%,103.18%,3.958,3.83%,4.89
4,2026-05-18,129.039,1760.72,63.51,-5.00%,103.20%,3.958,3.44%,4.82
5,2026-05-15,129.666,3170.35,63.11,-5.22%,105.46%,3.958,6.17%,4.79
6,2026-05-14,130.505,2779.08,64.16,-5.53%,103.39%,3.958,5.36%,4.87
7,2026-05-13,131.389,1871.79,66.14,-5.85%,98.65%,3.958,3.60%,5.02
8,2026-05-12,131.537,2615.76,66.01,-5.90%,99.27%,3.958,5.02%,5.01
9,2026-05-11,132.151,3157.13,67.19,-6.12%,96.67%,3.958,6.05%,5.10
10,2026-05-08,131.562,4178.24,67.46,-5.88%,95.03%,3.958,8.02%,5.12
11,2026-05-07,131.996,1954.38,66.54,-6.03%,98.39%,3.958,3.75%,5.05
12,2026-05-06,131.468,2069.26,66.67,-5.83%,97.20%,3.958,3.98%,5.06
13,2026-04-30,130.557,2598.22,66.67,-5.44%,95.84%,3.958,5.01%,5.06
14,2026-04-29,130.800,1686.95,66.93,-5.53%,95.43%,3.958,3.26%,5.08
15,2026-04-28,130.030,2043.22,64.56,-5.23%,101.41%,3.958,3.96%,4.90
16,2026-04-27,131.098,3167.38,66.40,-5.62%,97.43%,3.958,6.12%,5.04
17,2026-04-24,131.200,4663.56,65.88,-5.63%,99.16%,3.958,9.00%,5.00
18,2026-04-23,129.799,4296.41,65.74,-5.11%,97.43%,3.958,8.34%,4.99
19,2026-04-22,131.713,2444.50,66.67,-5.81%,97.57%,3.958,4.69%,5.06
20,2026-04-21,131.981,4308.46,66.80,-5.89%,97.58%,3.958,8.27%,5.07
21,2026-04-20,133.645,4745.59,67.33,-5.95%,98.51%,3.958,9.00%,5.11
22,2026-04-17,132.020,1753.69,67.06,-5.34%,96.86%,3.958,3.35%,5.09
23,2026-04-16,132.499,1668.65,68.51,-5.50%,93.40%,3.958,3.19%,5.20
24,2026-04-15,131.149,2140.49,66.93,-5.00%,95.95%,3.958,4.11%,5.08
25,2026-04-14,131.140,1950.04,67.59,-4.99%,94.03%,3.958,3.77%,5.13
26,2026-04-13,130.545,1511.74,67.72,-4.77%,92.77%,3.958,2.92%,5.14
27,2026-04-10,131.154,2566.55,68.12,-4.97%,92.55%,3.958,4.93%,5.17
28,2026-04-09,131.251,2885.56,67.59,-5.00%,94.19%,3.958,5.54%,5.13
29,2026-04-08,132.100,4105.78,69.96,-5.30%,88.82%,3.958,7.88%,5.31
30,2026-04-07,129.660,4009.76,67.46,-4.41%,92.21%,3.958,7.81%,5.12
