序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-05-21,145.771,8666.23,105.20,-13.34%,38.57%,11.364,5.17%,27.32
2,2026-05-20,149.000,6325.90,111.59,-14.28%,33.52%,11.364,3.73%,28.98
3,2026-05-19,149.900,9089.54,110.20,-14.52%,36.02%,11.364,5.42%,28.62
4,2026-05-18,149.635,10383.71,111.67,-13.99%,34.00%,11.364,6.09%,29.00
5,2026-05-15,150.001,8645.21,115.40,-14.04%,29.98%,11.364,5.03%,29.97
6,2026-05-14,152.438,17851.24,116.52,-14.72%,30.83%,11.364,10.16%,30.26
7,2026-05-13,154.200,7646.39,116.29,-15.19%,32.60%,11.364,4.38%,30.20
8,2026-05-12,153.100,10218.58,113.21,-14.87%,35.24%,11.364,5.84%,29.40
9,2026-05-11,158.729,24576.30,119.21,-16.38%,33.15%,11.364,13.63%,30.96
10,2026-05-08,153.808,6365.23,114.98,-14.99%,33.77%,11.364,3.62%,29.86
11,2026-05-07,154.597,10334.29,115.63,-15.19%,33.70%,11.364,5.87%,30.03
12,2026-05-06,156.432,8295.30,122.03,-15.67%,28.20%,11.364,4.65%,31.69
13,2026-04-30,155.060,9652.11,121.02,-15.18%,28.12%,11.364,5.43%,31.43
14,2026-04-29,157.100,14189.16,124.11,-15.71%,26.59%,11.364,7.97%,32.23
15,2026-04-28,156.700,40842.15,127.84,-15.58%,22.58%,11.364,22.78%,33.20
16,2026-04-27,154.400,27469.38,120.52,-14.94%,28.11%,11.364,15.41%,31.30
17,2026-04-24,158.100,46931.39,121.95,-15.87%,29.64%,11.364,26.09%,31.67
18,2026-04-23,155.918,16375.40,117.44,-15.28%,32.76%,11.364,9.24%,30.50
19,2026-04-22,156.000,16217.57,115.13,-15.28%,35.50%,11.364,9.21%,29.90
20,2026-04-21,153.878,82322.78,115.83,-14.69%,32.85%,11.364,46.40%,30.08
21,2026-04-20,149.704,5164.34,109.16,-13.52%,37.14%,11.364,3.03%,28.35
22,2026-04-17,149.770,5207.60,107.43,-13.49%,39.41%,11.364,3.07%,27.90
23,2026-04-16,150.757,9064.91,108.74,-13.75%,38.64%,11.364,5.33%,28.24
24,2026-04-15,149.500,6685.21,108.24,-13.38%,38.12%,11.364,3.92%,28.11
25,2026-04-14,148.060,4672.15,108.51,-12.95%,36.45%,11.364,2.79%,28.18
26,2026-04-13,146.700,7123.73,108.16,-12.55%,35.63%,11.364,4.25%,28.09
27,2026-04-10,150.780,5553.75,114.02,-13.65%,32.24%,11.364,3.21%,29.61
28,2026-04-09,151.390,7316.18,112.90,-13.80%,34.09%,11.364,4.24%,29.32
29,2026-04-08,152.130,12656.13,112.13,-13.99%,35.67%,11.364,7.33%,29.12
30,2026-04-07,147.800,7138.45,109.36,-12.77%,35.15%,11.364,4.25%,28.40
