序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-02-13,166.800,6918.31,119.00,-15.12%,40.17%,15.342,2.69%,176.95
2,2026-02-12,170.200,8114.07,122.13,-15.82%,39.37%,15.342,3.09%,181.60
3,2026-02-11,169.099,6289.17,121.39,-15.57%,39.31%,15.342,2.42%,180.50
4,2026-02-10,168.346,16277.78,121.03,-15.40%,39.10%,15.342,6.37%,179.97
5,2026-02-09,167.700,44835.13,120.44,-15.24%,39.24%,15.342,17.76%,179.09
6,2026-02-06,157.457,20798.33,113.95,-12.92%,38.18%,15.342,8.69%,169.45
7,2026-02-05,152.268,13101.10,108.85,-11.68%,39.89%,15.342,5.63%,161.86
8,2026-02-04,154.189,15927.22,109.28,-12.13%,41.09%,15.342,6.70%,162.50
9,2026-02-03,155.250,21937.78,108.94,-12.37%,42.50%,15.342,9.36%,162.00
10,2026-02-02,148.139,12639.90,102.03,-10.62%,45.19%,15.342,5.53%,151.72
11,2026-01-30,151.500,12116.26,103.90,-11.42%,45.81%,15.342,5.21%,154.50
12,2026-01-29,154.000,9895.78,105.92,-12.00%,45.40%,15.342,4.13%,157.50
13,2026-01-28,154.063,14015.69,105.85,-12.01%,45.55%,15.342,5.93%,157.40
14,2026-01-27,155.978,10472.63,111.08,-12.44%,40.42%,15.342,4.42%,165.18
15,2026-01-26,156.000,17399.75,110.03,-12.44%,41.78%,15.342,7.17%,163.61
16,2026-01-23,161.379,11807.19,114.57,-13.61%,40.85%,15.342,4.76%,170.37
17,2026-01-22,157.620,5643.64,111.68,-12.76%,41.13%,15.342,2.34%,166.07
18,2026-01-21,157.315,16546.41,113.79,-12.67%,38.25%,15.342,6.87%,169.20
19,2026-01-20,154.427,11300.77,111.08,-11.99%,39.02%,15.342,4.77%,165.18
20,2026-01-19,157.506,20369.32,113.32,-12.69%,38.99%,15.342,8.48%,168.51
21,2026-01-16,152.200,13001.90,110.36,-11.41%,37.92%,15.342,5.58%,164.10
22,2026-01-15,148.390,14124.87,106.05,-10.48%,39.93%,15.342,6.20%,157.69
23,2026-01-14,150.625,12236.32,106.70,-11.01%,41.17%,15.342,5.27%,158.66
24,2026-01-13,150.280,8723.91,108.73,-10.92%,38.22%,15.342,3.76%,161.68
25,2026-01-12,152.500,14287.16,109.03,-11.44%,39.87%,15.342,6.12%,162.13
26,2026-01-09,152.611,20162.89,112.05,-11.43%,36.20%,15.342,8.60%,166.62
27,2026-01-08,148.800,8716.84,104.04,-10.50%,43.03%,15.342,3.79%,154.70
28,2026-01-07,149.040,8892.89,103.73,-10.55%,43.68%,15.342,3.89%,154.25
29,2026-01-06,149.935,9810.75,106.97,-10.75%,40.16%,15.342,4.23%,159.07
30,2026-01-05,148.134,8159.29,107.42,-10.30%,37.90%,15.342,3.59%,159.74
