序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-03-20,135.875,18508.65,103.76,-7.96%,30.95%,29.994,4.49%,10.76
2,2026-03-19,138.000,31786.97,101.74,-8.57%,35.65%,29.994,7.76%,10.55
3,2026-03-18,142.700,18426.69,109.93,-9.88%,29.81%,29.994,4.35%,11.40
4,2026-03-17,140.611,45542.86,111.57,-9.29%,26.03%,29.994,10.60%,11.57
5,2026-03-16,149.501,41650.48,116.78,-11.66%,28.02%,29.994,9.46%,12.11
6,2026-03-13,150.470,74090.51,123.43,-11.86%,21.90%,29.994,16.26%,12.80
7,2026-03-12,147.996,40339.81,120.35,-11.22%,22.97%,29.994,9.02%,12.48
8,2026-03-11,149.000,74530.36,123.72,-11.46%,20.43%,29.994,16.75%,12.83
9,2026-03-10,144.999,23319.12,114.75,-10.41%,26.36%,29.994,5.41%,11.90
10,2026-03-09,143.500,73942.38,121.22,-10.00%,18.38%,29.994,17.26%,12.57
11,2026-03-06,142.900,36654.89,124.88,-9.80%,14.43%,29.994,8.63%,12.95
12,2026-03-05,141.732,51039.84,126.23,-9.47%,12.28%,29.994,12.02%,13.09
13,2026-03-04,139.068,32705.75,114.75,-8.73%,21.19%,29.994,7.91%,11.90
14,2026-03-03,138.766,37744.76,122.37,-8.63%,13.40%,29.994,9.01%,12.69
15,2026-03-02,140.795,30782.88,127.39,-9.19%,10.53%,29.994,7.28%,13.21
16,2026-02-27,139.800,16378.00,123.82,-8.88%,12.91%,29.994,3.91%,12.84
17,2026-02-26,139.285,13887.47,120.64,-8.73%,15.46%,29.994,3.32%,12.51
18,2026-02-25,139.774,17641.28,121.79,-8.86%,14.76%,29.994,4.18%,12.63
19,2026-02-24,140.152,13690.64,122.66,-8.95%,14.26%,29.994,3.25%,12.72
20,2026-02-13,139.128,15783.76,122.85,-8.56%,13.25%,29.994,3.78%,12.74
21,2026-02-12,139.850,12199.35,127.29,-8.75%,9.87%,29.994,2.90%,13.20
22,2026-02-11,139.930,34066.77,128.26,-8.76%,9.10%,29.994,8.09%,13.30
23,2026-02-10,140.480,25668.63,128.54,-8.90%,9.29%,29.994,6.07%,13.33
24,2026-02-09,140.660,24029.44,125.07,-8.94%,12.46%,29.994,5.71%,12.97
25,2026-02-06,140.195,25806.58,121.31,-8.79%,15.57%,29.996,6.13%,12.58
26,2026-02-05,138.339,19264.57,115.53,-8.27%,19.75%,29.996,4.67%,11.98
27,2026-02-04,138.153,23079.00,114.08,-8.21%,21.10%,29.996,5.60%,11.83
28,2026-02-03,138.340,24721.83,111.48,-8.26%,24.10%,29.996,6.03%,11.56
29,2026-02-02,133.200,28775.14,106.94,-6.80%,24.55%,29.996,7.09%,11.09
30,2026-01-30,139.001,35718.23,116.49,-8.40%,19.32%,29.996,8.50%,12.08
