序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-03-20,121.222,1747.31,62.02,-3.46%,95.45%,8.300,1.73%,6.99
2,2026-03-19,122.300,2205.01,64.15,-3.81%,90.64%,8.300,2.16%,7.23
3,2026-03-18,124.622,2251.49,67.52,-4.57%,84.56%,8.300,2.19%,7.61
4,2026-03-17,123.999,3787.62,68.15,-4.37%,81.96%,8.300,3.65%,7.68
5,2026-03-16,126.494,3650.48,70.81,-5.16%,78.65%,8.300,3.50%,7.98
6,2026-03-13,126.200,2361.78,71.07,-5.05%,77.56%,8.300,2.24%,8.01
7,2026-03-12,126.901,2515.80,72.67,-5.27%,74.62%,8.300,2.37%,8.19
8,2026-03-11,128.441,1613.66,72.41,-5.74%,77.39%,8.300,1.51%,8.16
9,2026-03-10,128.130,2583.11,72.49,-5.64%,76.75%,8.300,2.44%,8.17
10,2026-03-09,127.117,3108.53,71.43,-5.32%,77.96%,8.300,2.95%,8.05
11,2026-03-06,127.762,1849.72,72.41,-5.50%,76.46%,8.300,1.75%,8.16
12,2026-03-05,127.600,3754.55,72.85,-5.44%,75.16%,8.300,3.54%,8.21
13,2026-03-04,126.250,2331.98,69.39,-5.02%,81.95%,8.300,2.22%,7.82
14,2026-03-03,126.299,3209.54,69.30,-5.03%,82.25%,8.300,3.04%,7.81
15,2026-03-02,128.212,3553.63,72.14,-5.61%,77.73%,8.300,3.34%,8.13
16,2026-02-27,128.870,1274.74,73.74,-5.80%,74.77%,8.300,1.20%,8.31
17,2026-02-26,128.192,2614.78,71.96,-5.58%,78.14%,8.300,2.45%,8.11
18,2026-02-25,129.300,3166.81,72.49,-5.91%,78.36%,8.300,2.93%,8.17
19,2026-02-24,129.450,2166.70,70.72,-5.95%,83.05%,8.300,2.02%,7.97
20,2026-02-13,128.007,1460.08,68.15,-5.45%,87.84%,8.300,1.37%,7.68
21,2026-02-12,128.400,1402.28,69.57,-5.56%,84.58%,8.300,1.32%,7.84
22,2026-02-11,128.604,2637.03,70.45,-5.62%,82.54%,8.300,2.46%,7.94
23,2026-02-10,128.926,2218.78,69.21,-5.71%,86.28%,8.300,2.08%,7.80
24,2026-02-09,128.120,3584.53,70.72,-5.46%,81.17%,8.300,3.37%,7.97
25,2026-02-06,127.300,3947.30,71.07,-5.19%,79.11%,8.300,3.73%,8.01
26,2026-02-05,126.303,4153.13,70.19,-4.89%,79.95%,8.300,3.96%,7.91
27,2026-02-04,128.128,1459.72,72.58,-5.43%,76.53%,8.300,1.37%,8.18
28,2026-02-03,128.425,5134.79,72.67,-5.51%,76.72%,8.300,4.86%,8.19
29,2026-02-02,126.150,4871.56,72.23,-4.82%,74.66%,8.300,4.63%,8.14
30,2026-01-30,127.850,7058.69,74.71,-5.32%,71.12%,8.300,6.63%,8.42
