序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-02-13,134.880,2805.38,84.90,-4.96%,58.87%,5.041,4.13%,44.31
2,2026-02-12,134.500,1450.70,85.94,-4.84%,56.51%,5.041,2.14%,44.85
3,2026-02-11,134.554,2431.21,86.51,-4.85%,55.53%,5.041,3.59%,45.15
4,2026-02-10,134.000,2649.64,86.13,-4.69%,55.58%,5.041,3.93%,44.95
5,2026-02-09,133.656,2884.91,85.97,-4.58%,55.46%,5.041,4.30%,44.87
6,2026-02-06,132.566,2545.19,85.23,-4.25%,55.54%,5.041,3.81%,44.48
7,2026-02-05,132.499,3067.55,85.80,-4.23%,54.42%,5.041,4.61%,44.78
8,2026-02-04,131.698,2900.66,84.27,-3.99%,56.28%,5.041,4.38%,43.98
9,2026-02-03,130.944,4111.31,82.89,-3.76%,57.97%,5.041,6.24%,43.26
10,2026-02-02,129.636,3741.28,82.64,-3.37%,56.87%,5.041,5.71%,43.13
11,2026-01-30,130.834,5256.33,82.97,-3.71%,57.70%,5.041,7.91%,43.30
12,2026-01-29,133.137,1804.73,83.85,-4.38%,58.78%,5.041,2.69%,43.76
13,2026-01-28,132.400,2039.51,82.41,-4.16%,60.66%,5.041,3.06%,43.01
14,2026-01-27,131.782,2359.01,84.14,-3.98%,56.63%,5.041,3.55%,43.91
15,2026-01-26,132.302,3287.71,85.44,-4.12%,54.85%,5.041,4.92%,44.59
16,2026-01-23,133.446,2808.89,86.11,-4.44%,54.97%,5.041,4.19%,44.94
17,2026-01-22,132.014,2987.70,85.46,-4.02%,54.48%,5.041,4.49%,44.60
18,2026-01-21,131.571,2504.93,86.57,-3.89%,51.99%,5.041,3.78%,45.18
19,2026-01-20,131.000,1525.60,85.53,-3.72%,53.16%,5.041,2.31%,44.64
20,2026-01-19,131.033,2277.05,85.51,-3.73%,53.23%,5.041,3.45%,44.63
21,2026-01-16,129.955,1335.86,83.83,-3.40%,55.03%,5.041,2.04%,43.75
22,2026-01-15,129.880,1991.15,84.31,-3.37%,54.06%,5.041,3.05%,44.00
23,2026-01-14,129.799,2129.71,84.25,-3.35%,54.06%,5.041,3.25%,43.97
24,2026-01-13,129.824,2139.96,84.54,-3.35%,53.57%,5.041,3.26%,44.12
25,2026-01-12,130.939,3345.84,84.52,-3.67%,54.92%,5.041,5.07%,44.11
26,2026-01-09,130.459,2103.05,83.68,-3.52%,55.91%,5.041,3.21%,43.67
27,2026-01-08,129.586,2325.06,82.35,-3.26%,57.35%,5.041,3.57%,42.98
28,2026-01-07,128.885,2200.43,82.16,-3.05%,56.87%,5.041,3.38%,42.88
29,2026-01-06,129.174,1162.91,82.68,-3.13%,56.24%,5.041,1.79%,43.15
30,2026-01-05,127.941,2116.93,81.78,-2.77%,56.45%,5.041,3.29%,42.68
