序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-01-20,136.560,142578.52,133.55,-7.72%,2.26%,4.932,204.58%,70.62
2,2026-01-19,165.100,187545.40,142.30,-14.32%,16.02%,4.936,234.88%,75.25
3,2026-01-16,152.221,126952.25,143.44,-11.52%,6.12%,4.936,154.32%,75.85
4,2026-01-15,167.942,90179.70,144.55,-14.84%,16.18%,4.936,105.97%,76.44
5,2026-01-14,181.529,123890.67,151.21,-17.36%,20.05%,4.936,133.67%,79.96
6,2026-01-13,191.688,136291.70,167.98,-19.07%,14.11%,4.936,140.94%,88.83
7,2026-01-12,214.500,297752.32,186.65,-22.51%,14.92%,4.936,287.73%,98.70
8,2026-01-09,188.888,152314.41,172.94,-18.54%,9.22%,4.936,161.16%,91.45
9,2026-01-08,184.999,175415.64,168.08,-17.86%,10.07%,4.936,193.26%,88.88
10,2026-01-07,172.600,74245.33,163.11,-15.62%,5.82%,4.936,86.48%,86.25
11,2026-01-06,174.482,172367.88,173.32,-15.95%,0.67%,4.936,204.78%,91.65
12,2026-01-05,168.000,269377.65,160.40,-14.70%,4.74%,4.937,326.60%,84.82
13,2025-12-31,160.950,271242.57,148.53,-13.22%,8.37%,4.946,341.91%,78.54
14,2025-12-30,152.500,217635.77,135.02,-11.39%,12.94%,4.946,277.42%,71.40
15,2025-12-29,152.466,28248.78,130.71,-11.37%,16.64%,4.946,37.14%,69.12
16,2025-12-26,153.300,86173.25,133.95,-11.52%,14.45%,4.947,110.88%,70.83
17,2025-12-25,158.990,179846.27,129.67,-12.73%,22.61%,4.947,231.04%,68.57
18,2025-12-24,145.520,22088.62,117.89,-9.72%,23.44%,4.947,30.70%,62.34
19,2025-12-23,143.400,38267.38,113.43,-9.21%,26.43%,4.947,52.65%,59.98
20,2025-12-22,145.400,14398.08,118.04,-9.68%,23.18%,4.947,20.02%,62.42
21,2025-12-19,144.768,48590.84,118.21,-9.50%,22.47%,4.947,67.22%,62.51
22,2025-12-18,143.029,23256.34,112.52,-9.07%,27.12%,4.947,32.82%,59.50
23,2025-12-17,139.922,14115.95,109.93,-8.31%,27.28%,4.947,20.40%,58.13
24,2025-12-16,141.595,19300.45,116.43,-8.71%,21.61%,4.947,27.59%,61.57
25,2025-12-15,144.600,47967.18,122.01,-9.42%,18.51%,4.947,67.03%,64.52
26,2025-12-12,141.600,16252.82,115.51,-8.68%,22.59%,4.947,22.98%,61.08
27,2025-12-11,142.731,39092.57,119.69,-8.94%,19.25%,4.947,54.94%,63.29
28,2025-12-10,142.322,23010.73,116.60,-8.83%,22.06%,4.947,32.48%,61.66
29,2025-12-09,142.000,28946.08,118.17,-8.75%,20.16%,4.947,41.03%,62.49
30,2025-12-08,142.577,34877.04,116.62,-8.88%,22.26%,4.947,48.50%,61.67
