序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-02-13,151.110,2338.29,108.57,-10.00%,39.19%,4.498,3.42%,16.35
2,2026-02-12,152.200,2714.41,109.36,-10.24%,39.17%,4.498,3.96%,16.47
3,2026-02-11,151.811,1118.46,109.10,-10.14%,39.15%,4.498,1.64%,16.43
4,2026-02-10,150.955,1937.42,109.56,-9.93%,37.78%,4.498,2.85%,16.50
5,2026-02-09,152.000,2351.73,108.90,-10.16%,39.58%,4.498,3.47%,16.40
6,2026-02-06,148.900,3195.48,107.24,-9.42%,38.85%,4.498,4.78%,16.15
7,2026-02-05,146.758,2210.37,106.64,-8.90%,37.62%,4.498,3.34%,16.06
8,2026-02-04,149.102,2433.53,108.43,-9.44%,37.51%,4.498,3.63%,16.33
9,2026-02-03,150.280,5567.59,108.83,-9.71%,38.09%,4.498,8.29%,16.39
10,2026-02-02,145.500,6791.82,107.04,-8.57%,35.93%,4.498,10.28%,16.12
11,2026-01-30,148.583,5007.30,109.23,-9.28%,36.03%,4.498,7.41%,16.45
12,2026-01-29,151.118,3449.46,109.23,-9.85%,38.35%,4.498,5.02%,16.45
13,2026-01-28,154.680,3200.40,111.75,-10.64%,38.41%,4.498,4.62%,16.83
14,2026-01-27,154.700,3012.28,113.28,-10.64%,36.56%,4.498,4.35%,17.06
15,2026-01-26,156.000,3305.14,114.34,-10.91%,36.43%,4.498,4.71%,17.22
16,2026-01-23,158.524,3552.34,117.00,-11.42%,35.49%,4.498,5.00%,17.62
17,2026-01-22,156.546,4266.53,114.68,-10.99%,36.51%,4.498,6.06%,17.27
18,2026-01-21,156.800,22734.70,118.92,-11.03%,31.85%,4.498,32.31%,17.91
19,2026-01-20,151.300,6814.61,112.82,-9.81%,34.11%,4.498,9.92%,16.99
20,2026-01-19,156.299,3288.58,115.47,-10.90%,35.36%,4.498,4.68%,17.39
21,2026-01-16,156.198,4822.87,115.41,-10.85%,35.35%,4.498,6.84%,17.38
22,2026-01-15,155.500,5258.08,117.13,-10.69%,32.76%,4.498,7.53%,17.64
23,2026-01-14,155.793,15615.76,118.59,-10.74%,31.37%,4.498,22.05%,17.86
24,2026-01-13,156.851,59029.03,119.66,-10.96%,31.09%,4.498,83.13%,18.02
25,2026-01-12,152.300,5994.84,114.87,-9.95%,32.58%,4.498,8.81%,17.30
26,2026-01-09,147.591,2435.36,110.89,-8.86%,33.10%,4.498,3.67%,16.70
27,2026-01-08,146.588,5919.25,110.49,-8.61%,32.67%,4.498,8.92%,16.64
28,2026-01-07,145.640,3242.86,108.10,-8.38%,34.73%,4.498,4.92%,16.28
29,2026-01-06,146.626,2510.66,109.83,-8.61%,33.51%,4.498,3.80%,16.54
30,2026-01-05,146.146,3274.78,110.23,-8.49%,32.59%,4.498,4.99%,16.60
