序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-03-20,160.499,128595.89,160.56,-11.04%,-0.04%,5.342,144.79%,12.09
2,2026-03-19,174.900,161950.38,175.83,-13.98%,-0.53%,5.342,167.55%,13.24
3,2026-03-18,189.000,190964.67,185.92,-16.54%,1.66%,5.344,193.31%,14.00
4,2026-03-17,192.000,301318.13,189.91,-17.04%,1.10%,5.431,284.67%,14.30
5,2026-03-16,196.500,373998.75,196.55,-17.77%,-0.02%,5.508,340.91%,14.80
6,2026-03-13,200.579,458202.56,203.19,-18.38%,-1.28%,5.994,361.76%,15.30
7,2026-03-12,208.000,461013.84,214.61,-19.51%,-3.08%,7.406,282.14%,16.16
8,2026-03-11,213.006,512186.56,195.62,-20.23%,8.89%,7.746,319.79%,14.73
9,2026-03-10,182.833,253620.86,177.82,-15.33%,2.82%,7.758,184.42%,13.39
10,2026-03-09,172.804,178936.59,172.91,-13.44%,-0.06%,7.758,134.62%,13.02
11,2026-03-06,172.680,373533.01,172.11,-13.37%,0.33%,8.710,250.34%,12.96
12,2026-03-05,164.257,123792.18,164.01,-11.67%,0.15%,8.958,83.82%,12.35
13,2026-03-04,168.000,399103.27,167.73,-12.42%,0.16%,9.013,264.54%,12.63
14,2026-03-03,159.201,265855.71,165.60,-10.57%,-3.87%,9.108,173.95%,12.47
15,2026-03-02,188.000,256640.64,183.93,-16.12%,2.21%,9.365,147.99%,13.85
16,2026-02-27,190.619,328320.69,190.70,-16.51%,-0.04%,9.365,186.97%,14.36
17,2026-02-26,192.850,280734.85,187.25,-16.87%,2.99%,9.365,161.10%,14.10
18,2026-02-25,195.399,457971.52,190.17,-17.27%,2.75%,9.367,243.37%,14.32
19,2026-02-24,197.300,401667.76,192.83,-17.56%,2.32%,9.367,223.34%,14.52
20,2026-02-13,183.403,618566.47,183.93,-15.06%,-0.29%,9.368,353.21%,13.85
21,2026-02-12,186.001,697823.42,187.25,-15.50%,-0.67%,9.372,389.65%,14.10
22,2026-02-11,209.000,576391.23,196.95,-19.13%,6.12%,9.664,285.07%,14.83
23,2026-02-10,201.488,469979.04,179.02,-17.98%,12.55%,9.664,236.62%,13.48
24,2026-02-09,189.000,344237.62,162.68,-15.96%,16.18%,9.666,195.24%,12.25
25,2026-02-06,157.500,510097.55,147.94,-9.95%,6.46%,9.666,328.06%,11.14
26,2026-02-05,148.100,92802.26,134.53,-7.83%,10.09%,9.666,64.21%,10.13
27,2026-02-04,153.263,285401.42,143.16,-9.00%,7.06%,9.666,197.19%,10.78
28,2026-02-03,159.000,364844.90,136.92,-10.24%,16.13%,9.666,253.75%,10.31
29,2026-02-02,135.498,274253.86,124.44,-4.67%,8.89%,9.667,199.33%,9.37
30,2026-01-30,149.000,316516.27,127.36,-7.99%,16.99%,9.667,223.82%,9.59
