序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-03-20,136.770,10855.65,136.71,-6.45%,0.05%,2.828,27.64%,37.54
2,2026-03-19,139.400,18314.07,139.69,-7.14%,-0.21%,2.828,45.95%,38.36
3,2026-03-18,147.887,11960.39,147.38,-9.24%,0.35%,3.426,23.73%,40.47
4,2026-03-17,149.494,44032.26,149.85,-9.61%,-0.24%,3.577,81.59%,41.15
5,2026-03-16,148.700,63569.17,150.11,-9.42%,-0.94%,4.101,103.31%,41.22
6,2026-03-13,178.600,17621.89,158.12,-15.59%,12.95%,4.837,20.40%,43.42
7,2026-03-12,181.447,13997.09,160.60,-16.09%,12.98%,4.837,15.81%,44.10
8,2026-03-11,188.180,64995.86,162.56,-17.24%,15.76%,4.837,70.74%,44.64
9,2026-03-10,185.000,119374.83,163.51,-16.68%,13.14%,4.837,135.61%,44.90
10,2026-03-09,165.806,26377.50,160.60,-13.07%,3.24%,4.838,31.80%,44.10
11,2026-03-06,182.890,12658.70,168.97,-16.25%,8.24%,4.838,14.39%,46.40
12,2026-03-05,184.053,9952.31,166.82,-16.44%,10.33%,4.838,11.03%,45.81
13,2026-03-04,188.218,8959.20,164.75,-17.13%,14.25%,4.838,9.74%,45.24
14,2026-03-03,192.169,12624.07,169.16,-17.77%,13.61%,4.838,13.30%,46.45
15,2026-03-02,197.698,10372.53,167.44,-18.64%,18.07%,4.838,10.85%,45.98
16,2026-02-27,200.720,16628.89,172.07,-19.06%,16.65%,4.838,17.07%,47.25
17,2026-02-26,211.787,6725.54,171.38,-20.67%,23.58%,4.838,6.49%,47.06
18,2026-02-25,222.770,2788.81,175.09,-22.16%,27.23%,4.838,2.58%,48.08
19,2026-02-24,223.000,4031.99,173.85,-22.17%,28.27%,4.838,3.76%,47.74
20,2026-02-13,224.000,4671.80,175.27,-22.08%,27.80%,4.838,4.26%,48.13
21,2026-02-12,226.503,3845.49,176.44,-22.39%,28.38%,4.838,3.51%,48.45
22,2026-02-11,228.088,2861.11,178.84,-22.57%,27.54%,4.838,2.59%,49.11
23,2026-02-10,230.694,3010.98,177.35,-22.88%,30.08%,4.838,2.70%,48.70
24,2026-02-09,228.926,4090.06,177.46,-22.64%,29.00%,4.838,3.70%,48.73
25,2026-02-06,230.500,6961.60,179.93,-22.77%,28.10%,4.838,6.28%,49.41
26,2026-02-05,226.500,19343.41,181.17,-22.25%,25.02%,4.838,17.35%,49.75
27,2026-02-04,227.968,3084.59,176.95,-22.41%,28.83%,4.838,2.79%,48.59
28,2026-02-03,231.787,7499.85,177.82,-22.87%,30.35%,4.838,6.74%,48.83
29,2026-02-02,226.300,9154.24,178.26,-22.16%,26.95%,4.838,8.29%,48.95
30,2026-01-30,230.961,18543.60,180.95,-22.69%,27.64%,4.838,16.00%,49.69
