序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-03-20,150.000,4925.71,122.38,-8.16%,22.57%,4.159,7.85%,7.93
2,2026-03-19,154.000,4922.91,127.78,-9.05%,20.52%,4.159,7.70%,8.28
3,2026-03-18,156.850,3959.33,132.56,-9.66%,18.32%,4.159,6.16%,8.59
4,2026-03-17,153.717,5409.31,132.72,-8.97%,15.82%,4.159,8.33%,8.60
5,2026-03-16,159.073,9373.29,136.88,-10.11%,16.21%,4.159,14.16%,8.87
6,2026-03-13,160.775,48026.22,139.82,-10.43%,14.99%,4.159,71.23%,9.06
7,2026-03-12,157.500,12931.81,135.49,-9.74%,16.24%,4.159,19.35%,8.78
8,2026-03-11,159.346,4631.27,135.03,-10.11%,18.01%,4.159,7.00%,8.75
9,2026-03-10,158.000,3592.56,134.72,-9.82%,17.28%,4.159,5.49%,8.73
10,2026-03-09,156.460,8526.45,133.49,-9.49%,17.21%,4.159,13.14%,8.65
11,2026-03-06,157.644,6105.50,134.26,-9.71%,17.42%,4.159,9.39%,8.70
12,2026-03-05,154.652,6174.75,128.70,-9.07%,20.16%,4.159,9.57%,8.34
13,2026-03-04,155.800,7198.20,129.01,-9.30%,20.76%,4.159,11.19%,8.36
14,2026-03-03,154.299,8369.19,128.86,-8.97%,19.74%,4.159,12.90%,8.35
15,2026-03-02,160.478,19896.52,136.88,-10.26%,17.24%,4.159,29.85%,8.87
16,2026-02-27,158.300,11988.04,138.27,-9.78%,14.48%,4.159,18.25%,8.96
17,2026-02-26,158.710,50335.06,138.89,-9.86%,14.27%,4.159,74.64%,9.00
18,2026-02-25,159.528,23796.44,146.61,-10.02%,8.81%,4.159,36.35%,9.50
19,2026-02-24,132.940,14124.33,133.33,-3.86%,-0.30%,4.159,25.78%,8.64
20,2026-02-13,130.649,9384.89,130.56,-3.21%,0.07%,4.314,16.56%,8.46
21,2026-02-12,132.100,8579.54,131.48,-3.59%,0.47%,4.329,14.91%,8.52
22,2026-02-11,135.166,9062.03,134.72,-4.38%,0.33%,4.329,15.53%,8.73
23,2026-02-10,134.350,10243.07,131.64,-4.17%,2.06%,4.335,17.49%,8.53
24,2026-02-09,137.098,8495.80,132.87,-4.85%,3.18%,4.335,14.15%,8.61
25,2026-02-06,138.959,11335.88,131.64,-5.30%,5.56%,4.335,18.83%,8.53
26,2026-02-05,136.832,13415.92,129.01,-4.77%,6.06%,4.335,22.68%,8.36
27,2026-02-04,137.009,15075.34,132.41,-4.81%,3.48%,4.335,25.15%,8.58
28,2026-02-03,141.001,7996.13,130.09,-5.77%,8.39%,4.335,13.09%,8.43
29,2026-02-02,138.995,11390.08,127.78,-5.29%,8.78%,4.335,18.94%,8.28
30,2026-01-30,140.605,11399.24,131.48,-5.66%,6.94%,4.335,18.53%,8.52
