序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-01-16,215.490,11343.35,178.52,-18.63%,20.71%,3.106,16.96%,54.86
2,2026-01-15,210.519,11965.26,174.72,-17.95%,20.49%,3.106,18.41%,53.69
3,2026-01-14,207.250,14099.54,171.07,-17.49%,21.15%,3.106,22.20%,52.57
4,2026-01-13,198.264,10797.23,162.15,-16.20%,22.27%,3.106,17.27%,49.83
5,2026-01-12,198.743,5328.43,161.34,-16.25%,23.18%,3.106,8.61%,49.58
6,2026-01-09,199.750,12706.40,160.10,-16.36%,24.76%,3.106,20.33%,49.20
7,2026-01-08,195.000,6140.88,160.23,-15.65%,21.70%,3.106,10.07%,49.24
8,2026-01-07,194.185,10970.59,160.46,-15.51%,21.02%,3.106,18.29%,49.31
9,2026-01-06,188.000,10838.60,154.80,-14.55%,21.45%,3.106,18.61%,47.57
10,2026-01-05,180.595,3538.19,152.95,-13.35%,18.08%,3.106,6.34%,47.00
11,2025-12-31,176.180,4008.98,150.90,-12.55%,16.76%,3.106,7.30%,46.37
12,2025-12-30,176.306,3237.96,150.11,-12.56%,17.45%,3.106,5.93%,46.13
13,2025-12-29,175.881,18186.85,150.44,-12.48%,16.91%,3.106,32.99%,46.23
14,2025-12-26,173.296,6604.39,148.19,-12.00%,16.94%,3.106,12.16%,45.54
15,2025-12-25,175.766,7081.24,148.55,-12.41%,18.32%,3.106,13.01%,45.65
16,2025-12-24,176.500,4115.56,150.18,-12.53%,17.53%,3.106,7.58%,46.15
17,2025-12-23,171.481,2541.34,149.30,-11.65%,14.86%,3.106,4.76%,45.88
18,2025-12-22,171.850,4749.80,150.24,-11.71%,14.38%,3.106,8.87%,46.17
19,2025-12-19,171.570,4570.72,149.72,-11.63%,14.59%,3.106,8.50%,46.01
20,2025-12-18,173.706,4082.44,149.69,-11.99%,16.04%,3.106,7.52%,46.00
21,2025-12-17,173.600,4449.06,151.29,-11.96%,14.75%,3.106,8.31%,46.49
22,2025-12-16,170.500,4611.00,150.28,-11.41%,13.46%,3.106,8.72%,46.18
23,2025-12-15,173.600,3361.75,152.78,-11.77%,13.63%,3.106,6.24%,46.95
24,2025-12-12,174.899,2781.88,155.06,-11.96%,12.79%,3.106,5.12%,47.65
25,2025-12-11,174.000,3066.60,155.48,-11.80%,11.91%,3.106,5.62%,47.78
26,2025-12-10,176.921,4776.90,157.24,-12.28%,12.52%,3.106,8.70%,48.32
27,2025-12-09,178.499,4702.96,160.89,-12.53%,10.95%,3.106,8.47%,49.44
28,2025-12-08,177.498,5264.07,159.42,-12.35%,11.34%,3.106,9.59%,48.99
29,2025-12-05,175.000,6887.28,157.50,-11.90%,11.11%,3.106,12.70%,48.40
30,2025-12-04,172.986,53993.26,157.40,-11.55%,9.90%,3.106,99.27%,48.37
